cicle;instance;nclasses;solutionreal;solution;mojo;evalsconsumed;besteval;time;cluster
0;junit-4.12.3.odem;286;[-1.5,0.0,0.5,2.5,-0.5,-0.5,-2.0,1.5,];[2, 5, 6, 10, 4, 4, 1, 8];60.15;10004;2400;30558635 ; [233, 65, 228, 168, 4, 262, 6, 7, 155, 24, 10, 262, 65, 13, 179, 15, 16, 17, 65, 19, 228, 21, 24, 196, 24, 25, 228, 272, 228, 220, 168, 265, 220, 193, 209, 220, 228, 209, 220, 228, 209, 228, 265, 220, 257, 45, 228, 47, 262, 49, 272, 51, 64, 53, 69, 262, 166, 234, 58, 64, 60, 64, 193, 64, 64, 65, 78, 203, 76, 69, 233, 71, 205, 209, 205, 209, 76, 203, 78, 209, 80, 81, 82, 83, 97, 103, 86, 100, 209, 98, 100, 91, 92, 245, 97, 100, 285, 97, 98, 101, 100, 101, 271, 103, 104, 105, 106, 271, 116, 109, 110, 111, 259, 233, 267, 115, 116, 117, 188, 267, 209, 121, 259, 123, 193, 125, 126, 155, 128, 135, 130, 220, 135, 155, 134, 135, 136, 233, 188, 139, 145, 141, 142, 143, 145, 145, 146, 147, 148, 262, 267, 270, 152, 153, 270, 155, 267, 270, 209, 159, 220, 165, 166, 167, 165, 165, 166, 167, 168, 267, 267, 171, 172, 205, 267, 176, 176, 220, 194, 179, 180, 220, 182, 183, 194, 271, 186, 187, 188, 196, 194, 209, 194, 193, 194, 209, 196, 197, 200, 200, 200, 209, 209, 203, 205, 205, 206, 208, 208, 209, 210, 211, 212, 213, 214, 215, 225, 217, 220, 219, 220, 233, 222, 257, 265, 225, 232, 233, 228, 229, 257, 231, 232, 233, 234, 235, 236, 237, 238, 245, 240, 243, 242, 243, 244, 245, 246, 247, 248, 249, 250, 252, 252, 253, 265, 265, 262, 257, 258, 259, 260, 261, 262, 265, 264, 265, 267, 267, 268, 269, 270, 271, 272, 273, 284, 284, 276, 284, 278, 284, 284, 284, 282, 283, 284, 285];[[true, true, false, true, true, false, false, false, false, true, true, false, true, true, false, false, false, false]];
1;junit-4.12.3.odem;286;[-1.5,1.5,1.5,0.0,-2.5,-2.5,-2.5,0.0,];[2, 8, 8, 5, 0, 0, 0, 5];58.27;10011;2629;30586752 ; [284, 284, 284, 284, 155, 155, 81, 81, 98, 284, 112, 284, 284, 284, 284, 284, 284, 116, 18, 283, 22, 283, 22, 269, 283, 25, 283, 283, 284, 283, 283, 283, 283, 283, 284, 35, 283, 284, 38, 283, 283, 283, 283, 284, 283, 45, 284, 54, 284, 260, 54, 260, 116, 53, 54, 284, 284, 284, 58, 59, 283, 116, 284, 284, 155, 283, 283, 283, 284, 283, 283, 284, 283, 269, 284, 284, 284, 269, 284, 284, 80, 81, 283, 86, 86, 85, 86, 284, 283, 91, 284, 91, 260, 284, 94, 95, 101, 260, 98, 99, 101, 101, 284, 104, 104, 106, 106, 284, 110, 260, 110, 284, 112, 283, 284, 260, 116, 145, 284, 284, 283, 283, 284, 284, 283, 260, 284, 284, 283, 284, 269, 284, 269, 269, 284, 284, 136, 283, 145, 139, 252, 141, 284, 143, 284, 145, 146, 148, 148, 269, 150, 283, 269, 157, 284, 155, 156, 157, 171, 223, 284, 284, 168, 223, 171, 170, 283, 283, 168, 284, 170, 171, 222, 269, 174, 222, 229, 269, 284, 283, 192, 283, 284, 283, 284, 283, 223, 283, 283, 283, 192, 284, 192, 223, 194, 223, 196, 223, 198, 199, 200, 283, 223, 283, 204, 205, 223, 207, 208, 284, 211, 211, 213, 213, 215, 215, 217, 217, 283, 224, 283, 284, 222, 223, 224, 225, 284, 284, 283, 229, 230, 260, 260, 233, 284, 239, 239, 238, 238, 239, 242, 242, 242, 243, 251, 284, 284, 248, 248, 250, 250, 251, 252, 260, 265, 265, 284, 257, 260, 259, 260, 283, 262, 284, 283, 265, 266, 267, 283, 269, 270, 271, 283, 273, 283, 275, 283, 277, 283, 279, 280, 281, 282, 283, 284, 285];[[true, true, false, true, true, false, false, false, false, true, true, false, true, true, false, false, false, false]];
3;junit-4.12.3.odem;286;[-0.5,0.5,0.5,0.5,-1.5,-1.5,-0.5,2.0,];[4, 6, 6, 6, 2, 2, 4, 9];60.9;10001;2346;2791729 ; [284, 1, 2, 284, 4, 284, 284, 7, 15, 284, 10, 284, 12, 13, 14, 15, 16, 284, 284, 19, 20, 21, 284, 23, 284, 25, 284, 27, 28, 29, 30, 31, 32, 33, 34, 284, 36, 37, 284, 39, 40, 284, 265, 284, 44, 284, 46, 47, 284, 49, 217, 51, 284, 284, 69, 284, 284, 284, 284, 284, 284, 284, 62, 284, 284, 65, 77, 67, 68, 69, 70, 284, 72, 73, 74, 284, 76, 77, 284, 79, 284, 284, 82, 83, 97, 284, 86, 284, 88, 121, 284, 121, 92, 284, 284, 284, 285, 97, 284, 284, 284, 101, 284, 284, 121, 121, 121, 284, 284, 109, 110, 111, 284, 113, 284, 115, 284, 117, 118, 284, 120, 121, 284, 284, 124, 125, 284, 127, 128, 132, 130, 131, 132, 133, 284, 135, 284, 137, 284, 284, 284, 284, 284, 284, 284, 284, 284, 147, 148, 284, 284, 151, 152, 153, 284, 284, 284, 157, 284, 159, 160, 284, 284, 163, 164, 284, 284, 284, 284, 284, 284, 171, 172, 173, 284, 175, 176, 177, 284, 179, 180, 181, 284, 183, 284, 185, 284, 187, 188, 189, 284, 191, 284, 284, 284, 195, 284, 197, 284, 284, 284, 201, 202, 203, 284, 284, 284, 284, 284, 209, 210, 211, 212, 213, 284, 215, 284, 217, 218, 284, 220, 284, 222, 223, 284, 284, 284, 227, 228, 229, 284, 231, 284, 284, 284, 235, 284, 237, 238, 245, 240, 245, 242, 245, 284, 245, 284, 247, 248, 249, 250, 284, 284, 253, 265, 265, 284, 284, 258, 284, 260, 261, 284, 284, 264, 265, 284, 267, 268, 269, 284, 284, 272, 273, 274, 284, 276, 284, 278, 284, 284, 284, 284, 284, 284, 285];[[true, true, false, true, true, false, false, false, false, true, true, false, true, true, false, false, false, false]];
2;junit-4.12.3.odem;286;[-2.5,1.5,1.5,1.0,-1.0,-1.0,-1.0,-0.5,];[0, 8, 8, 7, 3, 3, 3, 4];59.77;10008;5654;2822390 ; [25, 16, 16, 11, 25, 11, 6, 14, 10, 14, 10, 11, 26, 16, 14, 121, 16, 26, 26, 25, 24, 23, 25, 23, 24, 25, 26, 174, 192, 43, 278, 231, 215, 231, 252, 43, 231, 231, 43, 192, 57, 272, 265, 43, 231, 58, 64, 58, 58, 177, 247, 64, 64, 53, 58, 57, 177, 57, 58, 64, 272, 64, 64, 64, 64, 244, 278, 121, 237, 176, 121, 278, 215, 233, 284, 121, 269, 278, 278, 121, 234, 81, 101, 93, 94, 103, 100, 100, 100, 98, 104, 93, 107, 93, 94, 104, 285, 121, 98, 101, 100, 101, 106, 103, 104, 106, 106, 107, 116, 269, 126, 121, 117, 121, 268, 268, 116, 117, 126, 174, 164, 121, 164, 164, 126, 164, 126, 134, 134, 135, 134, 134, 135, 134, 134, 135, 219, 219, 146, 219, 219, 219, 146, 219, 219, 219, 146, 219, 219, 149, 156, 157, 156, 157, 157, 157, 156, 157, 164, 167, 167, 164, 167, 167, 164, 167, 167, 167, 231, 172, 172, 172, 172, 174, 174, 176, 176, 177, 192, 202, 202, 192, 192, 202, 192, 202, 202, 202, 202, 202, 192, 202, 192, 193, 202, 202, 202, 202, 202, 202, 202, 202, 202, 215, 215, 215, 215, 215, 215, 215, 215, 215, 215, 215, 215, 215, 233, 247, 219, 219, 231, 231, 233, 231, 231, 233, 232, 268, 232, 231, 231, 231, 232, 233, 234, 237, 237, 237, 238, 245, 244, 245, 244, 245, 244, 245, 269, 247, 269, 269, 269, 252, 252, 269, 265, 265, 256, 257, 272, 259, 272, 266, 272, 265, 266, 265, 266, 268, 268, 269, 270, 271, 272, 285, 284, 284, 278, 284, 278, 284, 284, 284, 284, 284, 284, 285];[[true, true, false, true, true, false, false, false, false, true, true, false, true, true, false, false, false, false]];
5;junit-4.12.3.odem;286;[0.5,-0.5,-2.0,0.0,0.5,0.5,1.5,-1.5,];[6, 4, 1, 5, 6, 6, 8, 2];59.4;10002;5165;2855934 ; [272, 272, 272, 278, 283, 283, 272, 278, 278, 278, 278, 278, 272, 278, 272, 272, 278, 278, 272, 278, 278, 278, 278, 278, 278, 25, 196, 278, 278, 278, 272, 272, 278, 283, 265, 278, 272, 278, 278, 278, 278, 272, 278, 278, 278, 278, 285, 272, 263, 272, 217, 272, 272, 272, 272, 272, 278, 272, 278, 263, 272, 278, 265, 272, 278, 278, 278, 263, 278, 265, 278, 278, 278, 278, 278, 263, 272, 278, 278, 263, 278, 278, 263, 263, 278, 278, 278, 278, 272, 272, 278, 278, 278, 93, 94, 278, 285, 278, 278, 278, 100, 272, 102, 278, 105, 105, 278, 278, 278, 272, 278, 265, 272, 272, 114, 278, 265, 272, 272, 119, 272, 272, 122, 123, 278, 278, 278, 265, 272, 278, 272, 265, 272, 272, 272, 278, 136, 272, 145, 139, 265, 141, 272, 143, 144, 145, 272, 148, 148, 265, 278, 265, 272, 265, 154, 155, 265, 158, 158, 272, 278, 161, 272, 278, 278, 272, 272, 278, 278, 278, 278, 278, 265, 278, 174, 272, 272, 278, 178, 278, 265, 272, 272, 196, 272, 265, 278, 278, 272, 272, 190, 272, 272, 265, 278, 265, 196, 278, 272, 278, 265, 202, 202, 272, 204, 205, 272, 207, 208, 272, 278, 278, 278, 278, 278, 216, 216, 217, 278, 278, 272, 278, 272, 278, 224, 225, 226, 229, 272, 229, 230, 232, 232, 233, 234, 278, 278, 238, 238, 278, 272, 278, 272, 265, 265, 278, 272, 249, 278, 249, 265, 278, 278, 263, 263, 278, 256, 257, 272, 259, 263, 261, 262, 263, 264, 265, 266, 278, 268, 269, 270, 271, 272, 273, 278, 275, 278, 277, 278, 279, 280, 283, 282, 283, 284, 285];[[true, true, false, true, true, false, false, false, false, true, true, false, true, true, false, false, false, false]];
4;junit-4.12.3.odem;286;[1.5,-2.5,-2.0,2.5,1.5,1.5,0.5,-2.5,];[8, 0, 1, 10, 8, 8, 6, 0];58.27;10014;1718;2874290 ; [63, 284, 284, 63, 284, 284, 284, 284, 98, 282, 284, 284, 284, 284, 284, 284, 282, 282, 282, 282, 25, 273, 282, 265, 284, 25, 284, 265, 265, 265, 284, 284, 284, 284, 265, 282, 284, 284, 38, 284, 284, 284, 284, 284, 265, 45, 265, 282, 284, 49, 50, 265, 52, 155, 54, 282, 284, 284, 58, 59, 60, 61, 284, 63, 284, 284, 66, 284, 265, 69, 284, 71, 284, 265, 265, 282, 265, 284, 78, 284, 80, 284, 82, 88, 84, 85, 88, 87, 88, 89, 90, 91, 109, 284, 94, 95, 96, 97, 98, 99, 284, 101, 282, 103, 104, 105, 106, 282, 284, 109, 110, 284, 284, 284, 284, 117, 116, 117, 284, 284, 265, 284, 284, 282, 130, 125, 284, 284, 130, 284, 130, 131, 133, 133, 284, 135, 136, 284, 138, 139, 284, 141, 282, 143, 282, 145, 284, 148, 148, 149, 150, 265, 153, 153, 282, 155, 156, 159, 158, 159, 160, 284, 162, 164, 164, 165, 166, 167, 284, 282, 170, 172, 172, 284, 174, 183, 187, 265, 178, 265, 180, 265, 182, 183, 282, 265, 282, 187, 265, 265, 190, 191, 192, 193, 194, 195, 196, 197, 198, 199, 200, 210, 211, 284, 204, 205, 206, 284, 208, 265, 210, 211, 213, 213, 215, 215, 216, 217, 284, 219, 284, 221, 242, 223, 224, 225, 284, 284, 242, 229, 282, 231, 284, 282, 284, 235, 236, 237, 238, 239, 242, 241, 242, 243, 244, 245, 284, 248, 248, 250, 250, 251, 284, 258, 254, 255, 284, 282, 258, 284, 265, 265, 262, 284, 264, 265, 266, 267, 284, 269, 270, 271, 284, 273, 284, 275, 276, 277, 278, 279, 280, 281, 282, 283, 284, 285];[[true, true, false, true, true, false, false, false, false, true, true, false, true, true, false, false, false, false]];
6;junit-4.12.3.odem;286;[-1.0,0.0,0.5,1.5,-0.5,-0.5,-2.0,-1.0,];[3, 5, 6, 8, 4, 4, 1, 3];60.53;10001;6798;2391660 ; [4, 1, 2, 284, 4, 284, 284, 7, 265, 14, 10, 284, 12, 13, 14, 15, 16, 284, 284, 24, 24, 23, 24, 23, 24, 25, 284, 284, 28, 265, 30, 31, 265, 33, 34, 265, 36, 265, 265, 39, 265, 60, 265, 265, 265, 45, 46, 47, 284, 49, 217, 51, 67, 67, 69, 284, 284, 234, 58, 67, 60, 67, 62, 67, 67, 65, 78, 67, 265, 69, 234, 78, 72, 265, 74, 234, 285, 78, 78, 79, 234, 81, 101, 83, 234, 265, 86, 284, 88, 121, 284, 91, 92, 284, 234, 284, 285, 97, 121, 101, 284, 101, 121, 265, 104, 105, 106, 284, 116, 109, 110, 111, 284, 113, 284, 115, 116, 117, 126, 284, 120, 121, 284, 284, 124, 125, 126, 127, 128, 132, 130, 131, 132, 133, 134, 135, 146, 137, 146, 146, 146, 146, 146, 146, 284, 146, 146, 147, 148, 265, 284, 151, 284, 284, 284, 284, 284, 284, 158, 159, 283, 165, 284, 167, 165, 165, 284, 167, 274, 284, 284, 171, 172, 265, 284, 284, 284, 285, 284, 179, 191, 181, 284, 196, 284, 191, 284, 187, 188, 189, 284, 191, 192, 284, 284, 195, 196, 197, 284, 284, 284, 202, 202, 203, 284, 284, 206, 284, 209, 209, 210, 211, 212, 213, 214, 215, 265, 217, 218, 219, 265, 265, 265, 265, 265, 265, 284, 227, 228, 229, 265, 231, 284, 265, 234, 265, 265, 265, 238, 265, 240, 265, 242, 265, 244, 265, 284, 247, 248, 249, 250, 252, 252, 253, 265, 265, 256, 265, 258, 284, 260, 261, 284, 265, 264, 265, 284, 267, 268, 269, 284, 284, 272, 285, 274, 284, 276, 284, 278, 284, 284, 283, 282, 283, 284, 285];[[true, true, false, true, true, false, false, false, false, true, true, false, true, true, false, false, false, false]];
7;junit-4.12.3.odem;286;[0.0,-1.0,-0.5,-0.5,1.5,1.5,0.5,-0.5,];[5, 3, 4, 4, 8, 8, 6, 4];60.15;10009;7060;2425563 ; [282, 282, 2, 282, 197, 282, 282, 265, 282, 265, 282, 282, 282, 282, 265, 282, 282, 282, 282, 197, 197, 23, 197, 23, 197, 282, 282, 282, 256, 265, 30, 31, 32, 33, 282, 265, 36, 44, 265, 256, 40, 60, 265, 265, 44, 75, 282, 282, 282, 282, 217, 282, 282, 187, 69, 282, 282, 75, 135, 282, 60, 282, 282, 282, 282, 75, 78, 187, 257, 69, 75, 282, 79, 73, 79, 75, 227, 282, 78, 79, 234, 102, 102, 245, 97, 103, 100, 100, 100, 102, 256, 282, 271, 245, 97, 256, 285, 97, 102, 102, 100, 102, 102, 103, 256, 282, 282, 271, 227, 282, 137, 282, 282, 282, 282, 282, 227, 282, 137, 282, 282, 282, 282, 282, 137, 282, 146, 282, 282, 135, 282, 282, 135, 282, 282, 135, 146, 137, 146, 146, 282, 146, 146, 146, 146, 146, 146, 282, 282, 282, 282, 157, 227, 157, 157, 157, 227, 157, 283, 283, 283, 283, 283, 283, 283, 283, 283, 283, 283, 174, 174, 174, 174, 173, 174, 227, 227, 227, 282, 282, 191, 181, 282, 196, 282, 191, 282, 187, 282, 282, 282, 191, 282, 282, 282, 282, 196, 197, 282, 282, 282, 202, 202, 215, 215, 215, 215, 215, 215, 215, 215, 215, 215, 215, 215, 215, 233, 217, 218, 256, 220, 282, 233, 282, 282, 233, 282, 227, 282, 282, 282, 282, 282, 233, 234, 257, 257, 257, 282, 245, 282, 245, 282, 245, 256, 245, 282, 282, 282, 282, 282, 252, 252, 282, 265, 265, 256, 257, 282, 283, 282, 282, 282, 265, 282, 265, 282, 282, 282, 282, 271, 271, 282, 282, 282, 284, 282, 284, 282, 284, 284, 283, 282, 283, 284, 285];[[true, true, false, true, true, false, false, false, false, true, true, false, true, true, false, false, false, false]];
8;junit-4.12.3.odem;286;[2.0,0.0,0.0,0.0,2.0,1.5,1.0,2.0,];[9, 5, 5, 5, 9, 8, 7, 9];59.4;10002;5159;10188588 ; [280, 280, 273, 232, 232, 232, 280, 280, 280, 280, 280, 280, 280, 280, 232, 273, 232, 232, 280, 280, 259, 280, 259, 280, 184, 273, 280, 184, 280, 284, 273, 284, 280, 284, 273, 35, 273, 232, 280, 284, 273, 280, 280, 284, 273, 52, 284, 280, 232, 280, 50, 284, 52, 53, 280, 280, 56, 150, 273, 232, 284, 280, 284, 280, 280, 273, 284, 273, 280, 284, 273, 184, 273, 273, 280, 284, 284, 273, 232, 273, 80, 284, 82, 273, 284, 85, 273, 87, 273, 89, 284, 91, 273, 232, 94, 280, 273, 273, 284, 284, 100, 273, 273, 103, 104, 105, 106, 280, 108, 273, 110, 232, 280, 273, 280, 273, 232, 273, 280, 280, 273, 273, 122, 123, 273, 158, 126, 280, 273, 232, 273, 284, 273, 152, 280, 284, 284, 273, 138, 284, 140, 280, 142, 280, 280, 145, 232, 147, 148, 280, 150, 273, 152, 280, 154, 284, 280, 157, 158, 166, 273, 284, 280, 280, 166, 183, 166, 183, 168, 169, 170, 171, 172, 273, 280, 232, 176, 273, 178, 273, 180, 273, 284, 183, 184, 273, 284, 273, 284, 273, 280, 280, 192, 284, 280, 197, 196, 197, 284, 199, 200, 231, 211, 273, 284, 284, 206, 280, 208, 280, 231, 211, 213, 213, 215, 215, 216, 217, 273, 219, 273, 280, 231, 266, 284, 225, 226, 273, 231, 231, 230, 231, 232, 233, 280, 235, 236, 237, 238, 284, 242, 241, 242, 243, 244, 245, 280, 248, 248, 250, 250, 251, 252, 255, 255, 255, 280, 280, 260, 259, 260, 273, 280, 280, 269, 273, 266, 267, 269, 269, 280, 280, 273, 273, 284, 275, 278, 277, 278, 280, 280, 281, 284, 283, 284, 285];[[true, true, false, true, true, false, false, false, false, true, true, false, true, true, false, false, false, false]];
9;junit-4.12.3.odem;286;[-2.5,0.0,0.5,2.5,-1.5,-0.5,-2.5,0.0,];[0, 5, 6, 10, 2, 4, 0, 5];59.77;10003;1122;10245404 ; [24, 24, 26, 11, 24, 11, 11, 24, 24, 24, 24, 11, 26, 24, 24, 24, 26, 26, 26, 24, 24, 24, 24, 24, 24, 25, 26, 267, 274, 43, 230, 230, 274, 230, 230, 43, 230, 230, 43, 274, 274, 272, 265, 43, 230, 149, 64, 149, 149, 267, 217, 64, 64, 242, 149, 242, 267, 242, 149, 64, 272, 64, 64, 64, 64, 240, 278, 269, 256, 149, 274, 278, 274, 233, 274, 240, 269, 278, 278, 274, 234, 240, 101, 93, 94, 240, 100, 100, 100, 240, 256, 93, 240, 93, 94, 256, 285, 274, 240, 101, 100, 101, 240, 240, 256, 240, 240, 240, 267, 269, 146, 240, 259, 269, 268, 268, 267, 259, 146, 267, 259, 240, 259, 259, 146, 259, 146, 232, 232, 149, 232, 232, 149, 232, 232, 149, 240, 274, 146, 146, 240, 240, 146, 240, 146, 240, 146, 240, 240, 149, 267, 157, 269, 157, 157, 155, 269, 157, 259, 167, 167, 259, 167, 167, 259, 167, 167, 167, 230, 174, 174, 174, 174, 274, 174, 176, 176, 269, 192, 200, 200, 192, 192, 200, 192, 200, 200, 200, 200, 200, 192, 200, 192, 193, 200, 200, 200, 200, 200, 200, 200, 267, 267, 274, 274, 274, 274, 274, 274, 274, 274, 274, 274, 274, 274, 274, 233, 217, 240, 240, 268, 231, 233, 230, 230, 233, 232, 268, 232, 231, 230, 231, 232, 233, 234, 256, 256, 256, 242, 245, 240, 245, 242, 245, 256, 245, 269, 269, 269, 269, 269, 269, 269, 269, 265, 265, 256, 257, 272, 259, 272, 266, 272, 267, 266, 265, 266, 267, 268, 269, 270, 271, 272, 273, 274, 284, 278, 284, 278, 284, 284, 284, 284, 284, 284, 285];[[true, true, false, true, true, false, false, false, false, true, true, false, true, true, false, false, false, false]];
