NONE;;SEM-SA_100000_-1_-1_[0.1-1]_CAMQ_DR_[RGBI,RGBIR]_RESTART-ENABLEDRESTART-DISABLED;0;0;6.077047734319972E248;6.077047734319972E248;0;2000;39;3;2000;12;8;0;0.9523809523809523;1.0;29-29-29-29-29-29-29-29-29-29-29-18-18-18-18-18-18-18-18-28-28-28-28-28-28-28-28-28-28-29
NONE;;SEM-SA_100000_-1_-1_[0.1-1]_CAMQ_DR_[RGBI,RGBIR]_RESTART-ENABLEDRESTART-DISABLED;0;1;6.077047734319972E248;6.077047734319972E248;0;2000;41;3;2000;12;8;0;0.9523809523809523;1.0;29-29-29-29-29-29-29-29-29-29-29-18-18-18-18-18-18-18-18-28-28-28-28-28-28-28-28-28-28-29
NONE;;SEM-SA_100000_-1_-1_[0.1-1]_CAMQ_DR_[RGBI,RGBIR]_RESTART-ENABLEDRESTART-DISABLED;0;2;6.077047734319972E248;1.043616293269634E267;1036;2000;61;3;3036;14;5;0;0.0;0.7777777777777778;29-29-29-29-29-29-29-29-29-29-29-18-18-18-18-18-18-18-18-28-28-28-18-18-29-18-29-28-28-29
NONE;;SEM-SA_100000_-1_-1_[0.1-1]_CAMQ_DR_[RGBI,RGBIR]_RESTART-ENABLEDRESTART-DISABLED;0;3;6.077047734319972E248;6.077047734319972E248;0;2000;41;3;2000;12;8;0;0.9523809523809523;1.0;29-29-29-29-29-29-29-29-29-29-29-18-18-18-18-18-18-18-18-28-28-28-28-28-28-28-28-28-28-29
NONE;;SEM-SA_100000_-1_-1_[0.1-1]_CAMQ_DR_[RGBI,RGBIR]_RESTART-ENABLEDRESTART-DISABLED;0;4;6.077047734319972E248;Infinity;1970;2000;82;2;3970;15;15;0;-0.41379310344827586;0.0;29-29-29-29-29-29-29-29-29-29-29-18-18-18-18-18-18-18-18-18-18-18-18-18-29-18-29-18-29-29
NONE;;SEM-SA_100000_-1_-1_[0.1-1]_CAMQ_DR_[RGBI,RGBIR]_RESTART-ENABLEDRESTART-DISABLED;0;5;6.077047734319972E248;Infinity;2100;2000;89;1;4100;18;12;0;0.4117647058823529;0.7647058823529411;29-29-29-29-29-29-29-29-29-29-29-28-28-28-28-29-29-29-28-28-28-28-28-29-29-28-29-28-28-29
NONE;;SEM-SA_100000_-1_-1_[0.1-1]_CAMQ_DR_[RGBI,RGBIR]_RESTART-ENABLEDRESTART-DISABLED;0;6;6.077047734319972E248;1.043616293269634E267;1301;2000;70;3;3301;14;5;0;0.2;1.0;29-29-29-29-29-29-29-29-29-29-29-18-18-18-18-18-18-18-18-28-28-28-18-18-29-18-29-28-28-29
NONE;;SEM-SA_100000_-1_-1_[0.1-1]_CAMQ_DR_[RGBI,RGBIR]_RESTART-ENABLEDRESTART-DISABLED;0;7;6.077047734319972E248;Infinity;2056;2000;77;2;4056;19;11;0;0.1111111111111111;2.4;29-29-18-29-29-18-29-18-18-29-29-18-18-18-18-18-29-18-18-18-18-18-18-18-29-18-29-18-18-29
NONE;;SEM-SA_100000_-1_-1_[0.1-1]_CAMQ_DR_[RGBI,RGBIR]_RESTART-ENABLEDRESTART-DISABLED;0;8;6.077047734319972E248;6.077047734319972E248;0;2000;41;3;2000;12;8;0;0.9523809523809523;1.0;29-29-29-29-29-29-29-29-29-29-29-18-18-18-18-18-18-18-18-28-28-28-28-28-28-28-28-28-28-29
NONE;;SEM-SA_100000_-1_-1_[0.1-1]_CAMQ_DR_[RGBI,RGBIR]_RESTART-ENABLEDRESTART-DISABLED;0;9;6.077047734319972E248;1.043616293269634E267;1600;2000;72;3;3600;14;5;0;-0.13333333333333333;0.6666666666666666;29-29-29-29-29-29-29-29-29-29-29-18-18-18-18-18-18-18-18-28-28-28-18-18-29-18-29-28-28-29
