0;udt-java 56C.odem;56;[5, 3, 7, 3, 3, 0, 9, 2, 2, 2, 9, 5, 3, 2, 9, 8, 0, 7];67.92;64249 ms
1;udt-java 56C.odem;56;[9, 6, 3, 0, 9, 9, 9, 7, 10, 7, 4, 9, 6, 9, 9, 4, 4, 1];66.67;54402 ms
2;udt-java 56C.odem;56;[10, 5, 4, 8, 5, 9, 1, 5, 9, 4, 8, 10, 10, 1, 5, 10, 7, 3];66.67;34528 ms
3;udt-java 56C.odem;56;[2, 3, 9, 10, 5, 10, 9, 1, 9, 8, 10, 9, 6, 1, 0, 10, 0, 0];66.67;24055 ms
4;udt-java 56C.odem;56;[6, 1, 6, 9, 0, 0, 2, 3, 6, 4, 1, 9, 6, 2, 9, 6, 6, 3];67.92;23395 ms
5;udt-java 56C.odem;56;[1, 3, 9, 3, 5, 0, 2, 5, 1, 4, 4, 7, 8, 1, 4, 0, 9, 1];66.67;23619 ms
6;udt-java 56C.odem;56;[1, 10, 10, 2, 1, 8, 2, 0, 10, 8, 0, 10, 0, 1, 10, 4, 6, 6];67.92;23350 ms
7;udt-java 56C.odem;56;[10, 6, 8, 3, 6, 4, 9, 6, 0, 4, 9, 4, 9, 2, 5, 8, 3, 3];71.7;23176 ms
8;udt-java 56C.odem;56;[5, 8, 2, 1, 7, 5, 10, 0, 1, 6, 3, 10, 3, 8, 2, 3, 5, 6];67.92;23714 ms
9;udt-java 56C.odem;56;[4, 2, 7, 0, 6, 1, 6, 5, 5, 2, 2, 0, 10, 1, 8, 5, 10, 7];66.67;25029 ms
10;udt-java 56C.odem;56;[1, 8, 2, 6, 0, 3, 8, 3, 4, 9, 0, 7, 3, 8, 10, 1, 8, 7];70.59;25669 ms
11;udt-java 56C.odem;56;[5, 2, 2, 2, 10, 1, 4, 1, 4, 3, 9, 4, 2, 3, 7, 7, 0, 9];67.92;25034 ms
12;udt-java 56C.odem;56;[4, 10, 2, 2, 5, 6, 3, 1, 8, 6, 0, 8, 4, 4, 9, 8, 5, 3];67.92;24078 ms
13;udt-java 56C.odem;56;[5, 5, 8, 6, 8, 4, 0, 8, 7, 10, 10, 5, 6, 1, 0, 10, 7, 7];66.67;23440 ms
14;udt-java 56C.odem;56;[5, 6, 9, 5, 6, 6, 5, 1, 2, 10, 7, 9, 0, 10, 10, 8, 1, 1];68.52;24087 ms
15;udt-java 56C.odem;56;[7, 2, 10, 0, 3, 0, 7, 10, 10, 6, 3, 2, 8, 10, 0, 6, 10, 10];66.67;23264 ms
16;udt-java 56C.odem;56;[9, 9, 3, 3, 10, 8, 5, 7, 5, 7, 7, 2, 2, 6, 0, 7, 3, 4];66.67;24320 ms
17;udt-java 56C.odem;56;[2, 2, 2, 7, 9, 9, 5, 3, 1, 5, 6, 2, 4, 6, 2, 7, 2, 6];67.92;24006 ms
18;udt-java 56C.odem;56;[10, 7, 5, 2, 1, 2, 9, 6, 2, 9, 9, 4, 0, 7, 1, 2, 1, 2];66.67;24117 ms
19;udt-java 56C.odem;56;[3, 4, 3, 6, 0, 3, 1, 0, 9, 3, 0, 6, 0, 9, 9, 5, 7, 3];67.92;23750 ms
20;udt-java 56C.odem;56;[9, 1, 3, 3, 5, 9, 7, 7, 2, 3, 5, 2, 7, 8, 10, 8, 8, 0];68.52;23601 ms
21;udt-java 56C.odem;56;[5, 3, 4, 2, 0, 3, 1, 6, 3, 10, 9, 4, 4, 9, 3, 10, 9, 3];66.67;24273 ms
22;udt-java 56C.odem;56;[7, 4, 2, 0, 5, 0, 1, 2, 9, 4, 0, 10, 1, 7, 6, 8, 1, 6];67.92;23339 ms
23;udt-java 56C.odem;56;[8, 5, 1, 4, 1, 9, 2, 1, 4, 8, 5, 9, 3, 0, 4, 4, 0, 9];68.63;23505 ms
24;udt-java 56C.odem;56;[1, 2, 4, 2, 2, 0, 7, 1, 1, 8, 1, 4, 7, 6, 10, 2, 10, 7];66.67;24085 ms
25;udt-java 56C.odem;56;[0, 0, 7, 0, 3, 7, 4, 2, 3, 6, 2, 9, 3, 9, 2, 3, 7, 6];67.92;24068 ms
