cycle;instance;nclasses;n1;n2;n3;n4;p1;p2;p3;p4;mojo;evals;tempo
5;JMetal 190C.odem;190;1.5;-0.5;1.5;1.0;8; 4; 8; 7;100.0;514;1041638
2;JavaGeom 172C.odem;172;1.5;0.5;1.5;0.5;8; 6; 8; 6;100.0;1055;1895184
2;jkaryoscope 136C.odem;136;1.5;-1.0;1.5;1.0;8; 3; 8; 7;91.34;2002;1890849
0;pfcda_swing 252C.odem;252;0.5;0.0;1.5;0.5;6; 5; 8; 6;100.0;324;1882349
1;javacc 154C.odem;154;2.5;-0.5;2.5;2.0;10; 4; 10; 9;100.0;1441;1928366
5;dom4j-1.5.2 195C.odem;195;2.0;0.5;2.0;0.5;9; 6; 9; 6;100.0;820;1977614
5;JavaGeom 172C.odem;172;0.5;0.0;1.5;0.5;6; 5; 8; 6;100.0;583;952167
8;JMetal 190C.odem;190;1.0;0.0;1.0;1.0;7; 5; 7; 7;100.0;270;526076
4;Jung-visualization 221C.odem;221;0.5;0.5;2.0;1.0;6; 6; 9; 7;100.0;573;2035546
9;tinytim 134C.odem;134;2.0;0.5;1.0;1.0;9; 6; 7; 7;100.0;1480;1021023
7;Jung-visualization 221C.odem;221;2.0;-0.5;2.0;0.5;9; 4; 9; 6;100.0;47;130339
0;Jung-graph 207C.odem;207;1.5;-0.5;2.0;1.0;8; 4; 9; 7;100.0;741;2266925
9;javacc 154C.odem;154;1.0;-0.5;1.5;0.5;7; 4; 8; 6;100.0;587;634613
1;pdf_renderer 199C.odem;199;2.5;-0.5;1.0;0.5;10; 4; 7; 6;100.0;856;2292372
9;JMetal 190C.odem;190;2.0;-0.5;1.0;0.5;9; 4; 7; 6;100.0;419;835025
2;javacc 154C.odem;154;-1.0;-1.0;2.5;1.5;3; 3; 10; 8;97.3;2001;2378041
3;Jung-graph 207C.odem;207;0.5;0.5;1.0;0.5;6; 6; 7; 6;100.0;810;2438757
1;dom4j-1.5.2 195C.odem;195;2.5;-0.5;1.5;1.0;10; 4; 8; 7;100.0;1044;2447720
5;pdf_renderer 199C.odem;199;2.5;1.5;1.0;2.5;10; 8; 7; 10;100.0;715;1543473
9;xmlapi 184C.odem;184;0.5;0.0;1.5;1.0;6; 5; 8; 7;100.0;575;985372
7;javacc 154C.odem;154;1.5;0.0;1.0;0.5;8; 5; 7; 6;100.0;1764;1902907
2;jtreeview 329C.odem;329;0.5;-0.5;1.0;0.5;6; 4; 7; 6;100.0;238;2566120
5;javacc 154C.odem;154;0.5;0.0;2.5;0.5;6; 5; 10; 6;98.67;2001;2440550
7;JavaGeom 172C.odem;172;2.0;1.0;1.5;0.5;9; 7; 8; 6;100.0;410;605589
0;javaws-7 378C.odem;378;2.5;-1.5;1.5;1.0;10; 2; 8; 7;100.0;159;2603797
3;JavaGeom 172C.odem;172;1.5;0.5;1.5;0.5;8; 6; 8; 6;100.0;1489;2622627
0;notepad-full 299C.odem;299;0.5;0.5;2.0;2.0;6; 6; 9; 9;100.0;298;2615039
5;xmlapi 184C.odem;184;1.0;0.5;2.5;2.0;7; 6; 10; 9;100.0;1093;1950229
0;dom4j-1.5.2 195C.odem;195;1.5;0.0;2.5;1.0;8; 5; 10; 7;100.0;1156;2796848
3;xmlapi 184C.odem;184;2.5;0.0;2.0;0.5;10; 5; 9; 6;100.0;1532;2780409
2;JMetal 190C.odem;190;2.5;0.5;1.5;2.0;10; 6; 8; 9;100.0;1361;2835671
6;notepad-full 299C.odem;299;2.5;0.5;2.5;1.0;10; 6; 10; 7;100.0;44;257687
3;jconsole-1.7.0 220C.odem;220;1.0;0.5;2.0;1.0;7; 6; 9; 7;100.0;879;2910096
1;javaws-7 378C.odem;378;2.5;-2.5;1.5;0.5;10; 0; 8; 6;100.0;180;2910808
9;dom4j-1.5.2 195C.odem;195;2.5;-1.5;1.0;1.0;10; 2; 7; 7;100.0;75;140655
1;Jung-visualization 221C.odem;221;0.5;0.5;2.5;1.5;6; 6; 10; 8;100.0;848;2934478
2;jconsole-1.7.0 220C.odem;220;0.5;0.0;1.0;1.0;6; 5; 7; 7;100.0;895;2942403
1;JavaGeom 172C.odem;172;2.5;0.5;2.0;1.0;10; 6; 9; 7;100.0;1848;2950189
7;JMetal 190C.odem;190;2.5;-0.5;2.0;2.5;10; 4; 9; 10;100.0;819;1538354
9;pdf_renderer 199C.odem;199;2.0;-0.5;1.0;0.5;9; 4; 7; 6;100.0;296;561061
6;JavaGeom 172C.odem;172;2.5;0.0;1.5;1.0;10; 5; 8; 7;100.0;1047;1370882
2;Jung-visualization 221C.odem;221;2.5;-0.5;2.5;1.5;10; 4; 10; 8;100.0;999;3268998
1;pfcda_swing 252C.odem;252;1.5;0.0;2.0;1.0;8; 5; 9; 7;100.0;721;3268947
0;JavaGeom 172C.odem;172;-2.5;1.0;-2.0;-1.5;0; 7; 1; 2;87.04;2003;3300330
6;pdf_renderer 199C.odem;199;1.5;0.5;1.0;0.5;8; 6; 7; 6;100.0;1018;2034146
5;javaws 378C.odem;378;2.5;-0.5;1.0;0.5;10; 4; 7; 6;100.0;208;3106070
4;jconsole-1.7.0 220C.odem;220;1.5;0.0;2.0;1.0;8; 5; 9; 7;100.0;1017;3362472
8;dom4j-1.5.2 195C.odem;195;0.5;0.0;1.0;0.5;6; 5; 7; 6;100.0;558;960207
1;jconsole-1.7.0 220C.odem;220;1.0;0.0;1.0;2.5;7; 5; 7; 10;100.0;1039;3439471
5;jml 270C.odem;270;0.5;-0.5;1.5;1.0;6; 4; 8; 7;100.0;548;3164676
6;Jung-graph 207C.odem;207;0.5;-1.0;2.0;1.0;6; 3; 9; 7;100.0;1192;2709103
7;dom4j-1.5.2 195C.odem;195;2.0;0.0;2.5;1.0;9; 5; 10; 7;100.0;914;1606780
1;javaws 378C.odem;378;0.5;0.0;2.0;0.5;6; 5; 9; 6;100.0;251;3805688
0;pdf_renderer 199C.odem;199;2.0;1.0;1.5;0.5;9; 7; 8; 6;100.0;1778;3797761
2;notepad-full 299C.odem;299;2.0;0.5;1.0;1.5;9; 6; 7; 8;100.0;529;3839597
8;notepad-full 299C.odem;299;1.0;0.0;2.0;2.5;7; 5; 9; 10;100.0;13;62474
0;jtreeview 329C.odem;329;1.0;0.0;2.0;2.5;7; 5; 9; 10;100.0;406;4031909
7;pfcda_swing 252C.odem;252;2.5;1.0;2.0;0.5;10; 7; 9; 6;100.0;628;2283372
7;jconsole-1.7.0 220C.odem;220;1.5;0.0;1.0;1.5;8; 5; 7; 8;100.0;510;1136120
8;Jung-visualization 221C.odem;221;2.0;0.0;2.5;0.5;9; 5; 10; 6;100.0;817;1948033
3;dom4j-1.5.2 195C.odem;195;1.0;1.0;1.5;1.0;7; 7; 8; 7;100.0;1974;4158942
5;notepad-full 299C.odem;299;1.0;0.0;1.5;1.0;7; 5; 8; 7;100.0;570;3620239
6;dom4j-1.5.2 195C.odem;195;2.0;0.5;2.0;1.5;9; 6; 9; 8;100.0;1374;2450227
9;Jung-graph 207C.odem;207;2.5;0.5;2.5;1.0;10; 6; 10; 7;100.0;975;2028944
2;log4j-1.2.16 308C.odem;308;1.0;0.0;2.0;1.0;7; 5; 9; 7;100.0;543;4352736
8;pdf_renderer 199C.odem;199;2.5;-0.5;2.0;1.0;10; 4; 9; 7;100.0;1124;2059000
9;jconsole-1.7.0 220C.odem;220;1.0;0.0;2.5;1.5;7; 5; 10; 8;100.0;410;957505
5;Jung-visualization 221C.odem;221;1.5;0.0;2.5;1.0;8; 5; 10; 7;100.0;1311;3171104
4;Jung-graph 207C.odem;207;2.5;0.0;2.5;1.0;10; 5; 10; 7;100.0;1833;4480688
9;JavaGeom 172C.odem;172;0.5;0.5;2.0;0.5;6; 6; 9; 6;100.0;1541;1867994
8;jconsole-1.7.0 220C.odem;220;2.5;-0.5;2.5;1.0;10; 4; 10; 7;100.0;532;1237625
5;jconsole-1.7.0 220C.odem;220;2.5;-0.5;1.0;2.0;10; 4; 7; 9;100.0;1185;3120705
9;Jung-visualization 221C.odem;221;1.5;0.5;2.0;2.0;8; 6; 9; 9;100.0;800;1847026
6;jconsole-1.7.0 220C.odem;220;1.0;0.0;1.0;2.5;7; 5; 7; 10;100.0;916;1883990
4;pfcda_swing 252C.odem;252;0.5;1.0;1.0;1.0;6; 7; 7; 7;100.0;1142;4801211
7;pdf_renderer 199C.odem;199;2.5;1.0;1.0;2.5;10; 7; 7; 10;100.0;1894;3453127
0;jace 340C.odem;340;1.0;0.5;1.0;0.5;7; 6; 7; 6;100.0;520;4880445
8;JavaGeom 172C.odem;172;2.0;1.0;-2.0;-1.0;9; 7; 1; 3;87.04;2001;2283960
1;poormans_2.3 304C.odem;304;1.0;0.5;1.0;1.5;7; 6; 7; 8;100.0;738;4868397
7;notepad-full 299C.odem;299;1.5;0.0;2.5;1.0;8; 5; 10; 7;100.0;361;2001716
2;javaws-7 378C.odem;378;1.0;0.5;1.5;0.5;7; 6; 8; 6;100.0;351;4936486
8;pfcda_swing 252C.odem;252;1.5;0.5;1.0;0.5;8; 6; 7; 6;100.0;865;3041276
3;jml 270C.odem;270;0.5;-0.5;2.0;0.5;6; 4; 9; 6;100.0;960;4953297
5;jace 340C.odem;340;1.5;-0.5;2.5;2.0;8; 4; 10; 9;100.0;21;116247
8;Jung-graph 207C.odem;207;-2.0;-2.5;-2.0;-1.5;1; 0; 1; 2;99.01;2003;3538291
5;jtreeview 329C.odem;329;2.0;-0.5;2.0;1.5;9; 4; 9; 8;100.0;432;2781287
6;jace 340C.odem;340;1.0;0.5;2.5;1.5;7; 6; 10; 8;100.0;65;381403
0;jpassword 269C.odem;269;0.5;0.0;2.0;0.5;6; 5; 9; 6;100.0;1142;5389118
7;javaws 378C.odem;378;1.5;0.5;1.5;0.5;8; 6; 8; 6;100.0;186;1698523
3;jpassword 269C.odem;269;2.0;0.5;2.0;0.5;9; 6; 9; 6;100.0;1318;5712677
0;javaws 378C.odem;378;2.5;0.0;1.0;1.0;10; 5; 7; 7;100.0;491;5751062
1;log4j-1.2.16 308C.odem;308;1.0;-0.5;2.5;1.0;7; 4; 10; 7;100.0;875;5771193
6;Jung-visualization 221C.odem;221;1.0;0.5;1.0;0.5;7; 6; 7; 6;100.0;2002;4209020
3;poormans_2.3 304C.odem;304;2.0;0.0;2.5;1.0;9; 5; 10; 7;100.0;949;5876587
3;jace 340C.odem;340;2.0;0.5;2.5;2.5;9; 6; 10; 10;100.0;702;5895491
6;jpassword 269C.odem;269;2.0;0.0;2.0;0.5;9; 5; 9; 6;100.0;94;268015
2;poormans_2.3 304C.odem;304;1.5;0.0;2.5;1.0;8; 5; 10; 7;100.0;978;5973469
5;poormans_2.3 304C.odem;304;2.5;-1.5;1.0;1.0;10; 2; 7; 7;100.0;1027;5878867
3;log4j-1.2.16 308C.odem;308;0.5;0.0;2.5;1.0;6; 5; 10; 7;100.0;1017;6191587
4;jpassword 269C.odem;269;1.0;-0.5;1.0;1.0;7; 4; 7; 7;100.0;1447;6197333
1;jace 340C.odem;340;2.0;0.0;2.0;2.0;9; 5; 9; 9;100.0;722;6219843
4;poormans_2.3 304C.odem;304;2.0;0.0;1.0;0.5;9; 5; 7; 6;100.0;1065;6232410
4;jtreeview 329C.odem;329;1.0;0.0;1.0;0.5;7; 5; 7; 6;100.0;818;6247356
7;jace 340C.odem;340;1.0;1.0;1.0;1.0;7; 7; 7; 7;100.0;157;906353
4;notepad-full 299C.odem;299;1.5;-0.5;2.0;1.5;8; 4; 9; 8;100.0;1072;6299888
1;jpassword 269C.odem;269;2.5;0.5;2.0;1.0;10; 6; 9; 7;100.0;1460;6305730
7;jpassword 269C.odem;269;2.5;0.0;2.5;0.5;10; 5; 10; 6;100.0;142;425513
9;jace 340C.odem;340;2.5;0.0;1.5;0.5;10; 5; 8; 6;100.0;34;198795
9;javaws 378C.odem;378;0.5;0.0;1.0;1.0;6; 5; 7; 7;100.0;124;960049
4;res_cobol 483C.odem;483;1.0;1.0;1.5;0.5;7; 7; 8; 6;100.0;281;6727852
3;pfcda_swing 252C.odem;252;-1.5;1.5;-2.0;-0.5;2; 8; 1; 4;83.74;2001;6775030
8;jtreeview 329C.odem;329;0.5;0.0;2.0;1.5;6; 5; 9; 8;100.0;138;696875
8;jpassword 269C.odem;269;1.0;0.0;1.5;1.0;7; 5; 8; 7;100.0;273;771946
7;javaws-7 378C.odem;378;2.5;0.0;1.5;0.5;10; 5; 8; 6;100.0;274;2042493
9;jpassword 269C.odem;269;0.5;0.5;2.5;0.5;6; 6; 10; 6;100.0;287;778838
7;jml 270C.odem;270;0.5;-0.5;1.5;0.5;6; 4; 8; 6;100.0;797;2217655
5;javaws-7 378C.odem;378;1.5;-2.0;1.0;0.5;8; 1; 7; 6;100.0;508;4579888
5;jpassword 269C.odem;269;2.5;0.0;2.5;1.0;10; 5; 10; 7;100.0;657;1802357
2;jml 270C.odem;270;0.5;0.0;2.5;1.0;6; 5; 10; 7;100.0;1828;7205190
9;notepad-full 299C.odem;299;1.0;-0.5;1.5;1.0;7; 4; 8; 7;100.0;816;3311097
8;log4j-1.2.16 308C.odem;308;1.0;0.0;2.0;1.5;7; 5; 9; 8;100.0;281;1105936
9;log4j-1.2.16 308C.odem;308;0.5;-0.5;2.0;1.5;6; 4; 9; 8;100.0;69;253529
2;jpassword 269C.odem;269;-1.0;1.5;-1.5;-0.5;3; 8; 2; 4;94.68;2000;7570927
7;poormans_2.3 304C.odem;304;2.0;-0.5;2.0;1.5;9; 4; 9; 8;100.0;465;1732883
8;jml 270C.odem;270;1.0;-0.5;2.5;1.0;7; 4; 10; 7;100.0;191;457621
3;notepad-full 299C.odem;299;0.5;0.0;2.5;1.0;6; 5; 10; 7;100.0;1453;7624877
2;jace 340C.odem;340;2.5;-1.0;1.0;1.0;10; 3; 7; 7;100.0;994;7643703
1;jml 270C.odem;270;2.0;-1.5;2.0;1.5;9; 2; 9; 8;89.23;2003;7683238
6;javaws 378C.odem;378;2.0;-0.5;1.0;0.5;9; 4; 7; 6;100.0;528;4363633
4;jml 270C.odem;270;1.0;-1.5;1.5;1.0;7; 2; 8; 7;89.23;2001;7762022
1;jtreeview 329C.odem;329;2.5;0.0;2.0;2.0;10; 5; 9; 9;100.0;1165;7790920
9;pfcda_swing 252C.odem;252;-2.0;-0.5;-1.0;-1.0;1; 4; 3; 3;83.74;2002;5021147
4;javaws 378C.odem;378;0.5;0.0;1.5;0.5;6; 5; 8; 6;100.0;849;8538344
3;jtreeview 329C.odem;329;1.0;0.0;1.5;0.5;7; 5; 8; 6;100.0;1306;8548686
6;jml 270C.odem;270;2.0;0.0;1.0;0.5;9; 5; 7; 6;100.0;1934;5353433
7;jtreeview 329C.odem;329;2.5;-0.5;2.0;2.0;10; 4; 9; 9;100.0;747;3501148
3;javaws-7 378C.odem;378;2.5;-0.5;2.0;0.5;10; 4; 9; 6;100.0;953;8853720
2;javaws 378C.odem;378;2.5;-1.0;1.5;0.5;10; 3; 8; 6;100.0;944;8899686
6;poormans_2.3 304C.odem;304;2.0;-0.5;2.0;1.0;9; 4; 9; 7;100.0;1078;4067395
9;poormans_2.3 304C.odem;304;1.0;0.0;1.0;1.5;7; 5; 7; 8;100.0;798;2828516
8;poormans_2.3 304C.odem;304;1.0;0.5;1.0;1.5;7; 6; 7; 8;100.0;965;3058057
6;jtreeview 329C.odem;329;2.5;0.0;1.0;0.5;10; 5; 7; 6;100.0;1217;5252986
6;log4j-1.2.16 308C.odem;308;0.5;-1.0;1.0;1.0;6; 3; 7; 7;100.0;1476;5100891
4;log4j-1.2.16 308C.odem;308;-2.5;-2.0;-2.0;-1.5;0; 1; 1; 2;92.43;2002;9580389
9;jtreeview 329C.odem;329;2.5;0.5;2.0;1.0;10; 6; 9; 7;100.0;822;2700453
9;javaws-7 378C.odem;378;2.5;0.5;2.0;1.0;10; 6; 9; 7;100.0;447;2577420
5;log4j-1.2.16 308C.odem;308;2.5;-0.5;1.5;1.5;10; 4; 8; 8;93.67;2000;8740331
6;javaws-7 378C.odem;378;0.5;0.0;1.0;1.0;6; 5; 7; 7;100.0;979;6948890
0;res_cobol 483C.odem;483;0.5;-0.5;1.0;0.5;6; 4; 7; 6;100.0;531;9877790
4;jace 340C.odem;340;0.5;-0.5;2.5;2.5;6; 4; 10; 10;100.0;1745;10210255
8;jace 340C.odem;340;2.0;-0.5;2.5;1.0;9; 4; 10; 7;100.0;1055;4361165
6;res_cobol 483C.odem;483;2.0;1.0;1.0;1.5;9; 7; 7; 8;100.0;96;630087
7;log4j-1.2.16 308C.odem;308;2.5;0.0;2.0;0.5;10; 5; 9; 6;100.0;1890;4753179
9;jml 270C.odem;270;0.5;1.0;1.0;1.0;6; 7; 7; 7;100.0;1955;3370563
1;res_cobol 483C.odem;483;2.0;0.0;1.0;2.0;9; 5; 7; 9;100.0;697;10669873
3;res_cobol 483C.odem;483;2.0;0.0;1.0;2.0;9; 5; 7; 9;100.0;829;11420533
8;javaws 378C.odem;378;0.5;0.5;1.5;0.5;6; 6; 8; 6;100.0;1493;6039488
4;javaws-7 378C.odem;378;-2.0;-2.5;2.5;2.5;1; 0; 10; 10;94.21;2003;11920010
5;res_cobol 483C.odem;483;1.0;0.5;1.0;1.0;7; 6; 7; 7;100.0;701;5614844
8;res_cobol 483C.odem;483;0.5;-0.5;1.0;2.0;6; 4; 7; 9;100.0;346;2157274
2;lwjgl 569C.odem;569;1.5;-1.0;1.5;0.5;8; 3; 8; 6;100.0;804;13254225
8;javaws-7 378C.odem;378;0.5;-1.5;2.5;1.0;6; 2; 10; 7;94.21;2000;6618476
1;lwjgl 569C.odem;569;0.5;0.0;2.5;1.5;6; 5; 10; 8;100.0;906;14229046
5;lwjgl 569C.odem;569;1.5;0.5;1.0;1.0;8; 6; 7; 7;100.0;309;2090551
7;lwjgl 569C.odem;569;1.0;0.0;2.0;1.5;7; 5; 9; 8;100.0;42;243354
9;res_cobol 483C.odem;483;2.5;0.0;2.0;0.5;10; 5; 9; 6;100.0;875;4200630
6;lwjgl 569C.odem;569;1.0;0.0;1.0;1.0;7; 5; 7; 7;100.0;362;1840232
2;res_cobol 483C.odem;483;1.5;0.5;1.0;2.0;8; 6; 7; 9;100.0;1964;16325329
8;lwjgl 569C.odem;569;1.5;0.5;1.0;1.0;8; 6; 7; 7;100.0;323;1072989
7;res_cobol 483C.odem;483;1.5;0.0;1.0;1.0;8; 5; 7; 7;100.0;1610;6230239
0;lwjgl 569C.odem;569;2.5;-1.0;1.5;0.5;10; 3; 8; 6;100.0;1799;17521847
3;lwjgl 569C.odem;569;2.5;0.5;2.5;1.5;10; 6; 10; 8;100.0;1918;17703851
4;lwjgl 569C.odem;569;0.5;0.5;1.5;2.5;6; 6; 8; 10;87.52;2003;17926973
9;lwjgl 569C.odem;569;1.0;1.5;1.0;2.5;7; 8; 7; 10;87.52;2004;3834281
