cycle;instance;nclasses;n1;n2;n3;n4;p1;p2;p3;p4;mojo;evals;tempo
2;jstl-1.0.6 18C.odem;18;-2.0;0.5;-2.5;-2.5;1; 6; 0; 0;92.86;2000;8024
5;jxls-reader 27C.odem;27;-1.0;-1.0;-1.5;-1.0;3; 3; 2; 3;100.0;205;3368
1;jxls-reader 27C.odem;27;0.5;0.0;2.0;1.0;6; 5; 9; 7;100.0;305;4715
9;jnanoxml 25C.odem;25;-0.5;0.5;-2.5;-2.0;4; 6; 0; 1;100.0;620;6537
8;jnanoxml 25C.odem;25;1.5;0.5;2.5;2.0;8; 6; 10; 9;100.0;653;7229
8;jxls-reader 27C.odem;27;-2.0;0.0;-2.5;-1.5;1; 5; 0; 2;100.0;101;1784
2;seemp 31C.odem;31;-2.5;-1.0;-2.5;-1.0;0; 3; 0; 3;100.0;22;29
5;seemp 31C.odem;31;0.5;0.0;1.0;1.0;6; 5; 7; 7;100.0;46;307
1;seemp 31C.odem;31;-0.5;0.0;-2.5;-0.5;4; 5; 0; 4;100.0;28;27
0;jfluid-1.7.0 82C.odem;82;2.0;0.5;1.0;1.0;9; 6; 7; 7;100.0;56;13356
7;jxls-reader 27C.odem;27;-1.5;0.5;-2.5;-1.0;2; 6; 0; 3;100.0;344;6067
9;jxls-reader 27C.odem;27;0.5;-0.5;1.5;0.5;6; 4; 8; 6;100.0;348;4391
4;udt-java 56C.odem;56;2.5;0.0;2.0;2.0;10; 5; 9; 9;100.0;27;2375
0;seemp 31C.odem;31;2.5;-1.0;1.0;0.5;10; 3; 7; 6;100.0;247;3030
6;jxls-reader 27C.odem;27;2.0;0.0;2.5;1.5;9; 5; 10; 8;100.0;480;8342
7;seemp 31C.odem;31;1.0;-0.5;2.0;1.5;7; 4; 9; 8;100.0;177;3270
9;seemp 31C.odem;31;2.0;-2.0;2.0;1.0;9; 1; 9; 7;100.0;9;62
6;seemp 31C.odem;31;1.5;-1.5;2.5;1.0;8; 2; 10; 7;100.0;204;3985
3;joda-money 26C.odem;26;-1.0;0.5;-1.5;-1.0;3; 6; 2; 3;100.0;1211;15257
7;jstl-1.0.6 18C.odem;18;-1.5;-0.5;-1.5;-1.5;2; 4; 2; 2;92.86;2004;10529
3;servletapi-2.3 63C.odem;63;2.5;0.5;2.0;1.5;10; 6; 9; 8;100.0;36;4458
4;seemp 31C.odem;31;2.5;-2.0;2.0;1.5;10; 1; 9; 8;100.0;370;5527
9;joda-money 26C.odem;26;0.5;0.5;1.5;1.0;6; 6; 8; 7;100.0;1139;15732
3;seemp 31C.odem;31;1.0;-0.5;1.5;0.5;7; 4; 8; 6;100.0;470;7163
5;udt-java 56C.odem;56;1.0;-0.5;2.0;1.0;7; 4; 9; 7;100.0;53;7399
3;jscatterplot 74C.odem;74;2.0;-1.0;1.0;0.5;9; 3; 7; 6;100.0;94;23748
6;forms-1.3.0 68C.odem;68;-2.5;-0.5;-1.0;-0.5;0; 4; 3; 4;100.0;239;28909
3;forms-1.3.0 68C.odem;68;-2.5;0.0;-2.0;-2.5;0; 5; 1; 0;100.0;278;31974
8;seemp 31C.odem;31;-1.5;-0.5;-1.5;-0.5;2; 4; 2; 4;100.0;543;12563
0;servletapi-2.3 63C.odem;63;2.5;1.0;1.0;0.5;10; 7; 7; 6;100.0;96;15738
3;javaocr 59C.odem;59;2.0;1.0;2.5;1.0;9; 7; 10; 7;100.0;377;34706
1;javaocr 59C.odem;59;1.5;-0.5;2.5;1.0;8; 4; 10; 7;100.0;420;35900
3;udt-java 56C.odem;56;1.5;0.5;1.5;2.0;8; 6; 8; 9;100.0;203;19321
2;udt-java 56C.odem;56;-1.0;1.0;-2.0;-2.5;3; 7; 1; 0;100.0;176;19861
3;jdendogram 177C.odem;177;0.5;0.0;2.0;2.0;6; 5; 9; 9;100.0;16;34867
8;forms-1.3.0 68C.odem;68;2.0;0.0;2.0;0.5;9; 5; 9; 6;100.0;240;38601
8;udt-java 56C.odem;56;0.5;0.0;1.0;1.5;6; 5; 7; 8;100.0;52;4991
7;udt-java 56C.odem;56;1.5;0.5;2.0;2.5;8; 6; 9; 10;100.0;67;7031
1;udt-java 56C.odem;56;-2.0;0.0;-2.0;-2.0;1; 5; 1; 1;100.0;235;28621
6;javaocr 59C.odem;59;-0.5;-0.5;-2.5;-2.0;4; 4; 0; 1;100.0;82;10611
5;javaocr 59C.odem;59;-1.5;0.0;-2.5;-2.0;2; 5; 0; 1;100.0;283;37187
0;udt-java 56C.odem;56;-1.0;0.0;-2.5;-1.0;3; 5; 0; 3;100.0;301;31977
2;jscatterplot 74C.odem;74;-1.5;2.5;-1.0;-0.5;2; 10; 3; 4;100.0;171;43501
4;jfluid-1.7.0 82C.odem;82;-1.0;-0.5;-1.5;-1.0;3; 4; 2; 3;100.0;170;47307
6;servletapi-2.3 63C.odem;63;2.0;0.0;1.0;0.5;9; 5; 7; 6;100.0;160;20338
4;pfcda_base 67C.odem;67;1.5;-0.5;1.0;1.0;8; 4; 7; 7;100.0;252;44674
1;pfcda_base 67C.odem;67;2.5;0.5;2.0;2.5;10; 6; 9; 10;100.0;270;49958
9;forms-1.3.0 68C.odem;68;-2.0;0.0;-2.5;-2.0;1; 5; 0; 1;100.0;313;57902
6;udt-java 56C.odem;56;0.5;1.0;1.5;2.0;6; 7; 8; 9;100.0;372;38981
1;jdendogram 177C.odem;177;1.0;-2.5;1.0;1.0;7; 0; 7; 7;100.0;25;64821
1;JPassword 96C.odem;96;2.5;0.0;1.5;0.5;10; 5; 8; 6;100.0;146;63071
