cycle;instance;nclasses;n1;n2;n3;n4;n5;n6;p1;p2;p3;p4;p5;p6;mojo;evals;tempo
4;joda-money 26C.odem;26;-1.5;1.0;0.5;-1.0;-1.5;-2.0;2;7;6;3;2;1;100.0;2574;47621 ms
1;jnanoxml 25C.odem;25;-2.0;0.0;-1.0;-2.0;-1.5;-2.0;1;5;3;1;2;1;90.91;3005;47126 ms
4;jnanoxml 25C.odem;25;1.5;-0.5;0.5;-1.5;1.5;2.0;8;4;6;2;8;9;95.24;3005;49295 ms
7;seemp 31C.odem;31;2.0;-1.0;1.5;1.0;1.0;2.5;9;3;8;7;7;10;100.0;1447;43044 ms
3;joda-money 26C.odem;26;1.0;-2.0;2.0;2.0;2.5;0.5;7;1;9;9;10;6;95.83;3001;53905 ms
6;joda-money 26C.odem;26;2.5;0.0;-1.0;1.0;2.0;1.5;10;5;3;7;9;8;100.0;1859;35585 ms
1;jxls-reader 27C.odem;27;-2.5;1.0;0.5;0.0;-0.5;-1.5;0;7;6;5;4;2;95.24;3000;55253 ms
2;joda-money 26C.odem;26;1.0;-2.5;2.5;1.5;2.5;0.0;7;0;10;8;10;5;95.83;3004;56104 ms
1;seemp 31C.odem;31;-2.5;2.5;-1.5;-2.5;-1.5;0.5;0;10;2;0;2;6;100.0;2299;62753 ms
3;jxls-reader 27C.odem;27;0.5;0.0;-0.5;2.5;2.0;0.0;6;5;4;10;9;5;90.91;3000;58000 ms
2;jxls-reader 27C.odem;27;-1.5;-1.0;0.0;-2.0;-1.0;-1.0;2;3;5;1;3;3;95.24;3004;58910 ms
9;joda-money 26C.odem;26;1.5;0.5;1.0;2.5;1.0;0.0;8;6;7;10;7;5;100.0;391;6430 ms
6;jxls-reader 27C.odem;27;1.0;0.0;0.5;2.5;1.0;0.0;7;5;6;10;7;5;100.0;1803;34261 ms
5;joda-money 26C.odem;26;0.5;1.5;2.0;-1.0;1.0;1.5;6;8;9;3;7;8;95.83;3002;55491 ms
7;jnanoxml 25C.odem;25;1.0;0.0;-0.5;2.0;1.0;2.5;7;5;4;9;7;10;100.0;2520;38283 ms
5;jxls-reader 27C.odem;27;-2.5;-0.5;1.5;2.0;-2.0;-2.5;0;4;8;9;1;0;90.48;3006;56937 ms
8;jnanoxml 25C.odem;25;-1.0;0.0;0.0;2.5;-2.0;-2.0;3;5;5;10;1;1;90.91;3003;43880 ms
8;seemp 31C.odem;31;-2.5;0.0;-0.5;-2.5;-0.5;-1.5;0;5;4;0;4;2;100.0;2217;58718 ms
9;jnanoxml 25C.odem;25;-1.5;0.0;0.0;0.5;-2.0;1.0;2;5;5;6;1;7;86.36;3003;43354 ms
3;jscatterplot 74C.odem;74;-1.0;0.0;1.0;-2.5;-1.0;0.0;3;5;7;0;3;5;100.0;298;96549 ms
7;joda-money 26C.odem;26;0.5;-1.5;0.5;2.5;2.0;0.0;6;2;6;10;9;5;95.83;3006;48487 ms
9;seemp 31C.odem;31;-1.0;1.5;2.0;-0.5;1.0;1.5;3;8;9;4;7;8;100.0;2901;74281 ms
8;joda-money 26C.odem;26;2.5;-0.5;0.5;1.5;0.5;0.0;10;4;6;8;6;5;95.83;3003;48562 ms
7;jxls-reader 27C.odem;27;1.5;0.0;0.5;0.5;2.5;1.5;8;5;6;6;10;8;95.45;3006;49637 ms
9;jxls-reader 27C.odem;27;1.5;2.0;1.0;0.5;1.5;2.0;8;9;7;6;8;9;86.36;3001;48105 ms
8;jxls-reader 27C.odem;27;1.0;-0.5;-0.5;2.0;2.5;0.5;7;4;4;9;10;6;95.45;3000;50189 ms
2;JavaGeom 172C.odem;172;1.0;1.0;1.0;2.0;1.5;0.0;7;7;7;9;8;5;100.0;31;114194 ms
3;JPassword 96C.odem;96;2.5;1.0;-0.5;2.5;1.0;1.0;10;7;4;10;7;7;100.0;243;153675 ms
2;jscatterplot 74C.odem;74;-2.5;1.5;0.5;-1.5;-0.5;-1.5;0;8;6;2;4;2;100.0;518;154923 ms
2;jxls-core 83C.odem;83;0.5;0.0;0.5;2.5;1.0;0.0;6;5;6;10;7;5;100.0;495;195177 ms
1;servletapi-2.3 63C.odem;63;1.5;0.0;0.5;1.5;1.0;0.0;8;5;6;8;7;5;100.0;1651;279260 ms
0;jfluid-1.7.0 82C.odem;82;1.0;0.5;0.0;2.0;1.5;-0.5;7;6;5;9;8;4;100.0;924;349825 ms
2;udt-java 56C.odem;56;-1.5;2.5;-2.5;-2.5;-1.5;0.5;2;10;0;0;2;6;94.12;3004;381193 ms
0;udt-java 56C.odem;56;-2.5;0.0;-0.5;-2.5;-0.5;-1.0;0;5;4;0;4;3;96.08;3005;383507 ms
1;udt-java 56C.odem;56;-1.0;0.0;1.0;-2.5;-1.0;-1.0;3;5;7;0;3;3;96.08;3001;384728 ms
3;udt-java 56C.odem;56;-0.5;-0.5;-1.5;-2.5;-0.5;-1.0;4;4;2;0;4;3;96.08;3002;387767 ms
4;udt-java 56C.odem;56;-2.0;-2.5;0.0;2.0;0.5;0.5;1;0;5;9;6;6;94.12;3002;389457 ms
0;javaocr 59C.odem;59;-2.5;1.0;-1.0;0.0;-2.5;-2.5;0;7;3;5;0;0;94.23;3006;437954 ms
3;javaocr 59C.odem;59;2.0;1.0;0.5;2.5;1.5;-0.5;9;7;6;10;8;4;96.15;3002;443463 ms
4;javaocr 59C.odem;59;2.5;-1.0;-2.0;1.0;1.5;0.5;10;3;1;7;8;6;94.23;3005;443488 ms
2;javaocr 59C.odem;59;2.5;-1.0;0.0;0.5;2.0;1.5;10;3;5;6;9;8;94.23;3003;443942 ms
1;javaocr 59C.odem;59;2.0;-1.0;1.5;-0.5;0.5;2.0;9;3;8;4;6;9;92.31;3004;445320 ms
6;jscatterplot 74C.odem;74;-1.0;1.5;0.0;-1.0;-1.5;0.0;3;8;5;3;2;5;100.0;1350;376709 ms
0;servletapi-2.3 63C.odem;63;-2.5;0.0;-0.5;-1.5;-1.5;0.0;0;5;4;2;2;5;96.49;3004;496681 ms
3;servletapi-2.3 63C.odem;63;-1.0;0.0;-1.5;-0.5;-0.5;-2.5;3;5;2;4;4;0;91.38;3001;497274 ms
4;servletapi-2.3 63C.odem;63;-1.0;0.0;0.0;-1.5;-0.5;-2.0;3;5;5;2;4;1;91.38;3000;506488 ms
2;servletapi-2.3 63C.odem;63;-2.5;0.5;0.0;-2.0;-2.5;-2.5;0;6;5;1;0;0;93.1;3002;508487 ms
7;javaocr 59C.odem;59;-2.5;0.5;0.0;-2.5;-2.5;0.0;0;6;5;0;0;5;100.0;1084;153667 ms
9;udt-java 56C.odem;56;1.5;0.5;0.0;2.5;2.0;0.0;8;6;5;10;9;5;100.0;1658;209123 ms
4;pfcda_base 67C.odem;67;1.5;0.0;-1.0;-0.5;1.0;-0.5;8;5;3;4;7;4;86.67;3001;616155 ms
2;pfcda_base 67C.odem;67;-0.5;0.0;1.0;-2.5;-2.0;0.5;4;5;7;0;1;6;91.53;3003;619947 ms
3;pfcda_base 67C.odem;67;0.5;0.0;-0.5;1.5;2.0;1.5;6;5;4;8;9;8;90.0;3005;620669 ms
0;pfcda_base 67C.odem;67;0.5;-0.5;0.0;-2.0;2.5;2.0;6;4;5;1;10;9;85.48;3001;625567 ms
1;pfcda_base 67C.odem;67;-1.0;0.0;0.0;-1.5;-1.0;-2.5;3;5;5;2;3;0;91.53;3001;633167 ms
6;udt-java 56C.odem;56;1.0;-0.5;-1.0;1.5;0.5;-1.0;7;4;3;8;6;3;100.0;2061;252870 ms
2;forms-1.3.0 68C.odem;68;-2.0;1.5;-1.5;0.0;-1.0;-2.5;1;8;2;5;3;0;98.44;3003;651976 ms
0;forms-1.3.0 68C.odem;68;2.5;-0.5;2.0;1.5;1.5;-1.0;10;4;9;8;8;3;98.44;3003;657213 ms
3;forms-1.3.0 68C.odem;68;-1.0;1.5;-2.0;1.0;-1.5;-2.5;3;8;1;7;2;0;98.44;3004;665784 ms
1;forms-1.3.0 68C.odem;68;-2.5;0.5;-1.5;-2.0;-2.5;2.0;0;6;2;1;0;9;98.44;3002;666652 ms
4;forms-1.3.0 68C.odem;68;-0.5;1.0;-1.5;-2.5;-1.5;1.0;4;7;2;0;2;7;98.44;3005;667085 ms
7;forms-1.3.0 68C.odem;68;2.0;0.0;-1.0;2.5;2.0;0.5;9;5;3;10;9;6;100.0;15;3427 ms
5;forms-1.3.0 68C.odem;68;-1.5;0.0;1.0;-2.0;-2.0;-2.0;2;5;7;1;1;1;100.0;99;21566 ms
5;jfluid-1.7.0 82C.odem;82;2.0;0.0;0.5;0.5;0.5;0.0;9;5;6;6;6;5;100.0;1059;394339 ms
5;udt-java 56C.odem;56;-2.0;-0.5;2.5;-2.0;-1.5;-1.5;1;4;10;1;2;2;96.08;3004;373115 ms
7;udt-java 56C.odem;56;0.0;-2.0;-2.5;2.5;1.0;0.5;5;1;0;10;7;6;94.12;3003;370733 ms
6;servletapi-2.3 63C.odem;63;2.0;0.0;-2.5;2.0;1.5;-0.5;9;5;0;9;8;4;100.0;1658;272140 ms
8;udt-java 56C.odem;56;-2.5;-1.5;-0.5;-0.5;-1.5;-2.0;0;2;4;4;2;1;93.88;3006;379199 ms
5;servletapi-2.3 63C.odem;63;0.5;-0.5;0.0;1.5;2.5;0.0;6;4;5;8;10;5;91.53;3004;495988 ms
4;jscatterplot 74C.odem;74;-2.5;2.0;1.5;-1.5;-1.5;0.0;0;9;8;2;2;5;98.61;3003;824521 ms
5;jscatterplot 74C.odem;74;-1.0;0.0;-0.5;-0.5;1.0;0.0;3;5;4;4;7;5;98.61;3005;824877 ms
