cycle;instance;nclasses;n1;n2;n3;n4;n5;n6;n7;n8;p1;p2;p3;p4;p5;p6;p7;p8;mojo;evals;tempo
8;jstl-1.0.6 18C.odem;18;-0.5;2.0;-0.5;-2.5;-1.0;2.5;1.0;-1.5;4; 9; 4; 0; 3; 10; 7; 2;86.67;4008;26201 ms
5;seemp 31C.odem;31;-2.5;-2.5;-2.0;-2.5;-2.0;-0.5;0.0;-1.5;0; 0; 1; 0; 1; 4; 5; 2;100.0;1901;59928 ms
9;jstl-1.0.6 18C.odem;18;1.0;2.0;1.5;-1.0;-1.5;2.0;2.0;0.0;7; 9; 8; 3; 2; 9; 9; 5;92.86;4007;27286 ms
2;joda-money 26C.odem;26;2.5;-1.0;-2.0;-2.5;2.5;0.5;1.0;1.0;10; 3; 1; 0; 10; 6; 7; 7;100.0;2649;58759 ms
6;seemp 31C.odem;31;-2.5;0.5;-2.0;2.5;-2.0;1.0;-0.5;-2.0;0; 6; 1; 10; 1; 7; 4; 1;100.0;1253;36754 ms
4;jnanoxml 25C.odem;25;-1.0;-1.5;-2.5;-1.5;-0.5;-2.5;-1.5;-1.5;3; 2; 0; 2; 4; 0; 2; 2;86.36;4009;66354 ms
0;jnanoxml 25C.odem;25;2.0;-1.5;2.0;-0.5;0.0;2.5;-0.5;1.5;9; 2; 9; 4; 5; 10; 4; 8;81.82;4008;66625 ms
1;jnanoxml 25C.odem;25;-0.5;-1.0;0.5;-0.5;2.0;0.5;1.5;1.5;4; 3; 6; 4; 9; 6; 8; 8;80.95;4005;66875 ms
3;jnanoxml 25C.odem;25;-2.5;0.0;-1.0;-1.0;-0.5;-1.0;-1.0;-2.5;0; 5; 3; 3; 4; 3; 3; 0;86.36;4002;68062 ms
2;jnanoxml 25C.odem;25;-2.0;-0.5;-1.0;0.0;0.0;-1.0;-2.0;1.0;1; 4; 3; 5; 5; 3; 1; 7;90.91;4004;71877 ms
4;joda-money 26C.odem;26;1.0;0.0;0.5;-0.5;0.5;2.5;2.0;0.5;7; 5; 6; 4; 6; 10; 9; 6;95.83;4006;74539 ms
0;joda-money 26C.odem;26;2.5;0.0;-1.5;-0.5;2.5;0.5;2.0;0.5;10; 5; 2; 4; 10; 6; 9; 6;95.83;4003;76548 ms
3;joda-money 26C.odem;26;-2.5;-2.0;1.0;-0.5;-2.5;-2.5;2.5;-1.5;0; 1; 7; 4; 0; 0; 10; 2;95.83;4007;77189 ms
7;apache_zip 36C.odem;36;-0.5;2.0;-0.5;-1.0;-1.5;-2.5;-2.0;1.5;4; 9; 4; 3; 2; 0; 1; 8;100.0;1623;62174 ms
0;jxls-reader 27C.odem;27;-1.5;0.0;0.0;0.5;0.5;-2.0;-2.0;0.0;2; 5; 5; 6; 6; 1; 1; 5;90.91;4007;82909 ms
