cycle;instance;nclasses;n1;n2;n3;n4;n5;n6;n7;n8;p1;p2;p3;p4;p5;p6;p7;p8;mojo;evals;tempo
4;junit-3.8.1 100C.odem;100;1.5;-1.5;1.0;-1.0;1.5;2.0;-0.5;1.0;8; 2; 7; 3; 8; 9; 4; 7;94.68;4007;2720950 ms
2;junit-3.8.1 100C.odem;100;-1.5;2.5;1.5;1.0;-1.0;2.5;0.5;1.5;2; 10; 8; 7; 3; 10; 6; 8;92.71;4001;2730423 ms
5;jfluid-1.7.0 82C.odem;82;0.0;-2.5;1.5;-0.5;2.0;1.5;-0.5;1.5;5; 0; 8; 4; 9; 8; 4; 8;97.5;4008;1400028 ms
6;jfluid-1.7.0 82C.odem;82;-2.0;1.0;-0.5;-0.5;-2.0;-0.5;0.0;-1.5;1; 7; 4; 4; 1; 4; 5; 2;97.5;4005;1396779 ms
9;jfluid-1.7.0 82C.odem;82;2.5;-1.0;2.5;0.0;0.5;1.5;-1.0;1.5;10; 3; 10; 5; 6; 8; 3; 8;97.5;4006;1391113 ms
8;jfluid-1.7.0 82C.odem;82;1.0;1.0;-2.5;-1.0;-2.0;-1.5;-2.0;-0.5;7; 7; 0; 3; 1; 2; 1; 4;97.5;4003;1417403 ms
7;jfluid-1.7.0 82C.odem;82;-2.0;2.0;-0.5;-1.0;-2.0;-2.0;1.5;1.0;1; 9; 4; 3; 1; 1; 8; 7;98.75;4009;1429117 ms
5;jxls-core 83C.odem;83;1.5;-0.5;-1.0;-1.5;1.0;0.5;-0.5;2.0;8; 4; 3; 2; 7; 6; 4; 9;76.92;4007;1424160 ms
6;jxls-core 83C.odem;83;-2.5;0.5;-1.5;0.5;-2.0;-0.5;0.5;-0.5;0; 6; 2; 6; 1; 4; 6; 4;77.33;4004;1438738 ms
9;jxls-core 83C.odem;83;-2.0;0.5;0.0;-0.5;-1.0;-2.0;-0.5;1.0;1; 6; 5; 4; 3; 1; 4; 7;82.67;4001;1436425 ms
8;jxls-core 83C.odem;83;-2.5;-0.5;1.0;0.0;-2.5;-2.5;-1.0;0.5;0; 4; 7; 5; 0; 0; 3; 6;90.67;4007;1443352 ms
7;jxls-core 83C.odem;83;-1.0;0.0;-1.5;-2.5;-1.5;-2.0;-2.0;0.0;3; 5; 2; 0; 2; 1; 1; 5;84.21;4008;1455817 ms
4;xmldom 119C.odem;119;-2.0;-0.5;0.0;0.0;-1.0;-2.0;-1.5;-2.0;1; 4; 5; 5; 3; 1; 2; 1;94.69;4005;4125630 ms
0;xmldom 119C.odem;119;2.5;1.0;1.5;0.0;2.0;2.0;0.5;0.5;10; 7; 8; 5; 9; 9; 6; 6;93.81;4003;4130081 ms
3;xmldom 119C.odem;119;1.0;-2.0;-0.5;0.5;2.0;2.0;1.0;0.0;7; 1; 4; 6; 9; 9; 7; 5;90.09;4004;4133911 ms
1;xmldom 119C.odem;119;-0.5;-1.5;-1.0;-1.0;-1.0;-2.0;-2.5;-2.0;4; 2; 3; 3; 3; 1; 0; 1;90.18;4004;4137525 ms
2;xmldom 119C.odem;119;-2.5;0.5;-1.0;-1.0;-2.0;-2.5;-2.5;-2.0;0; 6; 3; 3; 1; 0; 0; 1;92.04;4009;4166045 ms
5;JPassword 96C.odem;96;2.5;-2.5;-0.5;0.0;2.5;2.5;1.5;-1.5;10; 0; 4; 5; 10; 10; 8; 2;87.21;4007;2084507 ms
7;JPassword 96C.odem;96;2.5;-1.0;-1.0;-2.0;1.0;1.5;-1.5;2.0;10; 3; 3; 1; 7; 8; 2; 9;84.27;4005;2063803 ms
6;JPassword 96C.odem;96;-2.5;2.0;-0.5;1.0;-2.5;-2.0;-0.5;-0.5;0; 9; 4; 7; 0; 1; 4; 4;80.9;4000;2075870 ms
8;JPassword 96C.odem;96;-1.0;0.5;0.0;-1.5;-1.0;-2.5;-2.5;-1.0;3; 6; 5; 2; 3; 0; 0; 3;87.78;4005;2087174 ms
9;JPassword 96C.odem;96;2.5;-0.5;-1.0;-1.0;2.0;1.5;0.5;1.0;10; 4; 3; 3; 9; 8; 6; 7;80.0;4003;2089667 ms
5;junit-3.8.1 100C.odem;100;2.0;-1.0;2.5;0.5;2.5;2.0;-1.0;2.0;9; 3; 10; 6; 10; 9; 3; 9;92.63;4003;2253553 ms
6;junit-3.8.1 100C.odem;100;-1.5;0.0;-1.0;0.0;1.0;-1.5;-1.5;0.0;2; 5; 3; 5; 7; 2; 2; 5;95.74;4000;2246507 ms
8;junit-3.8.1 100C.odem;100;-2.0;1.5;0.0;0.5;0.5;-0.5;-2.5;-1.5;1; 8; 5; 6; 6; 4; 0; 2;92.63;4007;2258310 ms
7;junit-3.8.1 100C.odem;100;0.0;2.0;-2.0;0.5;-1.0;-1.0;0.5;-0.5;5; 9; 1; 6; 3; 3; 6; 4;92.71;4001;2270013 ms
9;junit-3.8.1 100C.odem;100;-1.0;1.5;2.0;2.0;-1.0;2.0;-0.5;2.0;3; 8; 9; 9; 3; 9; 4; 9;91.75;4006;2260461 ms
1;jdendogram 177C.odem;177;-0.5;-2.5;0.5;-1.0;1.5;0.5;1.0;0.0;4; 0; 6; 3; 8; 6; 7; 5;100.0;1721;5708992 ms
3;tinytim 134C.odem;134;2.0;-1.0;0.0;0.0;1.5;1.0;0.5;0.0;9; 3; 5; 5; 8; 7; 6; 5;84.92;4001;5810945 ms
1;tinytim 134C.odem;134;-0.5;-2.5;2.0;-0.5;1.5;1.5;-0.5;0.0;4; 0; 9; 4; 8; 8; 4; 5;75.61;4005;5837811 ms
4;tinytim 134C.odem;134;-1.0;0.0;-1.0;-0.5;-2.5;-2.0;-1.0;-0.5;3; 5; 3; 4; 0; 1; 3; 4;92.0;4007;5839901 ms
0;tinytim 134C.odem;134;2.5;2.0;1.0;0.0;1.5;1.5;-2.5;0.5;10; 9; 7; 5; 8; 8; 0; 6;73.39;4003;5843964 ms
2;tinytim 134C.odem;134;-2.0;1.5;-1.0;0.5;0.5;-1.5;0.0;-1.0;1; 8; 3; 6; 6; 2; 5; 3;75.2;4008;5862940 ms
4;jkaryoscope 136C.odem;136;-1.0;2.5;2.5;-0.5;2.5;2.0;-2.5;1.0;3; 10; 10; 4; 10; 9; 0; 7;88.64;4005;6003929 ms
1;jkaryoscope 136C.odem;136;-2.0;-2.0;2.0;1.5;2.0;2.0;2.5;-2.0;1; 1; 9; 8; 9; 9; 10; 1;88.46;4004;6012645 ms
0;jkaryoscope 136C.odem;136;0.5;0.5;-1.5;0.0;-1.5;-1.5;-0.5;0.5;6; 6; 2; 5; 2; 2; 4; 6;89.31;4001;6015725 ms
2;jkaryoscope 136C.odem;136;0.0;-1.0;-1.5;-1.0;-2.0;2.0;2.0;2.5;5; 3; 2; 3; 1; 9; 9; 10;87.88;4008;6026624 ms
3;jkaryoscope 136C.odem;136;0.5;-2.5;2.0;-0.5;2.5;2.5;-1.0;1.5;6; 0; 9; 4; 10; 10; 3; 8;88.55;4005;6065307 ms
1;gae_plugin_core 140C.odem;140;-1.0;0.0;2.0;-1.5;2.5;1.0;1.0;0.0;3; 5; 9; 2; 10; 7; 7; 5;96.35;4006;6444457 ms
4;gae_plugin_core 140C.odem;140;-1.5;0.0;1.5;-0.5;-2.0;1.5;2.0;1.0;2; 5; 8; 4; 1; 8; 9; 7;96.35;4008;6449400 ms
2;gae_plugin_core 140C.odem;140;2.5;2.0;-0.5;2.0;2.0;2.0;-1.0;0.5;10; 9; 4; 9; 9; 9; 3; 6;95.65;4008;6455102 ms
3;gae_plugin_core 140C.odem;140;1.5;-2.5;-0.5;1.5;1.5;2.0;2.5;-0.5;8; 0; 4; 8; 8; 9; 10; 4;95.65;4001;6456506 ms
0;gae_plugin_core 140C.odem;140;2.0;-2.5;0.0;0.0;-2.5;0.5;2.0;1.5;9; 0; 5; 5; 0; 6; 9; 8;96.35;4003;6467620 ms
8;xmldom 119C.odem;119;-1.5;-1.0;-2.0;-0.5;0.5;-2.5;-1.5;0.0;2; 3; 1; 4; 6; 0; 2; 5;90.09;4003;3379315 ms
5;xmldom 119C.odem;119;2.5;-1.0;-2.5;-0.5;0.5;2.5;1.5;2.5;10; 3; 0; 4; 6; 10; 8; 10;90.0;4002;3402786 ms
7;xmldom 119C.odem;119;-2.0;2.0;2.5;-0.5;0.0;-1.5;-2.5;0.5;1; 9; 10; 4; 5; 2; 0; 6;91.23;4005;3394992 ms
9;xmldom 119C.odem;119;-1.0;2.5;-0.5;-1.0;-2.5;-2.0;-2.5;-0.5;3; 10; 4; 3; 0; 1; 0; 4;89.19;4000;3403976 ms
6;xmldom 119C.odem;119;2.0;-1.0;1.0;0.5;-2.5;2.0;2.5;1.5;9; 3; 7; 6; 0; 9; 10; 8;90.27;4008;3445559 ms
4;javacc 154C.odem;154;1.5;-1.5;2.0;2.0;0.5;0.5;0.5;-0.5;8; 2; 9; 9; 6; 6; 6; 4;98.03;4007;8390207 ms
0;javacc 154C.odem;154;-1.5;1.5;1.0;1.5;-2.5;2.5;2.5;-1.0;2; 8; 7; 8; 0; 10; 10; 3;98.03;4000;8393165 ms
2;javacc 154C.odem;154;2.0;-1.0;0.0;0.0;2.0;1.5;-1.0;2.5;9; 3; 5; 5; 9; 8; 3; 10;98.68;4001;8396634 ms
1;javacc 154C.odem;154;2.5;-1.5;1.0;1.5;0.0;0.5;1.5;1.0;10; 2; 7; 8; 5; 6; 8; 7;98.68;4005;8429936 ms
3;javacc 154C.odem;154;0.5;0.0;0.5;1.5;1.5;2.5;1.0;0.5;6; 5; 6; 8; 8; 10; 7; 6;98.03;4005;8444097 ms
5;tinytim 134C.odem;134;1.5;-2.0;1.5;1.0;2.5;2.5;-2.5;0.0;8; 1; 8; 7; 10; 10; 0; 5;76.61;4001;4840513 ms
7;tinytim 134C.odem;134;-2.5;-2.0;0.5;0.0;-2.0;-2.5;2.0;-0.5;0; 1; 6; 5; 1; 0; 9; 4;73.39;4001;4811817 ms
8;tinytim 134C.odem;134;-1.0;-1.5;-1.5;0.0;0.5;-2.5;-1.5;-0.5;3; 2; 2; 5; 6; 0; 2; 4;74.4;4005;4808572 ms
6;tinytim 134C.odem;134;-1.5;0.5;-0.5;-2.5;0.5;-1.0;-2.0;0.0;2; 6; 4; 0; 6; 3; 1; 5;77.87;4004;4824760 ms
9;tinytim 134C.odem;134;2.5;1.0;1.0;1.0;1.5;2.5;1.0;2.5;10; 7; 7; 7; 8; 10; 7; 10;73.6;4007;4839664 ms
5;jkaryoscope 136C.odem;136;-2.0;-0.5;2.0;-0.5;0.5;1.0;2.5;-0.5;1; 4; 9; 4; 6; 7; 10; 4;90.15;4002;4976815 ms
6;jkaryoscope 136C.odem;136;0.5;-2.5;2.0;-1.5;-1.0;0.5;2.5;0.5;6; 0; 9; 2; 3; 6; 10; 6;91.47;4006;4991868 ms
8;jkaryoscope 136C.odem;136;2.0;-2.0;1.0;-2.0;-1.5;-0.5;1.5;2.0;9; 1; 7; 1; 2; 4; 8; 9;89.15;4006;4998956 ms
9;jkaryoscope 136C.odem;136;1.5;-1.5;1.5;1.5;2.0;-1.0;1.0;2.5;8; 2; 8; 8; 9; 3; 7; 10;90.08;4002;4981460 ms
7;jkaryoscope 136C.odem;136;1.5;-2.0;1.5;-1.0;1.0;-0.5;2.5;2.5;8; 1; 8; 3; 7; 4; 10; 10;89.23;4001;5037633 ms
2;JavaGeom 172C.odem;172;-1.5;-1.0;0.5;0.0;0.0;-2.5;-1.5;-2.0;2; 3; 6; 5; 5; 0; 2; 1;79.75;4005;11413706 ms
4;JavaGeom 172C.odem;172;-2.5;1.5;-2.5;-0.5;1.0;-2.5;-2.5;1.0;0; 8; 0; 4; 7; 0; 0; 7;73.62;4005;11462489 ms
3;JavaGeom 172C.odem;172;1.5;0.0;0.0;2.0;0.5;2.0;1.5;1.0;8; 5; 5; 9; 6; 9; 8; 7;83.03;4009;11514409 ms
1;JavaGeom 172C.odem;172;1.0;2.0;0.5;-0.5;2.5;2.0;-0.5;0.0;7; 9; 6; 4; 10; 9; 4; 5;74.69;4009;11533139 ms
0;JavaGeom 172C.odem;172;2.0;2.5;1.0;0.0;-2.0;-1.0;-1.0;0.5;9; 10; 7; 5; 1; 3; 3; 6;82.21;4002;11569754 ms
5;gae_plugin_core 140C.odem;140;-1.5;-2.5;-1.5;2.0;-1.0;-2.5;1.5;-1.0;2; 0; 2; 9; 3; 0; 8; 3;95.56;4005;5320507 ms
9;gae_plugin_core 140C.odem;140;2.0;-1.5;-0.5;-2.0;0.5;1.0;2.5;0.5;9; 2; 4; 1; 6; 7; 10; 6;96.35;4004;5301029 ms
8;gae_plugin_core 140C.odem;140;-2.5;0.5;2.5;2.0;0.0;2.5;1.0;1.0;0; 6; 10; 9; 5; 10; 7; 7;95.65;4004;5320686 ms
7;gae_plugin_core 140C.odem;140;1.5;-1.5;1.0;0.0;2.5;2.0;0.0;0.5;8; 2; 7; 5; 10; 9; 5; 6;96.97;4002;5331754 ms
6;gae_plugin_core 140C.odem;140;-0.5;2.5;-2.5;1.0;-2.0;-1.0;-2.5;-0.5;4; 10; 0; 7; 1; 3; 0; 4;97.06;4001;5342757 ms
2;jdendogram 177C.odem;177;0.0;2.5;-1.0;0.0;-2.5;-1.0;-2.5;-1.0;5; 10; 3; 5; 0; 3; 0; 3;99.42;4000;11921844 ms
3;jdendogram 177C.odem;177;-2.0;2.0;-1.0;-2.0;-2.0;-2.0;-2.5;0.0;1; 9; 3; 1; 1; 1; 0; 5;98.84;4004;11922485 ms
0;jdendogram 177C.odem;177;-0.5;-2.5;0.5;0.0;2.0;0.5;0.5;0.0;4; 0; 6; 5; 9; 6; 6; 5;98.84;4003;11930247 ms
4;jdendogram 177C.odem;177;-2.5;-2.0;-0.5;-1.0;1.0;2.0;2.5;1.5;0; 1; 4; 3; 7; 9; 10; 8;98.28;4009;12018010 ms
4;xmlapi 184C.odem;184;-1.0;-0.5;-2.5;-1.5;0.0;2.0;2.0;-1.5;3; 4; 0; 2; 5; 9; 9; 2;79.12;4000;12824974 ms
1;xmlapi 184C.odem;184;1.0;0.5;1.5;-2.0;1.5;-2.5;0.0;-1.5;7; 6; 8; 1; 8; 0; 5; 2;78.57;4005;12837183 ms
3;xmlapi 184C.odem;184;0.0;2.5;2.0;0.0;-2.0;-2.5;2.5;-1.0;5; 10; 9; 5; 1; 0; 10; 3;78.57;4002;12874881 ms
2;xmlapi 184C.odem;184;-1.5;0.0;1.0;-1.5;1.5;2.5;2.5;-2.0;2; 5; 7; 2; 8; 10; 10; 1;78.02;4001;12887721 ms
0;xmlapi 184C.odem;184;-2.0;-0.5;-2.0;2.5;-2.0;2.0;0.0;0.5;1; 4; 1; 10; 1; 9; 5; 6;76.67;4008;12892679 ms
1;JMetal 190C.odem;190;-2.0;0.0;0.5;-2.0;-1.5;-2.5;-1.5;-2.0;1; 5; 6; 1; 2; 0; 2; 1;97.34;4003;14341885 ms
3;JMetal 190C.odem;190;1.0;0.0;-2.0;2.0;-1.0;1.0;1.5;1.5;7; 5; 1; 9; 3; 7; 8; 8;97.34;4007;14363009 ms
2;JMetal 190C.odem;190;1.0;-1.5;-1.5;-1.0;-1.0;2.0;2.5;1.0;7; 2; 2; 3; 3; 9; 10; 7;97.34;4009;14401084 ms
0;JMetal 190C.odem;190;1.5;0.0;0.5;1.5;-2.5;1.0;1.5;1.5;8; 5; 6; 8; 0; 7; 8; 8;97.34;4005;14432439 ms
5;javacc 154C.odem;154;-1.5;2.5;-0.5;1.0;-1.0;-2.0;-2.0;1.5;2; 10; 4; 7; 3; 1; 1; 8;98.03;4009;6770701 ms
6;javacc 154C.odem;154;1.5;-1.0;1.0;1.5;-1.5;2.0;1.5;2.5;8; 3; 7; 8; 2; 9; 8; 10;98.68;4003;6775623 ms
1;dom4j-1.5.2 195C.odem;195;-2.5;2.5;1.0;-1.0;-2.0;-2.0;0.0;-0.5;0; 10; 7; 3; 1; 1; 5; 4;86.24;4003;15177364 ms
7;javacc 154C.odem;154;-0.5;0.5;2.5;0.5;0.0;2.0;-1.5;2.0;4; 6; 10; 6; 5; 9; 2; 9;98.03;4006;6791725 ms
9;javacc 154C.odem;154;0.5;-0.5;2.5;2.0;-0.5;2.5;0.5;0.5;6; 4; 10; 9; 4; 10; 6; 6;98.03;4007;6777855 ms
8;javacc 154C.odem;154;-2.5;0.5;-2.5;-1.5;-1.0;-0.5;-0.5;-2.5;0; 6; 0; 2; 3; 4; 4; 0;98.68;4009;6803328 ms
4;dom4j-1.5.2 195C.odem;195;-2.5;0.0;-1.0;0.0;-2.5;-1.0;1.0;-2.5;0; 5; 3; 5; 0; 3; 7; 0;80.32;4001;15234099 ms
3;dom4j-1.5.2 195C.odem;195;-2.5;1.0;1.0;0.0;-2.0;-2.5;-0.5;0.0;0; 7; 7; 5; 1; 0; 4; 5;76.76;4002;15272061 ms
2;dom4j-1.5.2 195C.odem;195;2.0;-1.5;0.0;-0.5;-0.5;1.5;1.0;0.0;9; 2; 5; 4; 4; 8; 7; 5;77.25;4008;15304704 ms
5;JMetal 190C.odem;190;0.5;-2.5;-0.5;1.5;-1.0;0.5;-1.5;1.5;6; 0; 4; 8; 3; 6; 2; 8;97.34;4009;13659687 ms
0;dom4j-1.5.2 195C.odem;195;1.0;-1.0;-1.5;0.5;1.5;2.0;2.0;0.5;7; 3; 2; 6; 8; 9; 9; 6;78.07;4009;15436571 ms
2;pdf_renderer 199C.odem;199;-2.0;-1.5;0.0;-1.5;-2.5;-1.5;-0.5;1.0;1; 2; 5; 2; 0; 2; 4; 7;93.78;4001;15767070 ms
1;pdf_renderer 199C.odem;199;-2.0;2.0;2.5;1.5;-2.5;-2.0;-1.5;-2.0;1; 9; 10; 8; 0; 1; 2; 1;88.6;4005;15783497 ms
3;pdf_renderer 199C.odem;199;-1.5;-0.5;-2.0;0.5;-2.5;-2.5;-2.0;-2.5;2; 4; 1; 6; 0; 0; 1; 0;89.69;4003;15815284 ms
4;pdf_renderer 199C.odem;199;1.0;2.5;-1.0;0.0;-1.0;-1.0;-0.5;-0.5;7; 10; 3; 5; 3; 3; 4; 4;89.18;4008;15817578 ms
0;pdf_renderer 199C.odem;199;-1.0;1.0;0.0;-2.0;-2.5;-2.5;0.0;-2.5;3; 7; 5; 1; 0; 0; 5; 0;93.26;4007;15865163 ms
5;jdendogram 177C.odem;177;0.0;1.5;-1.5;1.5;-1.5;-1.5;0.0;-1.5;5; 8; 2; 8; 2; 2; 5; 2;98.28;4003;10331516 ms
0;Jung-graph 207C.odem;207;2.5;-1.5;1.5;1.5;1.0;2.0;2.0;2.5;10; 2; 8; 8; 7; 9; 9; 10;98.53;4008;17519959 ms
4;Jung-graph 207C.odem;207;-2.0;0.5;-0.5;-0.5;-0.5;-2.0;1.0;-0.5;1; 6; 4; 4; 4; 1; 7; 4;98.53;4003;17527642 ms
1;Jung-graph 207C.odem;207;-2.0;-2.0;-2.0;2.5;-1.5;-2.0;0.0;-2.5;1; 1; 1; 10; 2; 1; 5; 0;98.52;4001;17533767 ms
3;Jung-graph 207C.odem;207;-1.0;1.5;-2.0;-1.0;-1.0;-1.0;-1.0;-1.5;3; 8; 1; 3; 3; 3; 3; 2;98.53;4009;17559620 ms
2;Jung-graph 207C.odem;207;-2.0;1.0;-0.5;-1.5;-0.5;-1.0;-2.5;-1.0;1; 7; 4; 2; 4; 3; 0; 3;98.53;4002;17587055 ms
5;JavaGeom 172C.odem;172;1.5;-2.0;-1.0;0.0;0.0;2.0;0.5;0.0;8; 1; 3; 5; 5; 9; 6; 5;79.39;4007;8921104 ms
7;JavaGeom 172C.odem;172;-0.5;1.0;2.0;2.5;0.0;-1.0;-1.0;-1.0;4; 7; 9; 10; 5; 3; 3; 3;78.92;4009;8831647 ms
6;JavaGeom 172C.odem;172;-2.5;1.5;1.0;-1.0;0.5;-1.5;-1.5;0.5;0; 8; 7; 3; 6; 2; 2; 6;75.16;4009;8891026 ms
8;JavaGeom 172C.odem;172;-2.5;0.0;-0.5;0.0;-2.0;-1.5;1.5;1.0;0; 5; 4; 5; 1; 2; 8; 7;75.31;4004;8826284 ms
9;JavaGeom 172C.odem;172;-1.0;0.5;1.5;1.5;-1.0;-1.0;0.0;-2.5;3; 6; 8; 8; 3; 3; 5; 0;72.12;4004;8840617 ms
3;jconsole-1.7.0 220C.odem;220;2.5;0.0;2.5;-0.5;-2.0;2.5;1.5;0.0;10; 5; 10; 4; 1; 10; 8; 5;90.57;4002;20424485 ms
4;jconsole-1.7.0 220C.odem;220;1.5;-1.0;2.5;-1.0;-0.5;2.0;0.0;1.5;8; 3; 10; 3; 4; 9; 5; 8;91.55;4007;20496875 ms
0;jconsole-1.7.0 220C.odem;220;0.5;-1.0;2.0;-0.5;0.5;2.0;0.0;1.5;6; 3; 9; 4; 6; 9; 5; 8;90.23;4000;20527913 ms
2;jconsole-1.7.0 220C.odem;220;-0.5;-1.0;0.5;0.5;0.5;2.5;1.5;1.0;4; 3; 6; 6; 6; 10; 8; 7;89.81;4008;20544834 ms
1;jconsole-1.7.0 220C.odem;220;0.0;-2.5;1.5;-0.5;1.5;0.5;-0.5;2.5;5; 0; 8; 4; 8; 6; 4; 10;90.23;4002;20574270 ms
1;Jung-visualization 221C.odem;221;-2.0;-0.5;-2.0;2.0;-0.5;0.5;-1.5;-2.5;1; 4; 1; 9; 4; 6; 2; 0;86.7;4003;20747965 ms
0;Jung-visualization 221C.odem;221;-2.0;0.0;0.0;1.5;-2.5;0.5;-1.5;-2.0;1; 5; 5; 8; 0; 6; 2; 1;87.1;4007;20750339 ms
2;Jung-visualization 221C.odem;221;2.5;2.5;1.0;-2.5;1.0;1.0;1.0;2.5;10; 10; 7; 0; 7; 7; 7; 10;87.1;4002;20794820 ms
4;Jung-visualization 221C.odem;221;-1.0;-2.0;-1.5;1.0;-1.5;-1.5;0.5;-2.0;3; 1; 2; 7; 2; 2; 6; 1;86.64;4006;20797406 ms
3;Jung-visualization 221C.odem;221;1.5;-1.5;2.5;1.0;2.0;1.5;2.5;-2.0;8; 2; 10; 7; 9; 8; 10; 1;86.7;4009;20876286 ms
8;jdendogram 177C.odem;177;1.5;-1.5;-0.5;0.0;1.5;0.5;1.5;0.5;8; 2; 4; 5; 8; 6; 8; 6;98.83;4007;9145006 ms
7;jdendogram 177C.odem;177;0.5;-2.5;2.0;-1.5;1.5;1.0;2.0;2.0;6; 0; 9; 2; 8; 7; 9; 9;98.83;4009;9163742 ms
6;jdendogram 177C.odem;177;0.0;0.0;-2.5;0.0;-2.0;1.5;-1.0;0.5;5; 5; 0; 5; 1; 8; 3; 6;98.28;4009;9178880 ms
9;jdendogram 177C.odem;177;-2.5;0.5;-0.5;0.5;-1.5;-1.5;0.5;-1.0;0; 6; 4; 6; 2; 2; 6; 3;98.28;4001;9153245 ms
5;xmlapi 184C.odem;184;0.5;2.0;-1.0;-1.5;2.0;-0.5;-1.0;-1.5;6; 9; 3; 2; 9; 4; 3; 2;79.44;4008;9773252 ms
8;xmlapi 184C.odem;184;0.0;-2.0;-1.5;-0.5;-0.5;1.0;-1.5;2.0;5; 1; 2; 4; 4; 7; 2; 9;73.63;4000;9757639 ms
7;xmlapi 184C.odem;184;-0.5;0.5;-0.5;-0.5;-2.5;-1.5;-0.5;0.0;4; 6; 4; 4; 0; 2; 4; 5;92.53;4004;9800848 ms
6;xmlapi 184C.odem;184;-2.0;0.0;-2.0;-2.0;-0.5;1.0;2.0;-1.0;1; 5; 1; 1; 4; 7; 9; 3;78.57;4003;9855078 ms
9;xmlapi 184C.odem;184;2.5;-1.0;-2.0;0.0;0.5;1.0;0.0;0.0;10; 3; 1; 5; 6; 7; 5; 5;79.12;4002;9837686 ms
6;JMetal 190C.odem;190;1.5;-2.5;0.5;1.0;-2.0;2.0;-2.0;1.0;8; 0; 6; 7; 1; 9; 1; 7;97.86;4002;10588690 ms
7;JMetal 190C.odem;190;2.5;-0.5;1.0;-2.5;1.5;0.5;-1.5;2.5;10; 4; 7; 0; 8; 6; 2; 10;97.34;4002;10627555 ms
9;JMetal 190C.odem;190;2.0;-2.0;-2.0;-2.5;2.5;1.0;0.5;1.0;9; 1; 1; 0; 10; 7; 6; 7;97.34;4004;10615787 ms
8;JMetal 190C.odem;190;2.5;-0.5;0.5;1.5;0.5;0.0;0.5;2.0;10; 4; 6; 8; 6; 5; 6; 9;97.34;4004;10685226 ms
6;dom4j-1.5.2 195C.odem;195;-2.5;-0.5;-0.5;1.0;1.0;-0.5;-2.0;-0.5;0; 4; 4; 7; 7; 4; 1; 4;87.7;4005;11133071 ms
5;dom4j-1.5.2 195C.odem;195;-1.5;0.5;2.5;-1.0;-1.5;-1.5;0.0;0.0;2; 6; 10; 3; 2; 2; 5; 5;94.68;4007;11210219 ms
7;dom4j-1.5.2 195C.odem;195;0.0;1.0;2.0;-1.5;-1.5;-1.5;-2.5;-0.5;5; 7; 9; 2; 2; 2; 0; 4;81.28;4009;11149625 ms
8;dom4j-1.5.2 195C.odem;195;-2.0;0.5;-1.0;1.5;-1.0;-2.0;-2.5;-1.0;1; 6; 3; 8; 3; 1; 0; 3;78.72;4005;11174104 ms
9;pdf_renderer 199C.odem;199;1.5;0.0;0.0;0.0;1.0;1.0;-0.5;2.0;8; 5; 5; 5; 7; 7; 4; 9;100.0;3690;10680113 ms
9;dom4j-1.5.2 195C.odem;195;0.5;-2.0;2.0;0.5;0.5;1.5;0.5;-0.5;6; 1; 9; 6; 6; 8; 6; 4;76.6;4003;11136721 ms
5;pdf_renderer 199C.odem;199;-1.5;1.0;-2.5;-1.5;2.5;-0.5;-0.5;-2.5;2; 7; 0; 2; 10; 4; 4; 0;81.25;4006;11437461 ms
7;pdf_renderer 199C.odem;199;-1.5;0.0;-1.0;1.0;-1.5;-2.0;0.5;-2.5;2; 5; 3; 7; 2; 1; 6; 0;93.26;4001;11443118 ms
6;pdf_renderer 199C.odem;199;-1.5;0.0;0.0;-1.5;-1.0;-1.5;0.0;-2.5;2; 5; 5; 2; 3; 2; 5; 0;89.12;4008;11499612 ms
8;pdf_renderer 199C.odem;199;-2.5;0.5;-2.0;-2.5;-2.5;-2.5;-2.5;1.5;0; 6; 1; 0; 0; 0; 0; 8;87.11;4009;11507293 ms
3;pfcda_swing 252C.odem;252;0.5;-2.5;2.0;0.0;2.0;2.0;0.5;1.0;6; 0; 9; 5; 9; 9; 6; 7;82.04;4000;27939626 ms
2;pfcda_swing 252C.odem;252;-2.5;1.5;-0.5;0.0;0.5;-1.0;-0.5;-0.5;0; 8; 4; 5; 6; 3; 4; 4;79.18;4008;28020705 ms
1;pfcda_swing 252C.odem;252;1.0;-1.0;1.0;-0.5;-2.5;2.5;1.5;0.0;7; 3; 7; 4; 0; 10; 8; 5;80.58;4007;28119813 ms
4;pfcda_swing 252C.odem;252;-2.0;0.0;-0.5;-0.5;-1.5;-2.0;0.0;-1.5;1; 5; 4; 4; 2; 1; 5; 2;79.84;4003;28200364 ms
0;pfcda_swing 252C.odem;252;-2.0;0.0;1.0;0.5;0.5;-2.5;-2.5;0.0;1; 5; 7; 6; 6; 0; 0; 5;82.43;4003;28301417 ms
5;Jung-graph 207C.odem;207;0.5;-2.0;-2.5;1.0;-0.5;-2.5;-1.0;-2.5;6; 1; 0; 7; 4; 0; 3; 0;98.04;4005;12164559 ms
6;Jung-graph 207C.odem;207;-1.5;0.5;-0.5;-0.5;-2.5;-2.5;-2.5;-0.5;2; 6; 4; 4; 0; 0; 0; 4;98.53;4004;12175060 ms
8;Jung-graph 207C.odem;207;2.0;-0.5;-0.5;-0.5;2.0;2.5;1.0;-1.5;9; 4; 4; 4; 9; 10; 7; 2;98.53;4002;12154854 ms
