"","Packages","Classes","Attrs","Meths","PMeths","dependencyCount"
"Packages",1,0.87,0.95,0.87,0.95,0.96
"Classes",0.87,1,0.94,0.98,0.93,0.93
"Attrs",0.95,0.94,1,0.95,0.98,0.99
"Meths",0.87,0.98,0.95,1,0.96,0.94
"PMeths",0.95,0.93,0.98,0.96,1,0.99
"dependencyCount",0.96,0.93,0.99,0.94,0.99,1
