 CH.ifa.draw.samples.javadraw;0;0;0;0;0;0;0;0;0;0;0
  CH.ifa.draw.samples.nothing;0;0;0;0;0;0;0;0;0;0;0
      CH.ifa.draw.samples.net;0;0;0;0;0;0;0;0;0;0;0
     CH.ifa.draw.samples.pert;0;0;0;0;0;0;0;0;0;0;0
          CH.ifa.draw.contrib;1;1;0;0;0;0;0;0;0;1;0
           CH.ifa.draw.applet;1;1;0;1;0;0;0;0;0;0;0
      CH.ifa.draw.application;1;1;1;1;1;0;0;0;0;0;0
          CH.ifa.draw.figures;1;1;1;1;1;1;1;0;0;0;0
             CH.ifa.draw.util;1;0;1;1;1;1;1;1;0;1;1
         CH.ifa.draw.standard;1;1;1;1;1;1;1;1;1;0;0
        CH.ifa.draw.framework;1;1;1;1;1;1;1;1;1;1;0
