cicle;instance;nclasses;solutionreal;solution;mojo;evalsconsumed;besteval;time;cluster
5;apache_zip 36C.odem;36;[1.0,-2.0,2.0,1.5,];[7, 1, 9, 8];100.0;59;59;1577 ; [5, 5, 5, 5, 5, 5, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35]
3;apache_zip 36C.odem;36;[0.5,2.5,-1.5,0.0,-2.5,-2.5,];[6, 10, 2, 5, 0, 0];100.0;15;15;331 ; [5, 5, 5, 5, 5, 5, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35]
0;notepad-model 46C.odem;46;[-2.0,-2.5,-1.0,0.0,1.5,2.5,];[1, 0, 3, 5, 8, 10];100.0;1;0;3 ; [44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 45]
1;notepad-model 46C.odem;46;[2.5,-2.5,1.5,2.5,2.0,0.5,];[10, 0, 8, 10, 9, 6];100.0;1;0;2 ; [44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 45]
3;notepad-model 46C.odem;46;[1.5,-0.5,1.0,1.0,-1.0,-2.5,];[8, 4, 7, 7, 3, 0];100.0;1;0;3 ; [44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 45]
5;apache_zip 36C.odem;36;[2.5,-2.0,0.5,1.5,0.5,0.5,];[10, 1, 6, 8, 6, 6];100.0;32;32;670 ; [5, 5, 5, 5, 5, 5, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35]
2;notepad-model 46C.odem;46;[2.0,2.5,2.5,0.5,2.5,2.5,];[9, 10, 10, 6, 10, 10];100.0;1;0;3 ; [44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 45]
4;notepad-model 46C.odem;46;[1.0,0.0,-0.5,0.5,2.5,-0.5,];[7, 5, 4, 6, 10, 4];100.0;1;0;3 ; [44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 45]
5;notepad-model 46C.odem;46;[0.0,-1.0,1.5,2.0,0.5,-1.0,];[5, 3, 8, 9, 6, 3];100.0;1;0;3 ; [44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 45]
0;seemp 31C.odem;31;[-1.0,0.0,-1.5,-0.5,];[3, 5, 2, 4];100.0;321;321;4621 ; [27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 30, 26, 30, 30, 30, 30, 26, 26, 27, 30, 30, 30]
8;notepad-model 46C.odem;46;[0.5,0.5,-1.0,0.0,-0.5,0.0,];[6, 6, 3, 5, 4, 5];100.0;1;0;3 ; [44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 45]
6;notepad-model 46C.odem;46;[-1.0,-0.5,0.0,2.0,2.0,0.0,];[3, 4, 5, 9, 9, 5];100.0;1;0;21 ; [44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 45]
9;notepad-model 46C.odem;46;[1.0,1.0,0.0,-2.5,1.5,-2.5,];[7, 7, 5, 0, 8, 0];100.0;1;0;27 ; [44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 45]
7;notepad-model 46C.odem;46;[2.0,1.0,0.0,2.5,-0.5,-2.5,];[9, 7, 5, 10, 4, 0];100.0;1;0;33 ; [44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 45]
4;apache_zip 36C.odem;36;[0.0,-0.5,1.0,2.0,0.5,1.0,];[5, 4, 7, 9, 6, 7];100.0;66;66;1275 ; [5, 5, 5, 5, 5, 5, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35]
6;apache_zip 36C.odem;36;[-1.5,1.0,-1.5,-0.5,];[2, 7, 2, 4];100.0;56;56;1254 ; [5, 5, 5, 5, 5, 5, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35]
4;apache_zip 36C.odem;36;[1.5,-1.0,-0.5,-2.0,];[8, 3, 4, 1];100.0;137;137;3443 ; [5, 5, 5, 5, 5, 5, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35]
1;apache_zip 36C.odem;36;[0.5,-1.5,1.5,2.5,1.0,1.0,];[6, 2, 8, 10, 7, 7];100.0;70;70;2381 ; [5, 5, 5, 5, 5, 5, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35]
3;jstl-1.0.6 18C.odem;18;[1.5,0.0,2.0,1.0,];[8, 5, 9, 7];100.0;639;639;3616 ; [10, 10, 10, 10, 10, 10, 9, 9, 10, 9, 10, 11, 14, 14, 14, 17, 17, 17]
5;jstl-1.0.6 18C.odem;18;[0.5,0.0,1.0,0.5,];[6, 5, 7, 6];100.0;69;69;386 ; [10, 10, 10, 10, 10, 10, 9, 9, 10, 9, 10, 11, 14, 14, 14, 17, 17, 17]
2;apache_zip 36C.odem;36;[-2.0,-1.0,-1.5,0.0,-1.0,0.0,];[1, 3, 2, 5, 3, 5];100.0;109;109;3326 ; [5, 5, 5, 5, 5, 5, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35]
0;jnanoxml 25C.odem;25;[-1.5,0.0,-2.5,-2.0,];[2, 5, 0, 1];100.0;468;468;5217 ; [6, 20, 2, 3, 20, 7, 6, 7, 18, 9, 17, 19, 14, 14, 14, 23, 16, 17, 18, 19, 20, 21, 22, 23, 24]
4;jstl-1.0.6 18C.odem;18;[0.5,0.0,1.0,0.5,];[6, 5, 7, 6];100.0;586;586;3362 ; [10, 10, 10, 10, 10, 10, 9, 9, 10, 9, 10, 11, 14, 14, 14, 17, 17, 17]
1;jnanoxml 25C.odem;25;[-2.0,0.0,-2.0,-1.0,];[1, 5, 1, 3];100.0;574;574;6400 ; [6, 20, 2, 3, 20, 7, 6, 7, 18, 9, 17, 19, 14, 14, 14, 23, 16, 17, 18, 19, 20, 21, 22, 23, 24]
7;jstl-1.0.6 18C.odem;18;[0.5,0.0,2.0,1.0,];[6, 5, 9, 7];100.0;244;244;985 ; [10, 10, 10, 10, 10, 10, 9, 9, 10, 9, 10, 11, 14, 14, 14, 17, 17, 17]
7;jnanoxml 25C.odem;25;[0.5,0.0,2.5,2.0,];[6, 5, 10, 9];100.0;74;74;711 ; [6, 20, 2, 3, 20, 7, 6, 7, 18, 9, 17, 19, 14, 14, 14, 23, 16, 17, 18, 19, 20, 21, 22, 23, 24]
6;apache_zip 36C.odem;36;[0.5,0.5,-1.0,-2.0,-1.5,-2.5,];[6, 6, 3, 1, 2, 0];100.0;135;135;4144 ; [5, 5, 5, 5, 5, 5, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35]
