projectName;intDep;extDep;intDepClas;extDepClas;extclasDep
junit-4.12.3.odem;28;16;9;8;3
junit-4.12.3.odem;0;1;0;1;1
projectName;intDep;extDep;intDepClas;extDepClas;extclasDep
apache_zip36C.odem;8;0;4;0;0
apache_zip36C.odem;78;0;25;0;0
dom4j-1.5.2195C.odem;97;19;23;4;132
dom4j-1.5.2195C.odem;11;19;5;5;0
dom4j-1.5.2195C.odem;10;31;4;6;0
dom4j-1.5.2195C.odem;32;71;15;14;1
dom4j-1.5.2195C.odem;0;0;0;0;1
dom4j-1.5.2195C.odem;60;141;29;26;12
dom4j-1.5.2195C.odem;16;25;6;7;0
dom4j-1.5.2195C.odem;14;9;6;6;1
dom4j-1.5.2195C.odem;0;4;0;1;0
dom4j-1.5.2195C.odem;19;19;7;9;7
dom4j-1.5.2195C.odem;0;5;0;2;1
dom4j-1.5.2195C.odem;7;16;6;6;0
dom4j-1.5.2195C.odem;79;141;43;36;28
dom4j-1.5.2195C.odem;4;60;3;11;1
dom4j-1.5.2195C.odem;3;13;2;3;1
dom4j-1.5.2195C.odem;0;5;0;1;1
forms-1.3.068C.odem;7;48;7;9;2
forms-1.3.068C.odem;1;7;1;2;0
forms-1.3.068C.odem;33;21;14;9;8
forms-1.3.068C.odem;124;10;31;8;20
forms-1.3.068C.odem;11;8;8;3;14
javacc154C.odem;0;3;0;3;0
javacc154C.odem;0;0;0;0;3
javacc154C.odem;20;61;6;8;1
javacc154C.odem;240;11;62;7;1
javacc154C.odem;383;4;63;3;16
javacc154C.odem;0;0;0;0;2
JavaGeom172C.odem;73;0;21;0;1
JavaGeom172C.odem;36;33;11;6;99
JavaGeom172C.odem;91;102;19;17;36
JavaGeom172C.odem;13;63;10;10;15
JavaGeom172C.odem;43;258;15;14;9
JavaGeom172C.odem;31;43;10;10;48
JavaGeom172C.odem;42;80;13;14;42
JavaGeom172C.odem;2;18;2;3;0
JavaGeom172C.odem;34;154;10;9;39
JavaGeom172C.odem;9;25;6;8;9
JavaGeom172C.odem;27;148;10;10;20
JavaGeom172C.odem;4;11;3;4;0
JavaGeom172C.odem;1;45;1;3;0
JavaGeom172C.odem;5;4;5;2;29
JavaGeom172C.odem;4;0;4;0;0
JavaGeom172C.odem;9;4;5;4;6
JavaGeom172C.odem;2;3;2;1;2
JavaGeom172C.odem;1;15;1;2;1
JavaGeom172C.odem;0;7;0;1;1
JavaGeom172C.odem;2;3;2;2;8
JavaGeom172C.odem;0;0;0;0;17
javaocr59C.odem;0;1;0;1;0
javaocr59C.odem;12;19;7;2;17
javaocr59C.odem;6;2;4;2;1
javaocr59C.odem;5;2;4;2;2
javaocr59C.odem;13;7;7;6;2
javaocr59C.odem;6;2;4;2;1
javaocr59C.odem;15;7;7;6;2
javaocr59C.odem;0;12;0;3;1
javaocr59C.odem;1;9;1;1;1
javaocr59C.odem;2;9;2;3;1
javaocr59C.odem;4;13;2;3;5
javaocr59C.odem;5;0;3;0;7
javaocr59C.odem;3;0;3;0;5
