version	package	cbo	aff	eff	lcom	mf	cs
7.0.8	org.jhotdraw.app.action	5	5	11	0.9792540792540793	0.4564102564102564	-2033
7.0.8	org.jhotdraw.beans	0	4	0	NaN	0.0	0
7.0.8	org.jhotdraw.draw	9	53	27	0.9681513409961686	0.7732558139534884	-9238
7.0.8	org.jhotdraw.draw.action	5	2	31	0.9655367231638418	0.547085201793722	-1592
7.0.8	org.jhotdraw.geom	0	46	0	0.8712121212121212	0.2956521739130435	-40
7.0.8	org.jhotdraw.gui	2	24	3	0.8717948717948718	0.5797101449275363	-58
7.0.8	org.jhotdraw.gui.datatransfer	0	3	0	1.0	0.0	-3
7.0.8	org.jhotdraw.gui.event	1	23	1	0.5	0.05128205128205128	1
7.0.8	org.jhotdraw.io	0	7	0	0.6666666666666666	0.5333333333333333	-2
7.0.8	org.jhotdraw.samples.draw	8	0	66	0.7666666666666667	0.1308411214953271	-5
7.0.8	org.jhotdraw.undo	1	24	1	0.65	0.3333333333333333	-2
7.0.8	org.jhotdraw.util	0	79	0	0.9166666666666666	0.024096385542168676	-4
7.0.8	org.jhotdraw.util.prefs	0	3	0	0.65	0.8235294117647058	-2
7.0.8	org.jhotdraw.xml	1	21	7	0.8035714285714286	0.3013698630136986	-6
7.0.9	net.n3.nanoxml	0	2	0	0.8916666666666667	0.935251798561151	-174
7.0.9	org.jhotdraw.app	5	57	33	0.8523809523809524	0.46096654275092935	-114
7.0.9	org.jhotdraw.app.action	5	6	11	0.9796472184531886	0.45226130653266333	-2097
7.0.9	org.jhotdraw.beans	0	5	0	NaN	0.0	0
7.0.9	org.jhotdraw.draw	11	69	44	0.9721400725904019	0.772960372960373	-13386
7.0.9	org.jhotdraw.draw.action	7	4	34	0.9735915492957746	0.4891304347826087	-2368
7.0.9	org.jhotdraw.geom	0	53	0	0.8791208791208791	0.3283582089552239	-57
7.0.9	org.jhotdraw.gui	3	33	5	0.8970588235294118	0.5833333333333334	-106
7.0.9	org.jhotdraw.gui.datatransfer	0	3	0	1.0	0.0	-3
7.0.9	org.jhotdraw.gui.event	1	23	1	0.5	0.05128205128205128	1
7.0.9	org.jhotdraw.io	0	8	0	0.6666666666666666	0.5	-2
7.0.9	org.jhotdraw.samples.draw	8	0	67	0.7666666666666667	0.12612612612612611	-5
7.0.9	org.jhotdraw.samples.svg	1	0	4	0.5833333333333334	0.6666666666666666	0
7.0.9	org.jhotdraw.undo	1	16	1	0.65	0.4117647058823529	-2
7.0.9	org.jhotdraw.util	0	110	0	0.9166666666666666	0.01694915254237288	-4
7.0.9	org.jhotdraw.util.prefs	0	3	0	0.65	0.8235294117647058	-2
7.0.9	org.jhotdraw.xml	1	21	7	0.8035714285714286	0.3013698630136986	-6
