cicle;instance;nclasses;solutionreal;solution;mojo;evalsconsumed;besteval;time;cluster;metrics
0;jhotdraw-7.6.0.odem;1195;[-2.0,-0.5,-2.5,2.0,-0.5,-0.5,-2.0,-2.5,];[1, 4, 0, 9, 4, 4, 1, 0];67.99;20007;16998;617466029;[645, 645, 613, 613, 613, 1124, 521, 644, 1124, 645, 645, 645, 645, 435, 1124, 1124, 644, 644, 644, 644, 644, 644, 644, 644, 644, 644, 644, 644, 29, 29, 251, 251, 251, 251, 251, 251, 251, 251, 251, 251, 611, 613, 163, 605, 631, 52, 52, 52, 52, 52, 52, 52, 52, 645, 645, 643, 643, 643, 645, 643, 200, 643, 643, 346, 346, 346, 346, 346, 643, 527, 527, 82, 527, 527, 527, 527, 527, 527, 527, 613, 82, 82, 82, 645, 613, 613, 613, 242, 242, 242, 93, 93, 93, 93, 200, 249, 200, 200, 200, 537, 537, 537, 198, 627, 605, 605, 605, 613, 112, 112, 112, 112, 112, 595, 613, 612, 631, 143, 143, 143, 143, 143, 143, 130, 130, 130, 130, 130, 130, 130, 130, 627, 200, 200, 624, 141, 141, 141, 141, 141, 141, 141, 1124, 143, 145, 145, 627, 152, 152, 152, 152, 152, 152, 163, 163, 163, 163, 163, 159, 159, 163, 163, 163, 163, 167, 167, 167, 167, 172, 172, 172, 172, 172, 179, 179, 179, 179, 179, 179, 179, 624, 186, 186, 186, 186, 186, 186, 189, 189, 189, 200, 643, 200, 200, 196, 196, 196, 198, 198, 200, 200, 211, 211, 211, 211, 211, 211, 211, 211, 211, 211, 211, 643, 215, 215, 215, 643, 627, 643, 521, 226, 226, 226, 226, 226, 226, 226, 242, 242, 242, 242, 232, 232, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 614, 614, 249, 249, 249, 249, 249, 251, 251, 613, 605, 537, 256, 256, 631, 631, 527, 631, 631, 643, 631, 631, 644, 643, 613, 605, 605, 627, 1124, 627, 495, 495, 294, 294, 294, 294, 294, 294, 346, 346, 285, 285, 285, 327, 352, 352, 294, 352, 352, 352, 294, 294, 352, 334, 334, 334, 305, 305, 305, 305, 304, 304, 305, 353, 353, 353, 353, 353, 353, 353, 353, 352, 319, 319, 319, 319, 319, 334, 327, 327, 327, 327, 327, 327, 327, 352, 352, 352, 334, 334, 334, 334, 352, 339, 339, 339, 339, 345, 345, 345, 345, 345, 345, 346, 351, 351, 351, 351, 351, 352, 353, 842, 842, 842, 645, 361, 361, 361, 361, 364, 364, 364, 376, 376, 376, 376, 374, 374, 374, 374, 374, 374, 376, 376, 406, 432, 645, 406, 406, 406, 406, 406, 406, 406, 406, 406, 406, 406, 406, 406, 406, 406, 406, 406, 406, 406, 406, 406, 406, 406, 406, 406, 406, 406, 612, 612, 612, 612, 612, 612, 612, 612, 612, 612, 612, 612, 435, 612, 432, 432, 432, 432, 432, 432, 432, 432, 645, 645, 645, 432, 435, 435, 435, 604, 604, 614, 614, 648, 648, 648, 648, 648, 648, 648, 648, 648, 648, 648, 648, 648, 648, 615, 521, 557, 612, 648, 615, 615, 521, 521, 615, 537, 537, 614, 537, 537, 537, 537, 537, 613, 488, 488, 488, 488, 488, 488, 488, 488, 488, 488, 488, 557, 488, 488, 488, 488, 627, 495, 495, 495, 495, 495, 495, 615, 605, 605, 605, 614, 521, 521, 521, 521, 521, 521, 521, 521, 521, 521, 521, 521, 521, 557, 521, 517, 517, 521, 627, 521, 521, 614, 614, 615, 614, 615, 527, 536, 536, 536, 536, 536, 536, 536, 536, 536, 537, 1126, 612, 612, 604, 612, 613, 565, 565, 565, 565, 565, 565, 565, 565, 565, 565, 565, 565, 565, 557, 565, 565, 565, 565, 563, 563, 614, 565, 638, 638, 638, 638, 638, 638, 638, 638, 638, 638, 638, 638, 638, 638, 638, 638, 638, 638, 638, 638, 638, 638, 605, 590, 590, 595, 595, 595, 595, 595, 615, 604, 604, 604, 614, 614, 604, 604, 604, 605, 614, 615, 611, 611, 611, 611, 612, 613, 614, 615, 648, 621, 621, 621, 621, 621, 624, 624, 624, 626, 626, 627, 642, 642, 643, 631, 643, 1124, 1124, 643, 648, 643, 638, 1124, 641, 641, 642, 643, 644, 645, 648, 648, 648, 1193, 1193, 1193, 1194, 1193, 1193, 1193, 1193, 1193, 1193, 1193, 1193, 663, 663, 663, 1193, 1194, 1194, 1193, 1193, 1193, 1193, 1193, 1193, 1194, 678, 678, 678, 678, 678, 1178, 1167, 696, 757, 1178, 696, 1069, 757, 757, 1069, 757, 757, 757, 766, 757, 757, 757, 696, 756, 756, 1128, 1128, 1128, 1128, 774, 774, 774, 757, 757, 756, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 756, 719, 719, 719, 766, 766, 756, 774, 1178, 1178, 1178, 1178, 1178, 730, 730, 1178, 1178, 734, 734, 1178, 737, 737, 739, 739, 756, 756, 1128, 745, 745, 745, 757, 1128, 1128, 1128, 1128, 753, 753, 753, 756, 756, 756, 757, 761, 761, 761, 761, 764, 764, 764, 766, 766, 1178, 1178, 1178, 1178, 772, 772, 774, 774, 776, 776, 778, 778, 782, 782, 782, 782, 785, 785, 785, 972, 1178, 942, 790, 790, 972, 1178, 1178, 972, 972, 857, 972, 972, 800, 800, 1178, 860, 1178, 950, 1178, 1178, 1178, 1178, 988, 988, 1030, 1033, 1048, 950, 1178, 1178, 1178, 1178, 824, 824, 824, 824, 824, 824, 1179, 1179, 1179, 1179, 1179, 1179, 1179, 1179, 1179, 1178, 909, 935, 839, 839, 839, 909, 1178, 842, 972, 857, 857, 939, 1178, 1167, 851, 851, 851, 1178, 1178, 972, 972, 972, 857, 1178, 860, 860, 1178, 994, 929, 1178, 1178, 942, 942, 942, 908, 908, 908, 1177, 1177, 1177, 938, 938, 938, 938, 938, 938, 938, 1177, 938, 938, 886, 886, 937, 937, 938, 938, 938, 938, 938, 938, 938, 1177, 938, 938, 938, 938, 938, 903, 903, 908, 908, 938, 908, 908, 909, 938, 935, 994, 994, 939, 939, 939, 1177, 1178, 1178, 1178, 1178, 1178, 1178, 929, 929, 929, 929, 929, 929, 1177, 1178, 938, 1177, 1177, 935, 937, 937, 938, 939, 941, 941, 942, 950, 1178, 1178, 1178, 950, 950, 950, 950, 1178, 1178, 1178, 1178, 1178, 1178, 988, 1178, 988, 1178, 1030, 1030, 1069, 1069, 1069, 1069, 1069, 1013, 1013, 1071, 1069, 972, 1071, 1071, 1071, 1051, 1023, 1033, 1013, 1178, 988, 988, 988, 988, 988, 988, 988, 988, 1023, 1033, 1033, 994, 994, 994, 1178, 1178, 1013, 1051, 1178, 1178, 1051, 1051, 1051, 1051, 1051, 1051, 1051, 1051, 1051, 1051, 1178, 1178, 1013, 1023, 1023, 1023, 1023, 1023, 1023, 1023, 1023, 1023, 1023, 1167, 1167, 1167, 1167, 1167, 1167, 1030, 1178, 1178, 1033, 1051, 1083, 1051, 1051, 1039, 1039, 1069, 1069, 1069, 1069, 1071, 1048, 1048, 1048, 1048, 1065, 1065, 1051, 1071, 1071, 1055, 1055, 1071, 1071, 1065, 1065, 1071, 1071, 1071, 1071, 1065, 1065, 1069, 1069, 1069, 1069, 1071, 1071, 1178, 1086, 1086, 1086, 1086, 1167, 1086, 1086, 1086, 1083, 1083, 1083, 1085, 1085, 1086, 1178, 1090, 1090, 1090, 1128, 1146, 1146, 1146, 1146, 1149, 1149, 1149, 1127, 1127, 1127, 1127, 1127, 1127, 1127, 1127, 1127, 1127, 1127, 1127, 1112, 1112, 1113, 1149, 1163, 1163, 1163, 1126, 1126, 1124, 1126, 1126, 1175, 1124, 1126, 1126, 1127, 1128, 1167, 1146, 1146, 1146, 1146, 1146, 1146, 1146, 1146, 1139, 1139, 1151, 1151, 1146, 1146, 1146, 1146, 1146, 1151, 1151, 1149, 1151, 1151, 1154, 1154, 1154, 1167, 1167, 1167, 1167, 1178, 1178, 1163, 1163, 1163, 1167, 1167, 1167, 1167, 1178, 1178, 1177, 1174, 1174, 1174, 1174, 1175, 1178, 1177, 1178, 1179, 1186, 1186, 1186, 1186, 1186, 1186, 1186, 1194, 1194, 1194, 1194, 1194, 1194, 1193, 1194];[[true, true, false, true, true, false, false, false, false, true, true, false, true, true, false, false, false, false]]
1;jhotdraw-7.6.0.odem;1195;[-2.0,-0.5,-1.0,1.5,-0.5,-0.5,-1.5,-2.0,];[1, 4, 3, 8, 4, 4, 2, 1];67.73;20008;13506;626146223;[357, 357, 613, 613, 613, 1124, 521, 357, 1124, 431, 431, 431, 431, 435, 1124, 1124, 27, 27, 27, 27, 27, 27, 27, 435, 357, 27, 27, 27, 29, 29, 251, 251, 251, 251, 251, 251, 251, 251, 251, 251, 611, 613, 157, 588, 634, 52, 52, 52, 52, 52, 52, 52, 52, 645, 645, 634, 632, 632, 357, 632, 630, 62, 62, 346, 346, 346, 346, 346, 634, 634, 634, 82, 78, 78, 78, 78, 78, 78, 78, 613, 82, 82, 82, 357, 613, 613, 613, 241, 241, 241, 93, 93, 93, 93, 630, 249, 630, 630, 630, 274, 274, 274, 198, 627, 605, 605, 588, 632, 112, 112, 112, 112, 112, 595, 613, 542, 631, 143, 143, 143, 143, 143, 143, 130, 130, 130, 130, 130, 130, 130, 130, 627, 630, 630, 624, 141, 141, 141, 141, 141, 141, 141, 1124, 143, 145, 145, 627, 152, 152, 152, 152, 152, 152, 157, 157, 157, 157, 157, 159, 159, 163, 163, 163, 163, 167, 167, 167, 167, 172, 172, 172, 172, 172, 177, 177, 177, 177, 177, 179, 179, 624, 186, 186, 186, 186, 186, 186, 189, 189, 189, 630, 637, 630, 630, 196, 196, 196, 198, 198, 630, 630, 211, 211, 211, 211, 211, 211, 211, 211, 211, 211, 211, 632, 215, 215, 215, 634, 627, 634, 521, 226, 226, 226, 226, 226, 226, 226, 241, 241, 241, 241, 232, 232, 241, 241, 241, 241, 241, 241, 241, 241, 241, 242, 614, 614, 249, 249, 249, 249, 249, 251, 251, 1028, 588, 274, 256, 256, 631, 631, 634, 634, 634, 614, 634, 634, 357, 634, 613, 605, 605, 627, 1124, 627, 274, 274, 280, 280, 280, 280, 280, 280, 282, 282, 305, 305, 305, 995, 335, 335, 995, 335, 335, 335, 294, 294, 335, 320, 320, 334, 302, 302, 302, 302, 304, 304, 305, 353, 353, 353, 353, 353, 353, 353, 353, 335, 319, 319, 319, 319, 319, 320, 327, 327, 327, 327, 327, 327, 327, 352, 352, 335, 334, 334, 334, 334, 335, 339, 339, 339, 339, 345, 345, 345, 345, 345, 345, 346, 351, 351, 351, 351, 351, 352, 353, 995, 995, 995, 357, 359, 359, 361, 361, 364, 364, 364, 376, 376, 376, 376, 374, 374, 374, 374, 374, 374, 376, 376, 406, 432, 431, 406, 406, 406, 406, 406, 406, 406, 406, 406, 406, 406, 406, 406, 406, 406, 406, 406, 406, 406, 406, 406, 406, 406, 406, 406, 406, 406, 542, 542, 542, 542, 542, 542, 542, 420, 542, 420, 420, 542, 435, 420, 432, 432, 432, 432, 432, 432, 432, 432, 431, 431, 431, 432, 435, 435, 435, 604, 604, 599, 525, 509, 509, 509, 509, 509, 509, 509, 509, 509, 509, 509, 509, 509, 509, 615, 461, 557, 542, 509, 615, 615, 461, 565, 615, 471, 471, 525, 471, 471, 469, 470, 471, 613, 488, 488, 488, 488, 488, 488, 488, 488, 488, 488, 488, 557, 486, 486, 488, 488, 588, 495, 495, 495, 495, 495, 495, 615, 605, 605, 605, 614, 521, 521, 521, 565, 521, 521, 521, 521, 509, 521, 521, 521, 521, 557, 521, 517, 517, 521, 627, 599, 521, 614, 614, 615, 525, 615, 634, 536, 536, 536, 536, 536, 536, 536, 536, 536, 542, 1126, 542, 542, 604, 542, 613, 565, 565, 565, 565, 565, 565, 565, 565, 565, 565, 565, 565, 565, 557, 565, 560, 560, 565, 563, 563, 599, 565, 638, 638, 638, 638, 638, 638, 638, 638, 638, 638, 638, 638, 638, 638, 638, 638, 638, 638, 638, 638, 638, 638, 588, 590, 590, 595, 595, 595, 595, 595, 615, 604, 599, 599, 604, 604, 604, 604, 604, 605, 614, 615, 611, 611, 611, 611, 613, 613, 614, 615, 616, 621, 621, 621, 621, 621, 624, 624, 624, 626, 626, 627, 642, 642, 630, 631, 632, 634, 634, 635, 636, 637, 638, 1124, 641, 641, 642, 643, 644, 645, 648, 648, 648, 1193, 1193, 1193, 1193, 1193, 1193, 1193, 1193, 1193, 1193, 1193, 1193, 663, 663, 663, 1193, 1194, 1194, 1193, 1193, 1193, 1193, 1193, 1193, 1194, 678, 678, 678, 678, 678, 1169, 1167, 757, 757, 1169, 757, 757, 757, 757, 757, 757, 757, 757, 766, 695, 695, 695, 757, 757, 757, 742, 742, 742, 742, 774, 774, 774, 706, 757, 757, 715, 715, 715, 715, 715, 715, 715, 757, 719, 719, 719, 766, 766, 757, 774, 1087, 1087, 1087, 1169, 1169, 730, 730, 1087, 1169, 734, 734, 1169, 737, 737, 739, 739, 741, 741, 742, 745, 745, 745, 757, 750, 750, 750, 750, 753, 753, 753, 756, 756, 756, 757, 761, 761, 761, 761, 764, 764, 764, 766, 766, 770, 770, 770, 770, 772, 772, 774, 774, 776, 776, 778, 778, 782, 782, 782, 782, 785, 785, 785, 1028, 1012, 930, 790, 790, 1077, 1028, 1169, 1077, 1077, 857, 1077, 1077, 1028, 1028, 1160, 860, 1160, 1028, 1160, 1160, 1028, 1028, 1074, 1028, 1030, 1048, 998, 1028, 1077, 818, 818, 818, 824, 824, 824, 824, 824, 824, 833, 833, 828, 828, 833, 833, 833, 833, 833, 946, 1028, 998, 839, 839, 839, 998, 1169, 1028, 1077, 857, 857, 939, 1028, 1167, 851, 851, 851, 995, 995, 1077, 1077, 1169, 857, 1012, 860, 860, 1028, 1028, 929, 1160, 1160, 942, 942, 942, 871, 871, 871, 930, 930, 930, 998, 998, 998, 998, 998, 998, 998, 1170, 998, 998, 886, 886, 937, 937, 998, 998, 998, 998, 998, 941, 998, 1177, 998, 998, 998, 998, 998, 903, 903, 905, 905, 1028, 908, 908, 998, 998, 998, 913, 913, 939, 939, 939, 930, 995, 923, 923, 923, 923, 923, 929, 929, 929, 929, 929, 929, 930, 1169, 998, 1177, 1177, 998, 937, 937, 998, 939, 941, 941, 942, 1028, 1160, 946, 946, 948, 948, 1028, 1028, 1012, 1012, 1160, 1048, 1028, 1028, 1028, 1160, 1074, 1012, 1030, 1030, 1043, 1043, 1043, 1043, 1043, 1013, 1013, 1057, 1043, 1077, 1072, 1072, 1072, 1056, 1023, 1048, 1013, 1028, 1074, 1074, 1074, 1074, 1074, 1074, 1028, 1028, 1028, 1048, 1048, 994, 994, 994, 995, 998, 1013, 998, 1160, 1160, 1037, 1037, 1037, 1037, 1037, 1037, 1037, 1037, 1037, 1037, 1028, 1012, 1013, 1023, 1023, 1023, 1023, 1023, 1023, 1023, 1023, 1023, 1023, 1188, 1167, 1028, 1167, 1028, 1167, 1030, 1048, 1048, 1048, 1037, 1083, 1037, 1037, 1039, 1039, 1043, 1043, 1043, 1043, 1072, 1073, 1073, 1048, 1048, 1069, 1069, 1056, 1057, 1072, 1055, 1055, 1056, 1057, 1059, 1059, 1072, 1072, 1072, 1072, 1065, 1065, 1067, 1067, 1069, 1069, 1072, 1072, 1072, 1073, 1074, 1086, 1086, 1077, 1086, 1086, 1086, 1083, 1083, 1083, 1085, 1085, 1086, 1087, 1090, 1090, 1090, 1169, 1146, 1146, 1146, 1146, 1149, 1149, 1149, 1128, 1128, 1128, 1128, 1128, 1128, 1128, 1128, 1128, 1128, 1128, 1128, 1112, 1112, 1113, 1149, 1117, 1117, 1117, 1126, 1126, 1124, 1126, 1126, 1175, 1124, 1126, 1126, 1128, 1128, 1169, 1146, 1146, 1146, 1146, 1146, 1146, 1146, 1146, 1151, 1151, 1151, 1151, 1146, 1146, 1146, 1146, 1146, 1151, 1151, 1149, 1151, 1151, 1154, 1154, 1154, 1155, 1167, 1167, 1167, 1169, 1160, 1163, 1163, 1163, 1167, 1167, 1167, 1167, 1169, 1169, 1170, 1174, 1174, 1174, 1174, 1175, 1178, 1177, 1178, 1179, 1186, 1186, 1186, 1186, 1186, 1186, 1186, 1194, 1188, 1194, 1194, 1194, 1194, 1193, 1194];[[true, true, false, true, true, false, false, false, false, true, true, false, true, true, false, false, false, false]]
2;jhotdraw-7.6.0.odem;1195;[-1.0,0.0,0.0,2.5,-1.5,-0.5,-2.5,-2.5,];[3, 5, 5, 10, 2, 4, 0, 0];68.07;20015;10021;617106637;[358, 358, 543, 543, 543, 15, 546, 644, 15, 358, 358, 358, 358, 644, 15, 15, 644, 644, 644, 644, 644, 644, 644, 644, 644, 644, 644, 644, 29, 29, 251, 251, 251, 251, 251, 251, 251, 251, 251, 251, 611, 543, 157, 627, 643, 52, 52, 52, 52, 52, 52, 52, 52, 645, 645, 643, 62, 62, 58, 643, 200, 62, 62, 346, 346, 346, 346, 346, 643, 643, 643, 82, 78, 78, 78, 78, 78, 78, 78, 543, 82, 82, 82, 83, 84, 85, 86, 230, 230, 242, 93, 93, 93, 93, 200, 249, 200, 200, 200, 100, 100, 537, 198, 627, 605, 605, 627, 543, 112, 112, 112, 112, 112, 595, 543, 630, 631, 143, 143, 143, 143, 143, 143, 130, 130, 130, 130, 130, 130, 130, 130, 627, 133, 133, 643, 141, 141, 141, 141, 141, 141, 141, 142, 143, 145, 145, 146, 152, 152, 152, 152, 152, 152, 157, 157, 157, 157, 157, 159, 159, 163, 163, 163, 163, 167, 167, 167, 167, 172, 172, 172, 172, 172, 177, 177, 177, 177, 177, 179, 179, 643, 183, 183, 183, 186, 186, 186, 189, 189, 189, 200, 637, 200, 200, 196, 196, 196, 198, 198, 200, 200, 211, 211, 211, 211, 211, 211, 211, 211, 211, 211, 211, 643, 215, 215, 215, 643, 627, 643, 219, 226, 226, 226, 226, 226, 226, 226, 242, 242, 242, 230, 232, 232, 242, 242, 242, 242, 242, 242, 242, 242, 242, 242, 614, 614, 249, 249, 249, 249, 249, 251, 251, 252, 627, 537, 256, 256, 631, 631, 643, 261, 261, 614, 264, 264, 265, 643, 543, 605, 605, 543, 271, 627, 274, 274, 280, 280, 280, 280, 280, 280, 282, 282, 339, 339, 339, 327, 335, 335, 289, 295, 295, 295, 294, 294, 295, 297, 297, 334, 302, 302, 302, 302, 304, 304, 339, 353, 353, 353, 353, 353, 353, 353, 353, 353, 319, 319, 319, 319, 319, 334, 327, 327, 327, 327, 327, 327, 327, 352, 352, 335, 334, 334, 334, 334, 335, 339, 339, 339, 339, 345, 345, 345, 345, 345, 345, 346, 351, 351, 351, 351, 351, 352, 353, 356, 355, 356, 358, 358, 361, 361, 361, 364, 364, 364, 376, 376, 376, 376, 374, 374, 374, 374, 374, 374, 376, 376, 406, 432, 379, 406, 406, 406, 406, 406, 406, 406, 406, 406, 406, 406, 406, 406, 406, 406, 406, 406, 406, 406, 406, 406, 406, 406, 406, 406, 406, 406, 540, 540, 540, 540, 540, 540, 540, 420, 540, 420, 420, 540, 435, 420, 432, 432, 432, 432, 432, 432, 432, 432, 429, 430, 431, 432, 435, 435, 435, 604, 604, 564, 564, 458, 442, 442, 444, 444, 458, 636, 636, 636, 458, 552, 552, 636, 458, 615, 565, 557, 540, 458, 615, 615, 565, 521, 615, 537, 537, 564, 537, 537, 537, 537, 537, 543, 488, 488, 488, 488, 488, 488, 488, 488, 488, 488, 488, 557, 486, 486, 488, 488, 627, 495, 495, 495, 495, 495, 495, 615, 605, 605, 605, 614, 521, 521, 546, 521, 521, 552, 552, 521, 552, 521, 521, 521, 521, 557, 521, 517, 517, 521, 627, 521, 521, 614, 614, 615, 564, 615, 643, 642, 642, 642, 642, 642, 642, 642, 642, 642, 537, 1126, 540, 540, 604, 630, 543, 565, 565, 546, 565, 565, 552, 565, 565, 552, 565, 565, 565, 565, 557, 565, 560, 560, 565, 563, 563, 564, 565, 638, 638, 638, 638, 638, 638, 638, 638, 638, 638, 638, 638, 638, 638, 638, 638, 638, 638, 638, 638, 638, 638, 627, 590, 590, 595, 595, 595, 595, 595, 615, 604, 599, 599, 601, 601, 604, 604, 604, 605, 614, 615, 611, 611, 611, 611, 613, 613, 614, 615, 636, 621, 621, 621, 621, 621, 624, 624, 624, 626, 626, 627, 629, 629, 630, 631, 643, 634, 634, 643, 636, 637, 638, 639, 641, 641, 642, 643, 644, 645, 648, 648, 648, 667, 667, 1193, 1194, 667, 667, 667, 667, 667, 667, 1193, 667, 663, 663, 663, 667, 1194, 1194, 667, 672, 672, 1193, 672, 672, 1194, 678, 678, 678, 678, 678, 684, 1167, 707, 1113, 684, 684, 691, 691, 691, 691, 691, 691, 691, 766, 706, 706, 706, 707, 722, 722, 742, 742, 742, 742, 774, 774, 774, 706, 707, 722, 1128, 1128, 1128, 1128, 1155, 1128, 1128, 722, 719, 719, 719, 766, 766, 722, 774, 1168, 1168, 1168, 1168, 1168, 730, 730, 1168, 818, 734, 734, 1168, 737, 737, 739, 739, 741, 741, 742, 745, 745, 745, 1113, 750, 750, 750, 750, 753, 753, 753, 756, 756, 756, 1113, 761, 761, 761, 761, 764, 764, 764, 766, 766, 770, 770, 770, 770, 772, 772, 774, 774, 776, 776, 778, 778, 782, 782, 782, 782, 785, 785, 785, 972, 1012, 930, 790, 790, 1160, 1189, 1189, 1160, 1160, 857, 1160, 972, 800, 800, 1035, 860, 1000, 1035, 1035, 1160, 988, 1035, 988, 988, 1030, 1189, 1011, 1051, 1160, 818, 818, 818, 824, 824, 824, 824, 824, 824, 833, 833, 828, 828, 833, 1179, 833, 833, 833, 1160, 1011, 935, 839, 839, 839, 1011, 1189, 1011, 1160, 857, 857, 939, 1189, 1167, 851, 851, 851, 918, 918, 1160, 1160, 1189, 857, 1012, 860, 860, 972, 1035, 929, 1000, 1000, 942, 942, 942, 905, 905, 905, 930, 930, 930, 938, 938, 938, 938, 938, 938, 938, 1170, 932, 932, 886, 886, 937, 937, 938, 938, 938, 938, 938, 938, 938, 1177, 938, 938, 938, 938, 1178, 903, 903, 905, 905, 932, 908, 908, 1011, 932, 935, 913, 913, 939, 939, 939, 930, 918, 923, 923, 923, 923, 923, 929, 929, 929, 929, 929, 929, 930, 1168, 932, 1177, 1177, 935, 937, 937, 938, 939, 941, 941, 942, 1051, 1160, 1160, 1160, 948, 948, 950, 950, 1012, 1012, 1160, 1189, 957, 957, 957, 1000, 988, 1012, 1030, 1030, 1043, 1043, 1043, 1043, 1043, 1013, 1013, 1072, 1043, 972, 1072, 1072, 1072, 1051, 1023, 991, 1013, 1011, 988, 988, 988, 988, 988, 988, 988, 988, 1035, 991, 991, 994, 994, 994, 1011, 1011, 1013, 1051, 1000, 1000, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1011, 1012, 1013, 1023, 1023, 1023, 1023, 1023, 1023, 1023, 1023, 1023, 1023, 1167, 1167, 1167, 1167, 1167, 1167, 1030, 1189, 1189, 1189, 1051, 1035, 1051, 1051, 1039, 1039, 1043, 1043, 1043, 1043, 1072, 1046, 1046, 1048, 1048, 1059, 1059, 1051, 1072, 1072, 1055, 1055, 1072, 1072, 1059, 1059, 1072, 1072, 1072, 1072, 1065, 1065, 1067, 1067, 1069, 1069, 1072, 1072, 1072, 1086, 1086, 1086, 1086, 1189, 1086, 1086, 1086, 1083, 1083, 1083, 1085, 1085, 1086, 1168, 1090, 1090, 1090, 1189, 1095, 1095, 1095, 1095, 1149, 1149, 1149, 1110, 1110, 1110, 1110, 1110, 1110, 1110, 1110, 1110, 1110, 1110, 1110, 1112, 1112, 1113, 1149, 1117, 1117, 1117, 1126, 1126, 1167, 1126, 1126, 1175, 1167, 1126, 1126, 1128, 1128, 1167, 1132, 1132, 1132, 1146, 1146, 1146, 1146, 1146, 1151, 1151, 1151, 1151, 1146, 1146, 1146, 1146, 1146, 1151, 1151, 1149, 1151, 1151, 1154, 1154, 1154, 1155, 1167, 1167, 1167, 1189, 1160, 1163, 1163, 1163, 1167, 1167, 1167, 1167, 1168, 1189, 1170, 1174, 1174, 1174, 1174, 1175, 1178, 1177, 1178, 1179, 1186, 1186, 1186, 1186, 1186, 1186, 1186, 1193, 1188, 1189, 1193, 1193, 1193, 1193, 1194];[[true, true, false, true, true, false, false, false, false, true, true, false, true, true, false, false, false, false]]
