"","Packages","Classes","Attrs","Meths","PMeths","dependencyCount"
"Packages",1,0.92,0.83,0.92,0.89,0.95
"Classes",0.92,1,0.82,1,0.99,0.95
"Attrs",0.83,0.82,1,0.82,0.85,0.8
"Meths",0.92,1,0.82,1,0.99,0.95
"PMeths",0.89,0.99,0.85,0.99,1,0.93
"dependencyCount",0.95,0.95,0.8,0.95,0.93,1
