version	package	cbo	aff	eff	lcom	mf	cs
jodamoney-1.0.1	org.joda.money	0	9	0	0.7	0.7397260273972602	-7
jodamoney-1.0.1	org.joda.money.format	1	0	5	0.7666666666666667	0.8549618320610687	-26
