"","Packages","Classes","Attrs","Meths","PMeths","dep_class"
"Packages",1,0.87,0.95,0.87,0.95,0.57
"Classes",0.87,1,0.94,0.98,0.93,0.34
"Attrs",0.95,0.94,1,0.95,0.98,0.54
"Meths",0.87,0.98,0.95,1,0.96,0.4
"PMeths",0.95,0.93,0.98,0.96,1,0.56
"dep_class",0.57,0.34,0.54,0.4,0.56,1
