"","team","inTeam","outTeam","num_commits"
"2000",1,1,0,5
"2001",3,2,0,23
"2002",4,1,0,48
"2003",1,0,3,3
"2004",3,2,0,24
"2006",NA,NA,NA,NA
"2007",3,2,2,34
"2008",2,0,1,141
"2009",2,0,0,98
"2010",10,9,1,242
"2011",6,3,7,56
"2012",19,17,4,124
"2013",38,28,9,312
"2014",33,24,29,239
"2015",40,32,25,161
"2016",22,17,35,38
"2017",28,24,18,78
"2018",9,6,25,50
"2019",8,5,6,44
"2020",8,4,4,33
