version	packageCount	classCount	elegance	singleClassPackages	maximumClassConcentration	dependencyCount	cbo	aff	eff	mq	evm	lcom5
jhotdraw-5.2.0	11	191	15.340218839690223	0	55	997		4.0					25.636363636363637	24.181818181818183	2.737007480189439	-2427	0.8344931371127543
jhotdraw-5.3.0	11	273	25.657953513723513	0	91	1548	4.181818181818182	39.54545454545455	31.363636363636363	2.651722189950803	-6178	0.844897576154344
jhotdraw-5.4.1	17	391	27.222395624364356	1	99	2086	4.176470588235294	34.705882352941174	27.705882352941178	5.135490449714916	-9584	0.8312064118929892
jhotdraw-6.0.1	17	398	27.566089192273928	1	103	2175	4.176470588235294	35.411764705882355	28.11764705882353	5.314195203349364	-9855	0.8181720042378143
jhotdraw-7.0.6	16	320	33.95585369269929	3	133	1500	2.1875	19.375	9.8125	5.6117780217384645	-10738	0.7829109662778221
jhotdraw-7.0.7	16	333	34.55650942658995	3	133	1574	2.1875	20.6875	10.1875	5.496454159474887	-11288	0.7856640827670438
jhotdraw-7.0.8	16	379	36.68909706915666	1	145	1763	2.3125	22.1875	11.25	6.2321205862935125	-13256	0.8230616049176295
jhotdraw-7.0.9	17	431	42.313870867838	1	173	2082	2.5294117647058822	24.294117647058822	12.176470588235293	6.919949975154257	-18325	0.8114069327463774
jhotdraw-7.1.0	47	1149	45.660080106656736	4	258	4051	2.276595744680851	15.957446808510639	8.957446808510639	25.509029424882453	-58300	0.7778362150476019
jhotdraw-7.2.0	20	391	42.81643959976121	4	193	2007	2.15	16.15	9.7	7.847888323485135	-19637	0.798795457117996
jhotdraw-7.3.0	56	1231	43.75805683831614	7	258	4533	2.625	15.767857142857142	8.821428571428571	26.135391796871787	-61912	0.8340445884323203
jhotdraw-7.3.1	56	1233	43.82533964966117	7	258	4543	2.642857142857143	15.821428571428571	8.857142857142858	26.216799857428803	-62106	0.8336023814344826
jhotdraw-7.4.1	65	1186	34.722207821167295	7	259	4490	3.6615384615384614	19.184615384615384	10.892307692307693	25.991775079565322	-46068	0.8275881327342858
jhotdraw-7.5.1	68	1193	33.85889136137587	8	255	4566	3.676470588235294	18.647058823529413	10.735294117647058	27.448144001661802	-45471	0.8113492664846311
jhotdraw-7.6.0	67	1195	34.07174038676109	8	255	4533	3.5522388059701493	18.44776119402985	10.626865671641792	27.39997783468885	-45531	0.8086681737920525
