versions	package	cbo	aff	eff	lcom	mf	cs
4.2.0	org.junit.internal.requests	4	1	13	1.0	0.0	-10
4.2.0	org.junit.internal.runners	6	10	27	0.9210526315789473	0.3624161073825503	-131
4.2.0	org.junit.runner	6	36	13	0.7638888888888888	0.30357142857142855	-8
4.2.0	org.junit.runner.manipulation	1	9	2	0.7333333333333333	0.37209302325581395	-5
4.2.0	org.junit.runner.notification	1	16	2	0.6454545454545455	0.6610169491525424	7
4.2.0	org.junit.runners	4	0	10	0.7916666666666666	0.6818181818181818	-16
4.3.1	junit.extensions	1	1	6	0.8	0.41379310344827586	-7
4.3.1	junit.framework	2	14	6	0.8345588235294118	0.6122448979591837	-58
4.3.1	junit.runner	1	3	5	1.0	0.0	-3
4.3.1	junit.textui	2	0	9	0.5	0.13333333333333333	1
4.3.1	org.junit	1	7	1	0.9333333333333333	0.4	-37
4.3.1	org.junit.internal	0	1	0	NaN	0.0	0
4.3.1	org.junit.internal.requests	7	1	16	0.9666666666666667	0.05555555555555555	-13
4.3.1	org.junit.internal.runners	6	10	27	0.9122807017543859	0.38961038961038963	-127
4.3.1	org.junit.runner	6	36	13	0.7638888888888888	0.3008849557522124	-8
4.3.1	org.junit.runner.manipulation	1	9	2	0.7333333333333333	0.37209302325581395	-5
4.3.1	org.junit.runner.notification	1	17	2	0.6454545454545455	0.6666666666666666	7
4.3.1	org.junit.runners	4	1	10	0.7916666666666666	0.6521739130434783	-16
4.4.0	junit.extensions	1	1	6	0.8	0.41379310344827586	-7
4.4.0	junit.framework	4	14	10	0.8345588235294118	0.5960264900662252	-58
4.4.0	junit.runner	1	3	5	1.0	0.0	-3
4.4.0	junit.textui	2	0	9	0.5	0.13333333333333333	1
4.4.0	org.hamcrest	2	26	12	0.7857142857142857	0.20689655172413793	-6
4.4.0	org.hamcrest.core	1	2	5	0.9555555555555556	0.12903225806451613	-37
4.4.0	org.hamcrest.internal	1	1	2	0.8333333333333334	0.2857142857142857	-1
4.4.0	org.junit	3	9	7	0.9393939393939394	0.3137254901960784	-56
4.4.0	org.junit.experimental.results	4	0	8	0.65	0.5	0
4.4.0	org.junit.experimental.theories	2	4	5	0.7909090909090909	0.7540983606557377	-19
4.4.0	org.junit.experimental.theories.internal	3	1	9	0.5	0.3333333333333333	1
4.4.0	org.junit.experimental.theories.suppliers	1	0	4	-0.0	0.5	1
4.4.0	org.junit.internal	2	3	4	1.0	0.0	-1
4.4.0	org.junit.internal.requests	7	1	16	0.9666666666666667	0.05555555555555555	-13
4.4.0	org.junit.internal.runners	6	11	27	0.919047619047619	0.40476190476190477	-158
4.4.0	org.junit.matchers	2	1	8	0.8214285714285714	0.47619047619047616	-10
4.4.0	org.junit.runner	7	36	13	0.7638888888888888	0.2982456140350877	-8
4.4.0	org.junit.runner.manipulation	1	10	2	0.7333333333333333	0.34782608695652173	-5
4.4.0	org.junit.runner.notification	1	24	2	0.6454545454545455	0.624	7
4.4.0	org.junit.runners	5	1	13	0.8472222222222222	0.4489795918367347	-24
4.5.0	junit.extensions	1	1	6	0.8	0.41379310344827586	-7
4.5.0	junit.framework	4	14	13	0.8345588235294118	0.5882352941176471	-58
4.5.0	junit.runner	1	3	5	1.0	0.0	-3
4.5.0	junit.textui	2	0	9	0.5	0.13333333333333333	1
4.5.0	org.hamcrest	2	27	12	0.7857142857142857	0.2033898305084746	-6
4.5.0	org.hamcrest.core	1	2	5	0.9555555555555556	0.12903225806451613	-37
4.5.0	org.hamcrest.internal	1	1	2	0.8333333333333334	0.2857142857142857	-1
4.5.0	org.junit	3	9	7	0.9454545454545454	0.2553191489361702	-47
4.5.0	org.junit.experimental.results	5	0	9	0.7	0.5142857142857142	-3
4.5.0	org.junit.experimental.runners	2	0	2	NaN	0.0	0
4.5.0	org.junit.experimental.theories	5	5	9	0.8571428571428571	0.5652173913043478	-51
4.5.0	org.junit.experimental.theories.internal	2	4	9	0.7	0.36363636363636365	-2
4.5.0	org.junit.experimental.theories.suppliers	1	0	4	-0.0	0.5	1
4.5.0	org.junit.internal	3	11	8	0.9	0.16	-6
4.5.0	org.junit.internal.builders	7	3	11	0.875	0.34146341463414637	-14
4.5.0	org.junit.internal.matchers	2	3	8	0.8571428571428571	0.3157894736842105	-11
4.5.0	org.junit.internal.requests	4	1	8	1.0	0.0	-3
4.5.0	org.junit.internal.runners	8	7	26	0.8986928104575164	0.4696969696969697	-105
4.5.0	org.junit.internal.runners.model	3	5	4	0.8333333333333334	0.18181818181818182	-1
4.5.0	org.junit.internal.runners.statements	2	2	3	0.9523809523809523	0.17391304347826086	-19
4.5.0	org.junit.matchers	2	0	5	NaN	0.0	0
4.5.0	org.junit.runner	10	45	18	0.8	0.3283582089552239	-19
4.5.0	org.junit.runner.manipulation	1	11	1	0.7619047619047619	0.37735849056603776	-9
4.5.0	org.junit.runner.notification	1	24	2	0.6590909090909091	0.6382978723404256	6
4.5.0	org.junit.runners	10	5	32	0.8712121212121212	0.3333333333333333	-44
4.5.0	org.junit.runners.model	4	33	6	0.8666666666666667	0.10810810810810811	-9
4.6.0	junit.extensions	1	1	6	0.8	0.41379310344827586	-7
4.6.0	junit.framework	4	14	13	0.8345588235294118	0.5882352941176471	-58
4.6.0	junit.runner	1	3	5	1.0	0.0	-3
4.6.0	junit.textui	2	0	9	0.5	0.13333333333333333	1
4.6.0	org.hamcrest	2	27	12	0.7857142857142857	0.2033898305084746	-6
4.6.0	org.hamcrest.core	1	2	5	0.9555555555555556	0.12903225806451613	-37
4.6.0	org.hamcrest.internal	1	1	2	0.8333333333333334	0.2857142857142857	-1
4.6.0	org.junit	3	10	8	0.9454545454545454	0.24489795918367346	-47
4.6.0	org.junit.experimental	4	0	8	0.5	0.5263157894736842	2
4.6.0	org.junit.experimental.max	6	0	12	0.7321428571428571	0.5769230769230769	-8
4.6.0	org.junit.experimental.results	5	0	9	0.7	0.5142857142857142	-3
4.6.0	org.junit.experimental.runners	2	0	2	NaN	0.0	0
4.6.0	org.junit.experimental.theories	5	5	9	0.8571428571428571	0.5652173913043478	-51
4.6.0	org.junit.experimental.theories.internal	2	4	9	0.7	0.36363636363636365	-2
4.6.0	org.junit.experimental.theories.suppliers	1	0	4	-0.0	0.5	1
4.6.0	org.junit.internal	4	11	9	0.9	0.20689655172413793	-9
4.6.0	org.junit.internal.builders	7	3	11	0.875	0.34146341463414637	-14
4.6.0	org.junit.internal.matchers	2	3	8	0.8571428571428571	0.3157894736842105	-11
4.6.0	org.junit.internal.requests	4	2	8	1.0	0.0	-3
4.6.0	org.junit.internal.runners	8	8	26	0.8986928104575164	0.46616541353383456	-105
4.6.0	org.junit.internal.runners.model	3	5	4	0.8333333333333334	0.18181818181818182	-1
4.6.0	org.junit.internal.runners.statements	2	2	3	0.9523809523809523	0.17391304347826086	-19
4.6.0	org.junit.matchers	2	0	5	NaN	0.0	0
4.6.0	org.junit.runner	10	55	18	0.803030303030303	0.32098765432098764	-24
4.6.0	org.junit.runner.manipulation	1	9	1	0.7857142857142857	0.43636363636363634	-14
4.6.0	org.junit.runner.notification	1	30	2	0.6590909090909091	0.6081081081081081	6
4.6.0	org.junit.runners	10	12	32	0.8712121212121212	0.3177570093457944	-44
4.6.0	org.junit.runners.model	4	42	6	0.8666666666666667	0.09090909090909091	-9
4.7.0	junit.extensions	1	1	6	0.8	0.41379310344827586	-7
4.7.0	junit.framework	4	15	13	0.8345588235294118	0.5844155844155844	-58
4.7.0	junit.runner	1	3	4	1.0	0.0	-3
4.7.0	junit.textui	2	0	9	0.5	0.13333333333333333	1
4.7.0	org.hamcrest	2	32	12	0.7857142857142857	0.18604651162790697	-6
4.7.0	org.hamcrest.core	1	2	5	0.9555555555555556	0.12903225806451613	-37
4.7.0	org.hamcrest.internal	1	1	2	0.8333333333333334	0.2857142857142857	-1
4.7.0	org.junit	3	14	10	0.9545454545454546	0.21428571428571427	-58
4.7.0	org.junit.experimental	3	0	6	0.3333333333333333	0.5	1
4.7.0	org.junit.experimental.max	7	0	14	0.75	0.5283018867924528	-10
4.7.0	org.junit.experimental.results	5	0	9	0.7	0.5142857142857142	-3
4.7.0	org.junit.experimental.runners	2	0	2	NaN	0.0	0
4.7.0	org.junit.experimental.theories	5	5	9	0.8571428571428571	0.5652173913043478	-51
4.7.0	org.junit.experimental.theories.internal	2	4	9	0.7	0.36363636363636365	-2
4.7.0	org.junit.experimental.theories.suppliers	1	0	4	-0.0	0.5	1
4.7.0	org.junit.internal	4	11	9	0.9107142857142857	0.2777777777777778	-18
4.7.0	org.junit.internal.builders	7	3	11	0.875	0.34146341463414637	-14
4.7.0	org.junit.internal.matchers	2	5	8	0.8571428571428571	0.3	-11
4.7.0	org.junit.internal.requests	4	2	8	1.0	0.0	-3
4.7.0	org.junit.internal.runners	8	9	26	0.8986928104575164	0.4626865671641791	-105
4.7.0	org.junit.internal.runners.model	3	6	4	0.8333333333333334	0.16666666666666666	-1
4.7.0	org.junit.internal.runners.statements	2	3	3	0.9523809523809523	0.16666666666666666	-19
4.7.0	org.junit.matchers	2	1	5	NaN	0.0	0
4.7.0	org.junit.rules	7	1	13	0.9047619047619048	0.5128205128205128	-77
4.7.0	org.junit.runner	10	54	18	0.803030303030303	0.325	-24
4.7.0	org.junit.runner.manipulation	1	9	1	0.7857142857142857	0.43636363636363634	-14
4.7.0	org.junit.runner.notification	1	28	2	0.6590909090909091	0.6164383561643836	6
4.7.0	org.junit.runners	11	8	36	0.8846153846153846	0.358974358974359	-65
4.7.0	org.junit.runners.model	4	51	6	0.8888888888888888	0.14035087719298245	-22
4.8.0	junit.extensions	1	1	6	0.8	0.41379310344827586	-7
4.8.0	junit.framework	4	15	13	0.8345588235294118	0.5844155844155844	-58
4.8.0	junit.runner	1	3	4	1.0	0.0	-3
4.8.0	junit.textui	2	0	9	0.5	0.13333333333333333	1
4.8.0	org.hamcrest	2	32	12	0.7857142857142857	0.18604651162790697	-6
4.8.0	org.hamcrest.core	1	2	5	0.9555555555555556	0.12903225806451613	-37
4.8.0	org.hamcrest.internal	1	1	2	0.8333333333333334	0.2857142857142857	-1
4.8.0	org.junit	3	14	10	0.9545454545454546	0.21428571428571427	-58
4.8.0	org.junit.experimental	3	0	6	0.3333333333333333	0.5	1
4.8.0	org.junit.experimental.categories	4	0	6	0.65	0.6666666666666666	-2
4.8.0	org.junit.experimental.max	7	0	14	0.75	0.5283018867924528	-10
4.8.0	org.junit.experimental.results	5	0	9	0.7	0.5142857142857142	-3
4.8.0	org.junit.experimental.runners	2	0	2	NaN	0.0	0
4.8.0	org.junit.experimental.theories	5	5	9	0.8571428571428571	0.5652173913043478	-51
4.8.0	org.junit.experimental.theories.internal	2	4	9	0.7	0.36363636363636365	-2
4.8.0	org.junit.experimental.theories.suppliers	1	0	4	-0.0	0.5	1
4.8.0	org.junit.internal	4	11	9	0.9107142857142857	0.2777777777777778	-18
4.8.0	org.junit.internal.builders	7	3	11	0.875	0.34146341463414637	-14
4.8.0	org.junit.internal.matchers	2	5	8	0.8571428571428571	0.3	-11
4.8.0	org.junit.internal.requests	4	2	8	1.0	0.0	-3
4.8.0	org.junit.internal.runners	8	9	26	0.8986928104575164	0.4626865671641791	-105
4.8.0	org.junit.internal.runners.model	3	6	4	0.8333333333333334	0.16666666666666666	-1
4.8.0	org.junit.internal.runners.statements	2	3	3	0.9523809523809523	0.16666666666666666	-19
4.8.0	org.junit.matchers	2	1	5	NaN	0.0	0
4.8.0	org.junit.rules	7	1	13	0.9047619047619048	0.5128205128205128	-77
4.8.0	org.junit.runner	10	55	18	0.803030303030303	0.32298136645962733	-24
4.8.0	org.junit.runner.manipulation	1	11	1	0.7857142857142857	0.41379310344827586	-14
4.8.0	org.junit.runner.notification	1	28	2	0.6590909090909091	0.6164383561643836	6
4.8.0	org.junit.runners	11	9	36	0.8846153846153846	0.3559322033898305	-65
4.8.0	org.junit.runners.model	4	52	6	0.8888888888888888	0.13793103448275862	-22
4.8.1	junit.extensions	1	1	6	0.8	0.41379310344827586	-7
4.8.1	junit.framework	4	15	13	0.8345588235294118	0.5844155844155844	-58
4.8.1	junit.runner	1	3	4	1.0	0.0	-3
4.8.1	junit.textui	2	0	9	0.5	0.13333333333333333	1
4.8.1	org.hamcrest	2	32	12	0.7857142857142857	0.18604651162790697	-6
4.8.1	org.hamcrest.core	1	2	5	0.9555555555555556	0.12903225806451613	-37
4.8.1	org.hamcrest.internal	1	1	2	0.8333333333333334	0.2857142857142857	-1
4.8.1	org.junit	3	14	10	0.9545454545454546	0.21428571428571427	-58
4.8.1	org.junit.experimental	3	0	6	0.3333333333333333	0.5	1
4.8.1	org.junit.experimental.categories	4	0	6	0.65	0.6666666666666666	-2
4.8.1	org.junit.experimental.max	7	0	14	0.75	0.5283018867924528	-10
4.8.1	org.junit.experimental.results	5	0	9	0.7	0.5142857142857142	-3
4.8.1	org.junit.experimental.runners	2	0	2	NaN	0.0	0
4.8.1	org.junit.experimental.theories	5	5	9	0.8571428571428571	0.5652173913043478	-51
4.8.1	org.junit.experimental.theories.internal	2	4	9	0.7	0.36363636363636365	-2
4.8.1	org.junit.experimental.theories.suppliers	1	0	4	-0.0	0.5	1
4.8.1	org.junit.internal	4	11	9	0.9107142857142857	0.2777777777777778	-18
4.8.1	org.junit.internal.builders	7	3	11	0.875	0.34146341463414637	-14
4.8.1	org.junit.internal.matchers	2	5	8	0.8571428571428571	0.3	-11
4.8.1	org.junit.internal.requests	4	2	8	1.0	0.0	-3
4.8.1	org.junit.internal.runners	8	9	26	0.8986928104575164	0.4626865671641791	-105
4.8.1	org.junit.internal.runners.model	3	6	4	0.8333333333333334	0.16666666666666666	-1
4.8.1	org.junit.internal.runners.statements	2	3	3	0.9523809523809523	0.16666666666666666	-19
4.8.1	org.junit.matchers	2	1	5	NaN	0.0	0
4.8.1	org.junit.rules	7	1	13	0.9047619047619048	0.5128205128205128	-77
4.8.1	org.junit.runner	10	55	18	0.803030303030303	0.32298136645962733	-24
4.8.1	org.junit.runner.manipulation	1	11	1	0.7857142857142857	0.41379310344827586	-14
4.8.1	org.junit.runner.notification	1	28	2	0.6590909090909091	0.6164383561643836	6
4.8.1	org.junit.runners	11	9	36	0.8846153846153846	0.3559322033898305	-65
4.8.1	org.junit.runners.model	4	52	6	0.8888888888888888	0.13793103448275862	-22
4.9.0	junit.extensions	1	1	6	0.8571428571428571	0.41379310344827586	-13
4.9.0	junit.framework	4	15	13	0.8529411764705882	0.5844155844155844	-75
4.9.0	junit.runner	1	3	4	1.0	0.0	-6
4.9.0	junit.textui	2	0	9	0.8333333333333334	0.13333333333333333	-1
4.9.0	org.hamcrest	2	32	12	0.7857142857142857	0.18604651162790697	-6
4.9.0	org.hamcrest.core	1	2	5	0.9555555555555556	0.12903225806451613	-37
4.9.0	org.hamcrest.internal	1	1	2	0.8333333333333334	0.2857142857142857	-1
4.9.0	org.junit	3	15	10	0.967032967032967	0.2033898305084746	-83
4.9.0	org.junit.experimental	3	0	6	0.3333333333333333	0.5	1
4.9.0	org.junit.experimental.categories	4	0	6	0.6	0.6666666666666666	0
4.9.0	org.junit.experimental.max	7	0	14	0.75	0.5384615384615384	-10
4.9.0	org.junit.experimental.results	5	0	10	0.7	0.5	-3
4.9.0	org.junit.experimental.runners	2	0	2	NaN	0.0	0
4.9.0	org.junit.experimental.theories	5	5	9	0.8571428571428571	0.5652173913043478	-51
4.9.0	org.junit.experimental.theories.internal	2	4	9	0.7	0.36363636363636365	-2
4.9.0	org.junit.experimental.theories.suppliers	1	0	4	-0.0	0.5	1
4.9.0	org.junit.internal	4	11	9	0.9107142857142857	0.2777777777777778	-18
4.9.0	org.junit.internal.builders	7	3	11	0.875	0.34146341463414637	-14
4.9.0	org.junit.internal.matchers	2	5	8	0.8571428571428571	0.3	-11
4.9.0	org.junit.internal.requests	4	2	8	1.0	0.0	-6
4.9.0	org.junit.internal.runners	8	9	26	0.9093567251461988	0.4626865671641791	-123
4.9.0	org.junit.internal.runners.model	4	4	5	1.0	0.0	-3
4.9.0	org.junit.internal.runners.rules	3	2	6	NaN	0.0	0
4.9.0	org.junit.internal.runners.statements	2	3	4	0.9523809523809523	0.16	-19
4.9.0	org.junit.matchers	2	1	5	1.0	0.0	-1
4.9.0	org.junit.rules	7	3	14	0.9298245614035088	0.48484848484848486	-137
4.9.0	org.junit.runner	10	67	18	0.8333333333333334	0.2988505747126437	-36
4.9.0	org.junit.runner.manipulation	1	11	1	0.8333333333333334	0.46153846153846156	-27
4.9.0	org.junit.runner.notification	1	28	2	0.7115384615384616	0.6164383561643836	-6
4.9.0	org.junit.runners	12	9	39	0.9	0.3442622950819672	-79
4.9.0	org.junit.runners.model	4	58	7	0.9111111111111111	0.13559322033898305	-31
4.10.0	junit.extensions	1	1	6	0.8571428571428571	0.41379310344827586	-13
4.10.0	junit.framework	4	15	13	0.8529411764705882	0.5844155844155844	-75
4.10.0	junit.runner	1	3	4	1.0	0.0	-6
4.10.0	junit.textui	2	0	9	0.8333333333333334	0.13333333333333333	-1
4.10.0	org.hamcrest	2	32	12	0.7857142857142857	0.18604651162790697	-6
4.10.0	org.hamcrest.core	1	2	5	0.9555555555555556	0.12903225806451613	-37
4.10.0	org.hamcrest.internal	1	1	2	0.8333333333333334	0.2857142857142857	-1
4.10.0	org.junit	3	15	10	0.967032967032967	0.2033898305084746	-83
4.10.0	org.junit.experimental	3	0	6	0.3333333333333333	0.5	1
4.10.0	org.junit.experimental.categories	4	0	6	0.6	0.6666666666666666	0
4.10.0	org.junit.experimental.max	7	0	14	0.75	0.5384615384615384	-10
4.10.0	org.junit.experimental.results	5	0	10	0.7	0.5	-3
