"","CBO","AFF","EFF","LCOM","MQ"
"CBO",1,0.54,0.7,0.74,-0.27
"AFF",0.54,1,0.95,0.29,-0.84
"EFF",0.7,0.95,1,0.42,-0.67
"LCOM",0.74,0.29,0.42,1,-0.23
"MQ",-0.27,-0.84,-0.67,-0.23,1
