"","team","inTeam","outTeam","num_commits"
"3.05.0",1,1,0,8
"3.06.0",1,0,0,2
"3.08.0",4,3,0,55
"3.08.1",2,0,2,11
"3.08.2",2,1,1,4
"4.00.0",4,2,0,28
"4.01.0",2,0,2,5
"4.02.0",3,1,0,15
"4.03.1",3,0,0,25
"4.04.0",2,0,1,51
"4.05.0",2,0,0,152
"4.06.0",5,3,0,44
"4.07.0",3,2,4,174
"4.08.0",6,4,1,31
"4.08.1",1,0,5,2
"4.09.0",15,14,0,146
"4.10.0",6,4,13,34
"4.11.0",90,85,1,662
"4.12.0",4,2,88,7
"4.12.2",6,4,2,21
"4.12.3",5,2,3,10
"4.13.0",60,56,1,266
