version	package	cbo	aff	eff	lcom	mf	cs
jedit-2.3.2	NONAME	1	0	2	NaN	0.0	0
jedit-2.3.2	org.gjt.sp.sim	0	1	0	0.8917748917748918	0.9803921568627451	-159
jedit-2.3.3	NONAME	1	0	2	NaN	0.0	0
jedit-2.3.3	org.gjt.sp.sim	0	1	0	0.8917748917748918	0.9803921568627451	-159
jedit-2.3.4	NONAME	1	0	2	NaN	0.0	0
jedit-2.3.4	org.gjt.sp.sim	0	1	0	0.8917748917748918	0.9803921568627451	-159
jedit-2.3.5	NONAME	1	0	2	NaN	0.0	0
jedit-2.3.5	org.gjt.sp.sim	0	1	0	0.8917748917748918	0.9803921568627451	-159
jedit-2.3.6	NONAME	1	0	2	NaN	0.0	0
jedit-2.3.6	org.gjt.sp.sim	0	1	0	0.8917748917748918	0.9803921568627451	-159
jedit-2.3.7	NONAME	1	0	2	NaN	0.0	0
jedit-2.3.7	org.gjt.sp.sim	0	1	0	0.8917748917748918	0.9803921568627451	-159
jedit-2.3.f	NONAME	1	0	2	NaN	0.0	0
jedit-2.3.f	org.gjt.sp.sim	0	1	0	0.8917748917748918	0.9803921568627451	-159
jedit-2.4.1	NONAME	1	0	2	NaN	0.0	0
jedit-2.4.1	org.gjt.sp.sim	0	1	0	0.8917748917748918	0.9803921568627451	-159
jedit-2.4.2	NONAME	1	0	2	NaN	0.0	0
jedit-2.4.2	org.gjt.sp.sim	0	1	0	0.8917748917748918	0.9803921568627451	-159
jedit-2.4.f	NONAME	1	0	2	NaN	0.0	0
jedit-2.4.f	org.gjt.sp.sim	0	1	0	0.8917748917748918	0.9803921568627451	-159
jedit-2.5.1	NONAME	1	0	2	NaN	0.0	0
jedit-2.5.1	org.gjt.sp.sim	0	1	0	0.917989417989418	0.9841269841269841	-288
jedit-2.5.f	NONAME	1	0	2	NaN	0.0	0
jedit-2.5.f	org.gjt.sp.sim	0	1	0	0.917989417989418	0.9841269841269841	-288
jedit-2.6.f	NONAME	0	0	0	0.9153439153439153	0.0	-290
jedit-3.0.0	gnu.regexp	0	7	0	0.8774703557312253	0.9051094890510949	-133
jedit-3.0.0	bsh	0	2	0	0.9146881287726358	0.9929742388758782	-1735
jedit-3.0.0	com.microstar.xml	0	3	0	0.75	0.5454545454545454	0
jedit-3.0.0	org.gjt.sp.jedit	11	146	69	0.9513700692562481	0.5507246376811594	-2831
jedit-3.0.0	org.gjt.sp.jedit.browser	6	3	26	0.8814229249011858	0.594059405940594	-171
jedit-3.0.0	org.gjt.sp.jedit.gui	8	33	52	0.9767339771729587	0.4638949671772429	-2136
jedit-3.0.0	org.gjt.sp.jedit.io	3	30	13	0.7111111111111111	0.38235294117647056	-9
jedit-3.0.0	org.gjt.sp.jedit.msg	2	19	7	1.0	0.0	-55
jedit-3.0.0	org.gjt.sp.jedit.options	4	1	15	0.9673400673400674	0.6402640264026402	-1351
jedit-3.0.0	org.gjt.sp.jedit.proto.jeditresource	1	0	3	0.5	0.4	1
jedit-3.0.0	org.gjt.sp.jedit.search	7	3	30	0.9166666666666666	0.5625	-282
jedit-3.0.0	org.gjt.sp.jedit.syntax	3	13	8	0.7818181818181819	0.6	-13
jedit-3.0.0	org.gjt.sp.jedit.textarea	4	20	24	0.8492647058823529	0.5359477124183006	-82
jedit-3.0.0	org.gjt.sp.util	0	55	0	0.7888888888888889	0.3619047619047619	-21
jedit-3.0.1	gnu.regexp	0	7	0	0.8774703557312253	0.9051094890510949	-133
jedit-3.0.1	bsh	0	2	0	0.9146881287726358	0.9929742388758782	-1735
jedit-3.0.1	com.microstar.xml	0	3	0	0.75	0.5	0
jedit-3.0.1	org.gjt.sp.jedit	11	147	69	0.9518072289156626	0.5540540540540541	-2905
jedit-3.0.1	org.gjt.sp.jedit.browser	6	3	26	0.8814229249011858	0.594059405940594	-171
jedit-3.0.1	org.gjt.sp.jedit.gui	8	33	52	0.9769820971867008	0.46956521739130436	-2202
jedit-3.0.1	org.gjt.sp.jedit.io	3	30	13	0.7111111111111111	0.38235294117647056	-9
jedit-3.0.1	org.gjt.sp.jedit.msg	2	19	7	1.0	0.0	-55
jedit-3.0.1	org.gjt.sp.jedit.options	4	1	15	0.9673400673400674	0.6360655737704918	-1351
jedit-3.0.1	org.gjt.sp.jedit.proto.jeditresource	1	0	3	0.5	0.4	1
jedit-3.0.1	org.gjt.sp.jedit.search	7	3	30	0.9166666666666666	0.5625	-282
jedit-3.0.1	org.gjt.sp.jedit.syntax	3	13	9	0.7818181818181819	0.5853658536585366	-13
jedit-3.0.1	org.gjt.sp.jedit.textarea	4	20	24	0.8492647058823529	0.5359477124183006	-82
jedit-3.0.1	org.gjt.sp.util	0	56	0	0.7888888888888889	0.3584905660377358	-21
jedit-3.0.2	gnu.regexp	0	7	0	0.8774703557312253	0.9051094890510949	-133
jedit-3.0.2	bsh	0	2	0	0.9146881287726358	0.9929742388758782	-1735
