versions	package	cbo	aff	eff	lcom	mf	cs
4.2.0	org.gjt.sp.jedit.gui	10	76	54	0.9855252274607114	0.6294964028776978	-11626
4.2.0	org.gjt.sp.jedit.io	6	53	25	0.825	0.3346613545816733	-62
4.2.0	org.gjt.sp.jedit.msg	2	27	7	1.0	0.0	-66
4.2.0	org.gjt.sp.jedit.options	7	3	37	0.9776898734177215	0.6025641025641025	-2980
4.2.0	org.gjt.sp.jedit.pluginmgr	7	4	22	0.9319727891156463	0.794044665012407	-950
4.2.0	org.gjt.sp.jedit.print	3	0	10	0.7	0.3870967741935484	-2
4.2.0	org.gjt.sp.jedit.proto.jeditresource	1	0	4	0.5	0.3333333333333333	1
4.2.0	org.gjt.sp.jedit.search	8	5	45	0.9401858304297329	0.5522788203753352	-715
4.2.0	org.gjt.sp.jedit.syntax	4	22	9	0.8047619047619048	0.5655172413793104	-31
4.2.0	org.gjt.sp.jedit.textarea	5	46	31	0.8890469416785206	0.6486486486486487	-471
4.2.0	org.gjt.sp.jedit.help	7	2	21	0.8923076923076924	0.7650273224043715	-233
4.2.0	org.gjt.sp.jedit	16	314	107	0.9598324766799924	0.4299541518084564	-4619
4.2.0	org.gjt.sp.jedit.menu	8	2	36	0.9366666666666666	0.39378238341968913	-252
4.2.0	org.gjt.sp.util	1	119	1	0.8952380952380953	0.23157894736842105	-77
4.2.0	org.objectweb.asm	0	1	0	0.8111111111111111	0.8717948717948718	-17
4.3.0	com.microstar.xml	0	0	0	0.75	0.0	0
4.3.0	org.gjt.sp.jedit	20	446	136	0.9710712752254186	0.41750580945003873	-8504
4.3.0	org.gjt.sp.jedit.browser	8	15	56	0.9473684210526315	0.6083916083916084	-1411
4.3.0	org.gjt.sp.jedit.bsh	4	25	8	0.929564058633162	0.9548387096774194	-3871
4.3.0	org.gjt.sp.jedit.bsh.classpath	1	2	9	0.7756410256410257	0.8235294117647058	-26
4.3.0	org.gjt.sp.jedit.bsh.collection	1	1	3	0.5	0.2857142857142857	1
4.3.0	org.gjt.sp.jedit.bsh.commands	1	0	3	NaN	0.0	0
4.3.0	org.gjt.sp.jedit.bsh.org.objectweb.asm	0	1	0	0.8111111111111111	0.8717948717948718	-17
4.3.0	org.gjt.sp.jedit.bsh.reflect	1	1	1	NaN	0.0	0
4.3.0	org.gjt.sp.jedit.buffer	6	65	20	0.9193121693121693	0.5020576131687243	-292
4.3.0	org.gjt.sp.jedit.bufferio	4	3	21	0.8571428571428571	0.17204301075268819	-16
4.3.0	org.gjt.sp.jedit.bufferset	3	14	12	0.782051282051282	0.53125	-30
4.3.0	org.gjt.sp.jedit.gui	15	106	72	0.9886172380193108	0.6322263222632226	-21852
4.3.0	org.gjt.sp.jedit.gui.statusbar	6	2	20	0.9435294117647058	0.7236180904522613	-1057
4.3.0	org.gjt.sp.jedit.help	6	2	20	0.9184873949579831	0.8185654008438819	-457
4.3.0	org.gjt.sp.jedit.indent	4	2	6	0.8809523809523809	0.7333333333333333	-147
4.3.0	org.gjt.sp.jedit.input	5	15	11	0.6666666666666666	0.18181818181818182	2
4.3.0	org.gjt.sp.jedit.io	6	75	30	0.9264367816091954	0.3657142857142857	-339
4.3.0	org.gjt.sp.jedit.menu	8	5	36	0.9408866995073891	0.4507042253521127	-342
4.3.0	org.gjt.sp.jedit.msg	4	41	11	0.9836601307189542	0.078125	-145
4.3.0	org.gjt.sp.jedit.options	10	6	57	0.9789518900343642	0.6332794830371568	-4404
4.3.0	org.gjt.sp.jedit.pluginmgr	8	5	29	0.9505030181086519	0.7522935779816514	-2131
4.3.0	org.gjt.sp.jedit.print	4	0	13	0.7	0.36363636363636365	-2
4.3.0	org.gjt.sp.jedit.proto.jeditresource	1	0	4	0.5	0.3333333333333333	1
4.3.0	org.gjt.sp.jedit.search	10	4	49	0.9505552617662613	0.6549912434325744	-1609
4.3.0	org.gjt.sp.jedit.syntax	2	38	8	0.8235294117647058	0.526829268292683	-59
4.3.0	org.gjt.sp.jedit.textarea	11	71	60	0.9460052677787533	0.6212121212121212	-1886
4.3.0	org.gjt.sp.jedit.visitors	2	8	3	0.6666666666666666	0.19047619047619047	1
4.3.0	org.gjt.sp.util	2	222	3	0.9476923076923077	0.16	-277
4.3.1	com.microstar.xml	0	0	0	0.75	0.0	0
4.3.1	org.gjt.sp.jedit	20	446	136	0.9710712752254186	0.41750580945003873	-8504
4.3.1	org.gjt.sp.jedit.browser	8	15	56	0.9473684210526315	0.6083916083916084	-1411
4.3.1	org.gjt.sp.jedit.bsh	4	25	8	0.929564058633162	0.9548387096774194	-3871
4.3.1	org.gjt.sp.jedit.bsh.classpath	1	2	9	0.7756410256410257	0.8235294117647058	-26
4.3.1	org.gjt.sp.jedit.bsh.collection	1	1	3	0.5	0.2857142857142857	1
4.3.1	org.gjt.sp.jedit.bsh.commands	1	0	3	NaN	0.0	0
4.3.1	org.gjt.sp.jedit.bsh.org.objectweb.asm	0	1	0	0.8111111111111111	0.8717948717948718	-17
4.3.1	org.gjt.sp.jedit.bsh.reflect	1	1	1	NaN	0.0	0
4.3.1	org.gjt.sp.jedit.buffer	6	65	20	0.9193121693121693	0.5020576131687243	-292
4.3.1	org.gjt.sp.jedit.bufferio	4	3	21	0.8571428571428571	0.17204301075268819	-16
4.3.1	org.gjt.sp.jedit.bufferset	3	14	12	0.782051282051282	0.53125	-30
4.3.1	org.gjt.sp.jedit.gui	15	106	72	0.9886172380193108	0.6322263222632226	-21852
4.3.1	org.gjt.sp.jedit.gui.statusbar	6	2	20	0.9435294117647058	0.7236180904522613	-1057
4.3.1	org.gjt.sp.jedit.help	6	2	20	0.9184873949579831	0.8185654008438819	-457
4.3.1	org.gjt.sp.jedit.indent	4	2	6	0.8809523809523809	0.7333333333333333	-147
4.3.1	org.gjt.sp.jedit.input	5	15	11	0.6666666666666666	0.17777777777777778	2
4.3.1	org.gjt.sp.jedit.io	6	75	30	0.9264367816091954	0.3657142857142857	-339
4.3.1	org.gjt.sp.jedit.menu	8	5	36	0.9408866995073891	0.4507042253521127	-342
4.3.1	org.gjt.sp.jedit.msg	4	41	11	0.9836601307189542	0.078125	-145
4.3.1	org.gjt.sp.jedit.options	10	6	57	0.9789518900343642	0.6332794830371568	-4404
4.3.1	org.gjt.sp.jedit.pluginmgr	8	5	29	0.9505030181086519	0.7522935779816514	-2131
4.3.1	org.gjt.sp.jedit.print	4	0	13	0.7	0.36363636363636365	-2
4.3.1	org.gjt.sp.jedit.proto.jeditresource	1	0	4	0.5	0.3333333333333333	1
4.3.1	org.gjt.sp.jedit.search	10	4	49	0.9505552617662613	0.6549912434325744	-1609
4.3.1	org.gjt.sp.jedit.syntax	2	38	8	0.8235294117647058	0.526829268292683	-59
4.3.1	org.gjt.sp.jedit.textarea	11	71	60	0.9460052677787533	0.6204287515762925	-1886
4.3.1	org.gjt.sp.jedit.visitors	2	8	3	0.6666666666666666	0.19047619047619047	1
4.3.1	org.gjt.sp.util	2	222	3	0.9476923076923077	0.16	-277
4.3.2	com.microstar.xml	0	0	0	0.75	0.0	0
4.3.2	org.gjt.sp.jedit	20	446	137	0.9710712752254186	0.4176675707090275	-8504
4.3.2	org.gjt.sp.jedit.browser	8	15	56	0.9473684210526315	0.6083916083916084	-1411
4.3.2	org.gjt.sp.jedit.bsh	4	25	8	0.929564058633162	0.9548387096774194	-3871
4.3.2	org.gjt.sp.jedit.bsh.classpath	1	2	9	0.7756410256410257	0.8235294117647058	-26
4.3.2	org.gjt.sp.jedit.bsh.collection	1	1	3	0.5	0.2857142857142857	1
4.3.2	org.gjt.sp.jedit.bsh.commands	1	0	3	NaN	0.0	0
4.3.2	org.gjt.sp.jedit.bsh.org.objectweb.asm	0	1	0	0.8111111111111111	0.8717948717948718	-17
4.3.2	org.gjt.sp.jedit.bsh.reflect	1	1	1	NaN	0.0	0
4.3.2	org.gjt.sp.jedit.buffer	6	65	20	0.9206349206349206	0.49586776859504134	-292
4.3.2	org.gjt.sp.jedit.bufferio	4	3	21	0.8571428571428571	0.17204301075268819	-16
4.3.2	org.gjt.sp.jedit.bufferset	3	14	12	0.782051282051282	0.53125	-30
4.3.2	org.gjt.sp.jedit.gui	15	106	72	0.9886172380193108	0.6337854500616523	-21852
4.3.2	org.gjt.sp.jedit.gui.statusbar	6	2	20	0.9435294117647058	0.7236180904522613	-1057
4.3.2	org.gjt.sp.jedit.help	6	2	20	0.9184873949579831	0.8185654008438819	-457
4.3.2	org.gjt.sp.jedit.indent	4	2	6	0.8809523809523809	0.7333333333333333	-147
4.3.2	org.gjt.sp.jedit.input	5	15	11	0.6666666666666666	0.17777777777777778	2
4.3.2	org.gjt.sp.jedit.io	6	75	30	0.9264367816091954	0.3657142857142857	-339
4.3.2	org.gjt.sp.jedit.menu	8	5	36	0.9408866995073891	0.4507042253521127	-342
4.3.2	org.gjt.sp.jedit.msg	4	41	11	0.9836601307189542	0.078125	-145
4.3.2	org.gjt.sp.jedit.options	10	6	57	0.9789518900343642	0.6332794830371568	-4404
4.3.2	org.gjt.sp.jedit.pluginmgr	8	5	29	0.9505030181086519	0.7522935779816514	-2131
4.3.2	org.gjt.sp.jedit.print	4	0	13	0.7	0.36363636363636365	-2
4.3.2	org.gjt.sp.jedit.proto.jeditresource	1	0	4	0.5	0.3333333333333333	1
4.3.2	org.gjt.sp.jedit.search	10	4	49	0.9505552617662613	0.6549912434325744	-1609
4.3.2	org.gjt.sp.jedit.syntax	2	38	8	0.8235294117647058	0.526829268292683	-59
4.3.2	org.gjt.sp.jedit.textarea	11	70	60	0.9460052677787533	0.6219974715549936	-1886
4.3.2	org.gjt.sp.jedit.visitors	2	8	3	0.6666666666666666	0.19047619047619047	1
4.3.2	org.gjt.sp.util	2	222	3	0.9476923076923077	0.16	-277
4.3.3	com.microstar.xml	0	0	0	0.75	0.0	0
4.3.3	org.gjt.sp.jedit	20	446	137	0.9710712752254186	0.4176675707090275	-8504
4.3.3	org.gjt.sp.jedit.browser	8	15	56	0.9473684210526315	0.6083916083916084	-1411
4.3.3	org.gjt.sp.jedit.bsh	4	25	8	0.929564058633162	0.9548387096774194	-3871
4.3.3	org.gjt.sp.jedit.bsh.classpath	1	2	9	0.7756410256410257	0.8235294117647058	-26
4.3.3	org.gjt.sp.jedit.bsh.collection	1	1	3	0.5	0.2857142857142857	1
4.3.3	org.gjt.sp.jedit.bsh.commands	1	0	3	NaN	0.0	0
4.3.3	org.gjt.sp.jedit.bsh.org.objectweb.asm	0	1	0	0.8111111111111111	0.8717948717948718	-17
4.3.3	org.gjt.sp.jedit.bsh.reflect	1	1	1	NaN	0.0	0
4.3.3	org.gjt.sp.jedit.buffer	6	65	20	0.9206349206349206	0.49586776859504134	-292
4.3.3	org.gjt.sp.jedit.bufferio	4	3	21	0.8571428571428571	0.17204301075268819	-16
4.3.3	org.gjt.sp.jedit.bufferset	3	14	12	0.782051282051282	0.53125	-30
