"","CBO","AFF","EFF","LCOM","MQ"
"CBO",1,0.98,0.98,-0.41,0.99
"AFF",0.98,1,0.98,-0.37,0.97
"EFF",0.98,0.98,1,-0.38,0.98
"LCOM",-0.41,-0.37,-0.38,1,-0.43
"MQ",0.99,0.97,0.98,-0.43,1
