       org.jhotdraw.samples.javadraw;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
            org.jhotdraw.samples.net;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
        org.jhotdraw.samples.nothing;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
           org.jhotdraw.samples.pert;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
        org.jhotdraw.samples.minimap;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
           org.jhotdraw.contrib.html;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
           org.jhotdraw.contrib.zoom;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
            org.jhotdraw.application;1;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0
                org.jhotdraw.contrib;1;0;1;0;1;1;1;1;0;0;0;0;1;0;0;0;0
                 org.jhotdraw.applet;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
            org.jhotdraw.contrib.dnd;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0
                org.jhotdraw.figures;1;1;1;1;1;1;0;1;1;1;0;0;0;0;0;0;0
               org.jhotdraw.standard;1;1;1;1;0;1;1;1;1;1;1;1;0;1;0;0;1
              org.jhotdraw.framework;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;1
 org.jhotdraw.util.collections.jdk11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
 org.jhotdraw.util.collections.jdk12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
                   org.jhotdraw.util;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0
