             org.junit.runners;0;0;0;0;0;0;0;0;0;0;0;0
   org.junit.internal.requests;0;0;0;0;0;1;0;0;0;0;0;0
    org.junit.internal.runners;1;1;0;0;0;1;0;0;0;0;0;0
 org.junit.runner.manipulation;0;1;1;0;0;1;0;0;0;0;0;0
 org.junit.runner.notification;0;0;1;0;0;1;0;0;0;1;0;0
              org.junit.runner;1;1;1;1;1;0;0;0;0;1;0;0
                  junit.textui;0;0;0;0;0;0;0;0;0;0;0;0
              junit.extensions;0;0;1;0;0;0;0;0;0;0;0;0
                  junit.runner;0;0;0;0;0;1;1;0;0;0;0;0
               junit.framework;1;1;1;0;0;1;1;1;1;0;0;0
                     org.junit;1;0;1;0;0;0;0;0;0;0;0;0
            org.junit.internal;0;0;0;0;0;0;0;0;0;0;1;0
